Ireneusz Mamrot	97	44	23	30	144	126	2,78	1,60	45,4%
Michał Probierz	417	161	103	153	521	519	2,49	1,41	38,6%
Marcin Brosz	219	74	72	73	287	304	2,70	1,34	33,8%
Iwajło Petew	11	5	3	3	12	14	2,36	1,64	45,5%
Maciej Bartoszek	72	25	18	29	85	101	2,58	1,29	34,7%
Dariusz Żuraw	43	18	14	11	72	45	2,72	1,58	41,9%
Piotr Stokowiec	234	92	66	76	326	287	2,62	1,46	39,3%
Aleksandar Vuković	44	26	7	11	83	40	2,80	1,93	59,1%
Wojciech Stawowy	110	39	25	46	137	153	2,64	1,29	35,5%
Waldemar Fornalik	397	158	101	138	485	446	2,35	1,45	39,8%
Kosta Runjaić	90	36	25	29	120	114	2,60	1,48	40,0%
Marek Papszun	31	13	5	13	41	44	2,74	1,42	41,9%
Vitezslav Lavicka	48	21	12	15	64	50	2,38	1,56	43,8%
Artur Skowronek	51	17	13	21	58	67	2,45	1,25	33,3%
Radosław Sobolewski	30	11	8	11	40	46	2,87	1,37	36,7%
Martin Sevela	23	9	6	8	38	34	3,13	1,43	39,1%
