KLUB,śr./mecz,celne,ncel,zabl,% zabl,Celne/gol bez sam,% celn,G BEZ SAM/DLA
Arka,"12,03","4,59","4,46","2,97","24,72%","3,47","38,20%","11,01%"
Cracovia,"13,08","4,24","5,81","3,03","23,14%","3,65","32,44%","8,88%"
Górnik,"13,41","5,16","5,19","3,05","22,78%","4,06","38,51%","9,48%"
Jagiellonia,"12,81","4,62","5,05","3,14","24,47%","3,23","36,08%","11,18%"
Korona,"14,97","5,14","6,30","3,54","23,65%","4,52","34,30%","7,58%"
Lech,"12,38","3,89","5,32","3,16","25,55%","3,06","31,44%","10,26%"
Lechia,"12,35","3,92","5,38","3,05","24,73%","2,74","31,73%","11,60%"
Legia,"14,03","4,95","5,43","3,65","26,01%","3,39","35,26%","10,40%"
Miedź,"13,54","4,76","5,57","3,22","23,75%","4,51","35,13%","7,78%"
Piast,"12,24","3,97","4,86","3,41","27,81%","2,67","32,45%","12,14%"
Pogoń,"14,54","4,57","6,30","3,68","25,28%","3,02","31,41%","10,41%"
Śląsk,"13,30","4,24","5,89","3,16","23,78%","3,27","31,91%","9,76%"
Wisła K,"11,86","4,46","4,59","2,81","23,69%","2,54","37,59%","14,81%"
Wisła P,"12,95","4,22","5,38","3,35","25,89%","3,25","32,57%","10,02%"
Zagłębie L,"11,97","4,59","4,46","2,92","24,38%","3,21","38,37%","11,96%"
Zagłębie S,"12,59","4,41","5,16","3,03","24,03%","3,47","34,98%","10,09%"
