KLUB,śr./mecz,celne,ncel,zabl,% zabl,Celne/gol bez sam,% celn,G BEZ SAM/PRZECIW
Arka,"14,16","4,41","6,08","3,68","25,95%","3,26","31,11%","9,54%"
Cracovia,"11,08","3,84","4,92","2,32","20,98%","3,30","34,63%","10,49%"
Górnik,"14,38","4,46","5,84","4,08","28,38%","3,24","31,02%","9,59%"
Jagiellonia,"13,00","4,57","5,46","2,97","22,87%","3,31","35,14%","10,60%"
Korona,"10,05","4,24","3,51","2,30","22,85%","2,96","42,20%","14,25%"
Lech,"12,00","4,38","5,00","2,62","21,85%","3,52","36,49%","10,36%"
Lechia,"13,22","3,84","5,68","3,70","28,02%","3,84","29,04%","7,57%"
Legia,"10,30","3,49","4,35","2,46","23,88%","3,49","33,86%","9,71%"
Miedź,"13,78","5,32","5,54","2,92","21,18%","3,23","38,63%","11,96%"
Piast,"11,68","4,05","4,89","2,73","23,38%","4,69","34,72%","7,41%"
Pogoń,"11,51","3,95","4,24","3,32","28,87%","2,86","34,27%","11,97%"
Śląsk,"12,35","4,03","5,38","2,95","23,85%","3,47","32,60%","9,41%"
Wisła K,"18,35","5,62","7,54","5,19","28,28%","3,35","30,63%","9,13%"
Wisła P,"12,22","4,59","5,19","2,43","19,91%","2,98","37,61%","12,61%"
Zagłębie L,"14,03","4,27","5,73","4,03","28,71%","3,43","30,44%","8,86%"
Zagłębie S,"15,95","6,68","5,81","3,46","21,69%","3,13","41,86%","13,39%"
