ZAWODNIK,KLUB,GOLE
Marcin Robak,Śląsk Wrocław,18
Filip Starzyński,Zagłębie Lubin,13
Adam Buksa,Pogoń Szczecin,11
Michał Janota,Arka Gdynia,10
Kamil Drygas,Pogoń Szczecin,10
Patryk Tuszyński,Zagłębie Lubin,10
Maciej Jankowski,Arka Gdynia,10
Piotr Parzyszek,Piast Gliwice,9
Karol Świderski,Jagiellonia,8
Bartłomiej Pawłowski,Zagłębie Lubin,8
Radosław Majewski,Pogoń Szczecin,8
Artur Sobiech,Lechia Gdańsk,7
Filip Piszczek,Cracovia,6
Patryk Lipski,Lechia Gdańsk,6
Dominik Furman,Wisła Płock,6
Oskar Zawada,Wisła Płock,6
Szymon Pawłowski,Zagłębie Sosnowiec,5
Damian Zbozień,Arka Gdynia,5
Jakub Błaszczykowski,Wisła Kraków,5
Krzysztof Drzazga,Wisła Kraków,5
Michał Kucharczyk,Legia Warszawa,4
Mateusz Możdżeń,Korona/Zagłębie S.,4
Paweł Tomczyk,Lech/Piast,4
Olaf Nowak,Zagłębie Sosnowiec,4
Tomasz Jodłowiec,Piast Gliwice,4
Mateusz Cholewiak,Śląsk Wrocław,4
Mateusz Radecki,Śląsk Wrocław,4
Jarosław Kubicki,Lechia Gdańsk,4
Konrad Wrzesiński,Zagłębie Sosnowiec,3
Piotr Celeban,Śląsk Wrocław,3
Dawid Kort,Wisła Kraków,3
Przemysław Frankowski,Jagiellonia,3
Mateusz Wdowiak,Cracovia,3
Artur Jędrzejczyk,Legia Warszawa,3
Jakub Czerwiński,Piast Gliwice,3
Mateusz Szczepaniak,Miedź Legnica,3
Szymon Żurkowski,Górnik Zabrze,3
Michał Chrapek,Śląsk Wrocław,3
Alan Uryga,Wisła Płock,3
Michał Nalepa,Lechia Gdańsk,3
Mateusz Matras,Górnik Zabrze,3
Łukasz Burliga,Jagiellonia/Wisła K,3
Rafał Pietrzak,Wisła Kraków,3
Patryk Dziczek,Piast Gliwice,3
Filip Jagiełło,Zagłębie Lubin,3
Sławomir Peszko,Wisła Kraków,3
Grzegorz Kuświk,Wisła Płock,3
Kamil Jóźwiak,Lech Poznań,3
Marcin Cebula,Korona Kielce,3
Paweł Zieliński,Miedź Legnica,3
Maciej Górski,Korona Kielce,2
Rafał Augustyniak,Miedź Legnica,2
Karol Angielski,Wisła Płock,2
Jakub Łukowski,Wisła Płock,2
Rafał Boguski,Wisła Kraków,2
Damian Szymański,Wisła Płock,2
Michał Nalepa,Arka Gdynia,2
Piotr Polczak,Zagłębie Sosnowiec,2
Rafał Siemaszko,Arka Gdynia,2
Arkadiusz Piech,Śląsk Wrocław,2
Maciej Gajos,Lech Poznań,2
Błażej Augustyn,Lechia Gdańsk,2
Sebastian Szymański,Legia Warszawa,2
Kamil Zapolnik,Górnik Zabrze,2
Filip Marchwiński,Lech Poznań,2
Ariel Borysiuk,Wisła Płock,2
Sebastian Kowalczyk,Pogoń Szczecin,2
Adam Deja,Arka Gdynia,2
Michał Mak,Lechia Gdańsk,2
Paweł Brożek,Wisła Kraków,2
Daniel Smuga,Górnik Zabrze,1
Łukasz Trałka,Lech Poznań,1
Krzysztof Mączyński,Legia Warszawa,1
Mateusz Mak,Piast Gliwice,1
Jakub Kosecki,Śląsk Wrocław,1
Mateusz Piątkowski,Miedź Legnica,1
Jakub Arak,Lechia Gdańsk,1
Adam Frączczak,Pogoń Szczecin,1
Tomasz Cywka,Lech Poznań,1
Taras Romanczuk,Jagiellonia,1
Adam Chrzanowski,Lechia Gdańsk,1
Łukasz Janoszka,Zagłębie Lubin,1
Lukas Klemenz,Jagiellonia,1
Bartosz Kwiecień,Jagiellonia,1
Jakub Bartkowski,Wisła Kraków,1
Kamil Wojtkowski,Wisła Kraków,1
Bartłomiej Sielewski,Wisła Płock,1
Dawid Pakulski,Zagłębie Lubin,1
Fabian Piasecki,Miedź Legnica,1
Mateusz Młyński,Arka Gdynia,1
Patryk Sokołowski,Piast Gliwice,1
Marcin Wasielewski,Lech Poznań,1
Marcin Urynowicz,Górnik Zabrze,1
Łukasz Poręba,Zagłębie Lubin,1
Robert Gumny,Lech Poznań,1
Tymoteusz Klupś,Lech Poznań,1
Sebastian Strózik,Cracovia,1
Adam Danch,Arka Gdynia,1
Bartosz Kopacz,Zagłębie Lubin,1
Rafał Wolski,Lechia Gdańsk,1
Jakub Wójcicki,Jagiellonia,1
Mariusz Malec,Pogoń Szczecin,1
Tomasz Nawotka,Zagłębie Sosnowiec,1
Daniel Łukasik,Lechia Gdańsk,1
Jakub Łabojko,Śląsk Wrocław,1
Patryk Klimala,Jagiellonia Białystok,1
Michał Żyro,Pogoń Szczecin,1
Marcin Pietrowski,Piast Gliwice,1
Igor Łasicki,Wisła Płock,1
Mateusz Szwoch,Wisła Płock,1
Sebastian Walukiewicz,Pogoń Szczecin,1
Konrad Michalak,Lechia Gdańsk,1
Paweł Stolarski,Legia Warszawa,1
Adam Marciniak,Arka Gdynia,1
Wojciech Golla,Śląsk Wrocław,1
Paweł Bochniewicz,Górnik Zabrze,1
Maciej Śliwa,Wisła Kraków,1
Łukasz Wolsztyński,Górnik Zabrze,1
Karol Fila,Lechia Gdańsk,1
Patryk Szysz,Zagłębie Lubin,1
