KLUB,Z HT,Z,R,P,R HT,Z,R,P,P HT,Z,R,P
Arka Gdynia,3,2,0,1,12,2,6,4,4,0,1,3
Cracovia,4,4,0,0,5,1,0,4,9,1,2,6
Górnik Zabrze,3,2,1,0,7,3,2,2,8,2,1,5
Jagiellonia,7,6,1,0,3,0,2,1,9,1,2,6
Korona Kielce,3,3,0,0,7,3,2,2,8,0,2,6
Lech Poznań,4,2,2,0,5,2,1,2,10,0,2,8
Lechia Gdańsk,5,5,0,0,11,1,4,6,2,1,1,0
Legia Warszawa,3,3,0,0,6,3,2,1,9,4,1,4
Miedź Legnica,2,1,1,0,8,2,5,1,8,0,0,8
Piast Gliwice,5,5,0,0,6,0,5,1,7,1,1,5
Pogoń Szczecin,8,4,2,2,5,1,2,2,6,1,0,5
Śląsk Wrocław,5,2,2,1,8,3,1,4,6,0,2,4
Wisła Kraków,3,2,0,1,5,3,0,2,10,1,1,8
Wisła Płock,5,3,2,0,6,1,2,3,8,1,2,5
Zagłębie Lubin,7,5,1,1,6,3,2,1,6,0,1,5
Zagłębie Sosnowiec,1,1,0,0,7,0,3,4,11,0,2,9
