KLUB,DLA xG,G DLA,PRZECIW xG,G PRZECIW,BILANS xG,BILANS G,pkt,xPKT,BILANS xPKT
Arka Gdynia,"45,47",49,"45,23",50,"0,24",-1,42,"48,07","-6,07"
Cracovia,"50,52",43,"39,60",43,"10,92",0,57,"58,64","-1,64"
Górnik Zabrze,"49,49",47,"49,71",51,"-0,22",-4,46,"50,69","-4,69"
Jagiellonia Białystok,"51,50",53,"49,27",51,"2,23",2,57,"52,05","4,95"
Korona Kielce,"50,98",42,"41,12",53,"9,86",-11,47,"58,19","-11,19"
Lech Poznań,"42,87",47,"50,62",46,"-7,74",1,52,"45,93","6,07"
Lechia Gdańsk,"53,58",53,"49,00",37,"4,57",16,67,"53,51","13,49"
Legia Warszawa,"50,68",54,"37,53",37,"13,16",17,68,"60,40","7,60"
Miedź Legnica,"42,81",39,"55,61",61,"-12,80",-22,40,"42,04","-2,04"
Piast Gliwice,"46,50",55,"42,06",32,"4,43",23,72,"53,88","18,12"
Pogoń Szczecin,"47,83",56,"42,41",51,"5,42",5,52,"54,79","-2,79"
Śląsk Wrocław,"48,28",48,"40,44",43,"7,83",5,44,"55,93","-11,93"
Wisła Kraków,"56,96",65,"64,35",62,"-7,40",3,49,"46,31","2,69"
Wisła Płock,"42,81",48,"52,37",57,"-9,56",-9,41,"44,39","-3,39"
Zagłębie Lubin,"58,20",53,"50,97",46,"7,23",7,53,"54,39","-1,39"
Zagłębie Sosnowiec,"47,94",47,"76,13",79,"-28,19",-32,29,"35,93","-6,93"
