KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Arka Gdynia,"1,32","1,38",52%,"12,03","4,59","4,46","2,97","38,20%","11,01%","5,03","1,30","3,05","16,27","2,08","0,11",ARK
Cracovia,"1,22","1,16",50%,"13,08","4,24","5,81","3,03","32,44%","8,88%","4,51","1,30","2,68","15,81","2,08","0,03",CRA
Górnik Zabrze,"1,30","1,43",47%,"13,41","5,16","5,19","3,05","38,51%","9,48%","4,43","2,84","3,08","15,57","2,24","0,11",GÓR
Jagiellonia Białystok,"1,49","1,41",49%,"12,81","4,62","5,05","3,14","36,08%","11,18%","4,57","1,51","3,19","13,89","2,11","0,08",JAG
Korona Kielce,"1,14","1,46",52%,"14,97","5,14","6,30","3,54","34,30%","7,58%","5,35","1,84","2,81","17,46","2,57","0,05",KOR
Lech Poznań,"1,32","1,30",52%,"12,38","3,89","5,32","3,16","31,44%","10,26%","4,81","1,16","3,14","13,78","1,76","0,00",LPO
Lechia Gdańsk,"1,46","1,03",47%,"12,35","3,92","5,38","3,05","31,73%","11,60%","4,62","1,81","2,84","15,57","2,51","0,08",LGD
Legia Warszawa,"1,49","1,03",52%,"14,03","4,95","5,43","3,65","35,26%","10,40%","5,89","2,19","2,49","15,08","2,11","0,11",LEG
Miedź Legnica,"1,08","1,76",49%,"13,54","4,76","5,57","3,22","35,13%","7,78%","4,81","1,41","3,68","14,97","1,68","0,11",MIE
Piast Gliwice,"1,54","0,89",51%,"12,24","3,97","4,86","3,41","32,45%","12,14%","5,49","1,62","3,19","14,51","1,43","0,05",PIA
Pogoń Szczecin,"1,54","1,46",52%,"14,54","4,57","6,30","3,68","31,41%","10,41%","5,73","2,11","2,57","15,00","2,14","0,05",POG
Śląsk Wrocław,"1,32","1,22",47%,"13,30","4,24","5,89","3,16","31,91%","9,76%","5,68","2,86","2,86","15,51","2,19","0,11",ŚLĄ
Wisła Kraków,"1,81","1,70",54%,"11,86","4,46","4,59","2,81","37,59%","14,81%","4,54","1,49","3,95","14,05","1,97","0,05",WIS
Wisła Płock,"1,35","1,57",48%,"12,95","4,22","5,38","3,35","32,57%","10,02%","4,84","1,89","3,05","15,35","2,24","0,19",WPŁ
Zagłębie Lubin,"1,54","1,30",50%,"11,97","4,59","4,46","2,92","38,37%","11,96%","4,97","2,35","3,03","14,41","2,43","0,11",ZAG
Zagłębie Sosnowiec,"1,32","2,16",46%,"12,59","4,41","5,16","3,03","34,98%","10,09%","4,92","2,11","4,54","16,70","2,24","0,16",ZSO
