KLUB,D-Z,ŚRD-Z,W-Z,ŚRW-Z,RAZEM,2610002,8878,,
Arka Gdynia,126406,7023,162698,8563
Cracovia,132200,6958,156130,9184
Górnik Zabrze,250898,13205,130833,7269
Jagiellonia Białystok,170241,9458,167785,8831
Korona Kielce,126212,6643,131712,7317
Lech Poznań,191252,11953,201092,10584
Lechia Gdańsk,280169,14746,151047,8392
Legia Warszawa,334567,17609,259170,14398
Miedź Legnica,94250,4961,154308,8573
Piast Gliwice,94603,4979,175387,9744
Pogoń Szczecin,116333,6463,167318,8806
Śląsk Wrocław,163155,9064,153535,8081
Wisła Kraków,306558,16135,158559,8809
Wisła Płock,78008,4334,133075,7004
Zagłębie Lubin,87558,4864,163325,8596
Zagłębie Sosnowiec,57592,3200,144028,8002
