ZAWODNIK,KLUB,MIN,MECZE,OSTATNI GOL,PRZECIW
Cezary Stefańczyk,Wisła Płock,9984,121,-,-
Uros Korun,Piast Gliwice,6898,78,10.03.2017,Śląsk
Bartosz Rymaniak,Piast Gliwice,6333,74,30.10.2017,Lechia
Daniel Dziwniel,Korona Kielce,5272,65,10.08.2014,Wisła K.
Luka Marić,Arka Gdynia,5141,59,-,-
Zoran Arsenić,Jagiellonia Białystok,4828,59,29.04.2018,Jagiellonia
Marcin Wasilewski,Wisła Kraków,4447,56,13.12.2017,Cracovia
Martin Konczkowski,Piast Gliwice,4395,59,27.04.2018,Arka
Mikkel Kirkeskov,Piast Gliwice,4374,48,08.03.2019,Górnik Z.
Kamil Dankowski,Śląsk Wrocław,4357,53,17.10.2016,Korona
Wołodymyr Kostewycz,Lech Poznań,4098,48,05.10.2018,Górnik Z.
Artur Jędrzejczyk,Legia Warszawa,3985,44,10.02.2019,Wisła P.
Inaki Astiz,Legia Warszawa,3936,49,05.12.2014,Górnik Z.
Jakub Bartkowski,Pogoń Szczecin,3926,48,15.09.2018,Lechia
Maciej Dąbrowski,ŁKS Łódź,3883,50,02.12.2017,Sandecja
Damian Zbozień,Arka Gdynia,3723,44,22.02.2019,Piast
Mariusz Pawelec,Śląsk Wrocław,3462,41,19.05.2017,Arka
Filip Mladenović,Legia Warszawa,3389,38,23.02.2019,Wisła K.
Michael Gardawski,Korona Kielce,3374,40,16.12.2018,Śląsk
Adam Marciniak,Arka Gdynia,3245,37,28.04.2019,Korona
Mario Maloca,Lechia Gdańsk,3189,37,09.04.2017,Piast
Michał Marcjanik,Wisła Płock,3170,35,17.02.2018,Wisła K.
Jarosław Fojut,Wisła Płock,3164,40,06.03.2017,Wisła P.
Jakub Wójcicki,Jagiellonia Białystok,3097,40,16.02.2019,Wisła P.
Erik Janza,Górnik Zabrze,3090,36,-,-
Piotr Malarczyk,Piast Gliwice,3078,42,16.10.2017,Pogoń
Lubambo Musonda,Śląsk Wrocław,2689,37,-,-
Benedikt Zech,Pogoń Szczecin,2683,31,-,-
Adrian Gryszkiewicz,Górnik Zabrze,2623,32,-,-
