,ARK,CRA,GÓR,JAG,KOR,LPO,LGD,LEG,ŁKS,PIA,POG,RCZ,ŚLĄ,WIS,WPŁ,ZAG,D,ŚRD,ŚRW,5258,9810,7075,7954,8639,9139,7081,8664,7537,7014,8086,6456,8937,8221,6330,7748,,
ARK,X,6815,6321,10101,7345,10098,13011,7416,7064,6039,5072,4367,0,0,4010,3820,91479,7037
CRA,7341,X,8783,0,7698,12247,8612,13053,8043,6586,8764,7538,7836,14154,0,7246,117901,9069
GÓR,9468,8974,X,10025,18573,15662,0,0,12869,15219,10087,17968,17450,9612,8201,17067,171175,13167
JAG,6275,8622,10656,X,7518,6886,5973,19308,8444,0,9414,12583,7543,12251,0,4511,119984,9230
KOR,3472,4728,7109,5261,X,0,4150,11692,4678,0,6019,4116,3651,7073,3621,3271,68841,5295
LPO,7641,25768,8634,11947,22179,X,12693,0,9830,8241,0,10872,32307,15089,16616,12417,194234,14941
LGD,0,0,9357,13348,11708,14008,X,13055,7674,7139,12161,7843,13691,13270,7021,8863,139138,10703
LEG,0,20813,18445,20637,14119,25401,19796,X,19520,18941,13285,13084,15298,18670,15612,13017,246638,17617
ŁKS,5160,5160,0,0,5118,5451,5381,5429,X,5277,5150,5160,5160,4852,5148,4712,67158,5166
PIA,3363,4176,0,4134,4800,4698,4875,6813,3892,X,4219,4260,4006,0,3779,4112,57127,4394
POG,3897,0,3821,2895,3656,3697,0,3739,3829,3486,X,3672,3856,3947,3894,0,44389,3699
RCZ,2511,3167,2275,2381,3365,4018,3607,4153,0,2011,3007,X,3014,2574,2578,0,38661,2974
ŚLĄ,10532,16702,8196,12072,6149,0,10201,31819,0,12794,24968,0,X,13155,7706,20434,174728,13441
WIS,10076,33000,15007,15410,17354,21281,10089,0,17045,13685,10253,0,14613,X,13893,14616,206322,15871
WPŁ,4003,4212,5316,7098,0,4501,5511,7419,6019,2318,4231,1714,0,4317,X,2127,58786,4522
ZAG,5125,5013,2212,4003,0,0,2311,6063,4155,3467,4661,3657,5623,4349,2876,X,53515,4117
W,78864,147150,106132,119312,129582,127948,106210,129959,113062,105203,121291,96834,134048,123313,94955,116213,,
