,R,GR,SKR,D,GD,SKD,W,GW,SKW,RAZEM,607,22,"3,62%",316,14,"4,43%",291,8,"2,75%"
ARK,33,3,"9,09%",21,2,"9,52%",12,1,"8,33%"
CRA,45,1,"2,22%",19,0,"0,00%",26,1,"3,85%"
GÓR,36,2,"5,56%",26,1,"3,85%",10,1,"10,00%"
JAG,46,1,"2,17%",22,1,"4,55%",24,0,"0,00%"
KOR,40,1,"2,50%",17,0,"0,00%",23,1,"4,35%"
LPO,41,1,"2,44%",22,1,"4,55%",19,0,"0,00%"
LGD,34,1,"2,94%",18,0,"0,00%",16,1,"6,25%"
LEG,32,1,"3,13%",17,0,"0,00%",15,1,"6,67%"
ŁKS,34,1,"2,94%",14,1,"7,14%",20,0,"0,00%"
PIA,33,1,"3,03%",20,1,"5,00%",13,0,"0,00%"
POG,33,1,"3,03%",16,1,"6,25%",17,0,"0,00%"
RCZ,42,3,"7,14%",21,3,"14,29%",21,0,"0,00%"
ŚLĄ,39,2,"5,13%",19,2,"10,53%",20,0,"0,00%"
WIS,44,0,"0,00%",23,0,"0,00%",21,0,"0,00%"
WPŁ,33,1,"3,03%",20,0,"0,00%",13,1,"7,69%"
ZAG,42,2,"4,76%",21,1,"4,76%",21,1,"4,76%"
