,ARK,CRA,GÓR,JAG,KOR,LPO,LGD,LEG,ŁKS,PIA,POG,RCZ,ŚLĄ,WIS,WPŁ,ZAG,D,W,104:47,102:77,98:69,77:84,82:55,86:90,110:79,74:79,112:64,87:62,75:55,70:66,78:76,77:65,69:61,74:77,
ARK,X,5:11,8:5,9:6,6:1,4:11,2:7,0:5,4:3,6:8,3:5,3:7,8:3,2:5,5:6,5:1,70:84
CRA,3:3,X,9:2,4:5,8:3,5:12,4:5,5:7,8:5,9:0,3:6,9:4,6:5,9:8,4:7,5:4,91:76
GÓR,7:2,5:6,X,3:13,3:3,4:2,7:7,4:13,12:7,4:5,7:5,7:8,2:11,6:3,7:5,6:5,84:95
JAG,15:0,7:1,4:6,X,6:1,8:7,6:5,6:2,10:2,3:4,5:5,5:3,4:4,0:5,8:2,6:14,93:61
KOR,9:5,5:6,6:8,4:4,X,10:2,12:7,8:3,6:4,5:4,5:0,5:2,3:2,10:2,2:3,3:3,93:55
LPO,16:1,11:4,6:7,5:6,8:5,X,19:1,4:4,9:5,8:2,1:4,8:5,6:2,6:3,2:2,5:9,114:60
LGD,6:2,6:4,12:2,2:11,5:2,3:5,X,3:3,4:2,2:6,11:8,5:2,9:4,6:5,2:11,2:4,78:71
LEG,6:1,6:3,10:3,6:3,7:0,7:3,8:3,X,9:2,5:4,8:3,3:6,8:3,4:2,7:2,3:2,97:40
ŁKS,6:4,5:11,6:8,9:1,4:4,4:6,6:4,5:4,X,13:2,6:4,1:2,2:8,5:8,6:4,2:5,80:75
PIA,15:1,8:8,8:1,7:4,4:5,3:9,6:6,5:7,7:3,X,6:3,2:7,4:4,3:4,5:3,5:1,88:66
POG,4:6,6:10,7:4,8:3,6:4,4:3,3:3,5:5,11:4,5:5,X,7:3,5:5,5:3,2:4,10:3,88:65
RCZ,3:0,8:3,4:4,3:4,4:4,11:5,5:8,5:7,6:4,5:3,4:6,X,6:4,3:0,6:3,7:4,80:59
ŚLĄ,5:1,12:3,1:6,4:1,4:6,8:7,8:7,6:4,8:4,6:1,4:0,3:6,X,9:3,3:0,4:8,85:57
WIS,5:8,1:1,4:7,4:8,8:6,4:8,6:9,4:8,6:4,8:10,3:1,2:3,6:12,X,2:6,4:5,67:96
WPŁ,3:10,15:1,9:5,1:8,3:6,8:3,9:2,8:4,8:5,3:2,7:2,7:4,6:7,2:7,X,7:9,96:75
ZAG,1:3,2:5,4:1,8:7,6:5,3:7,9:5,6:3,4:10,5:6,2:3,3:4,3:2,7:7,8:3,X,71:71
