KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ,RAZEM,94,119,106,13,130,126,129,50,767,332,435
Arka Gdynia,4,3,5,2,7,8,5,5,39,14,25
Cracovia,3,5,6,1,12,10,7,5,49,15,34
Górnik Zabrze,5,7,5,1,8,12,9,4,51,18,33
Jagiellonia,5,5,8,2,5,12,8,3,48,20,28
Korona Kielce,3,4,7,0,5,4,6,0,29,14,15
Lech Poznań,7,10,11,2,6,10,15,9,70,30,40
Lechia Gdańsk,3,9,7,0,16,6,5,2,48,19,29
Legia Warszawa,7,10,8,0,15,13,13,4,70,25,45
ŁKS Łódź,4,8,4,0,11,2,2,2,33,16,17
Piast Gliwice,7,5,5,0,9,4,10,1,41,17,24
Pogoń Szczecin,7,6,3,0,3,7,9,2,37,16,21
Raków Częstochowa,8,7,6,0,8,7,12,3,51,21,30
Śląsk Wrocław,9,9,6,1,4,7,13,2,51,25,26
Wisła Kraków,9,7,5,2,8,4,5,4,44,23,21
Wisła Płock,4,11,9,0,6,8,4,3,45,24,21
Zagłębie Lubin,9,13,11,2,7,12,6,1,61,35,26
