ZAWODNIK,KLUB,POZYCJA,MECZE w ESA,GOLE w ESA,gole/mecz,MECZE w KLUBIE,GOLE w KLUBIE,gole/mecz w klubie
Kacper Krzepisz,Arka,Bramkarz,1,0,"0,000",1,0,"0,000"
Marcin Staniszewski,Arka,Bramkarz,3,0,"0,000",3,0,"0,000"
Pavels Steinbors,Arka,Bramkarz,170,0,"0,000",116,0,"0,000"
Douglas Bergqvist,Arka,Obrońca,6,0,"0,000",6,0,"0,000"
Daniel Chmielnicki,Arka,Obrońca,1,0,"0,000",1,0,"0,000"
Adam Danch,Arka,Obrońca,282,12,"0,043",60,3,"0,050"
Frederik Helstrup,Arka,Obrońca,74,1,"0,014",74,1,"0,014"
Adam Marciniak,Arka,Obrońca,279,10,"0,036",126,5,"0,040"
Luka Marić,Arka,Obrońca,59,0,"0,000",42,0,"0,000"
Michael Olczyk,Arka,Obrońca,8,0,"0,000",8,0,"0,000"
Jakub Wawszczyk,Arka,Obrońca,14,0,"0,000",14,0,"0,000"
Damian Zbozień,Arka,Obrońca,207,15,"0,072",120,8,"0,067"
Nabil Aankour,Arka,Pomocnik,116,7,"0,060",28,2,"0,071"
Kamil Antonik,Arka,Pomocnik,18,0,"0,000",18,0,"0,000"
Adam Deja,Arka,Pomocnik,135,4,"0,030",48,3,"0,063"
Michał Kopczyński,Arka,Pomocnik,64,0,"0,000",11,0,"0,000"
Dawid Markiewicz,Arka,Pomocnik,3,0,"0,000",3,0,"0,000"
Mateusz Młyński,Arka,Pomocnik,39,3,"0,077",39,3,"0,077"
Michał Nalepa I,Arka,Pomocnik,102,10,"0,098",102,10,"0,098"
Jan Łoś,Arka,Pomocnik,6,0,"0,000",6,0,"0,000"
Patryk Soboczyński,Arka,Pomocnik,1,0,"0,000",1,0,"0,000"
Mateusz Stępień,Arka,Pomocnik,2,0,"0,000",2,0,"0,000"
Marko Vejinović,Arka,Pomocnik,38,13,"0,342",38,13,"0,342"
Marcus Vinicius,Arka,Pomocnik,90,11,"0,122",70,11,"0,157"
Maciej Jankowski,Arka,Napastnik,279,60,"0,215",72,19,"0,264"
Dawit Schirtladze,Arka,Napastnik,22,4,"0,182",22,4,"0,182"
Fabian Serrarens,Arka,Napastnik,19,0,"0,000",19,0,"0,000"
Rafał Siemaszko,Arka,Napastnik,104,18,"0,173",104,18,"0,173"
Jakub Wilczyński,Arka,Napastnik,1,0,"0,000",1,0,"0,000"
Oskar Zawada,Arka,Napastnik,51,7,"0,137",12,1,"0,083"
Michal Peskovic,Cracovia,Bramkarz,184,0,"0,000",69,0,"0,000"
Lukas Hrosso,Cracovia,Bramkarz,17,0,"0,000",5,0,"0,000"
Adam Wilk,Cracovia,Bramkarz,11,0,"0,000",11,0,"0,000"
Ołeksij Dytiatjew,Cracovia,Obrońca,75,3,"0,040",75,3,"0,040"
Diego Ferraresso,Cracovia,Obrońca,64,1,"0,016",64,1,"0,016"
Michał Helik,Cracovia,Obrońca,133,10,"0,075",87,9,"0,103"
David Jablonsky,Cracovia,Obrońca,28,1,"0,036",28,1,"0,036"
Kamil Pestka,Cracovia,Obrońca,50,1,"0,020",50,1,"0,020"
Cornel Rapa,Cracovia,Obrońca,123,5,"0,041",68,4,"0,059"
Michal Siplak,Cracovia,Obrońca,68,3,"0,044",68,3,"0,044"
Milan Dimun,Cracovia,Pomocnik,83,4,"0,048",83,4,"0,048"
Ivan Fiolić,Cracovia,Pomocnik,14,0,"0,000",14,0,"0,000"
Janusz Gol,Cracovia,Pomocnik,179,8,"0,045",56,1,"0,018"
Sergiu Hanca,Cracovia,Pomocnik,50,10,"0,200",50,10,"0,200"
Florian Loshaj,Cracovia,Pomocnik,12,0,"0,000",12,0,"0,000"
Sylwester Lusiusz,Cracovia,Pomocnik,28,0,"0,000",28,0,"0,000"
Daniel Pik,Cracovia,Pomocnik,11,0,"0,000",11,0,"0,000"
Michał Rakoczy,Cracovia,Pomocnik,10,1,"0,100",10,1,"0,100"
Mateusz Supryn,Cracovia,Pomocnik,1,0,"0,000",1,0,"0,000"
Thiago,Cracovia,Pomocnik,12,0,"0,000",12,0,"0,000"
Pelle van Amersfoort,Cracovia,Pomocnik,34,8,"0,235",34,8,"0,235"
Tomas Vestenicky,Cracovia,Pomocnik,51,2,"0,039",51,2,"0,039"
Mateusz Wdowiak,Cracovia,Pomocnik,130,8,"0,062",130,8,"0,062"
Tomasz Bała,Cracovia,Napastnik,1,0,"0,000",1,0,"0,000"
Rafael Lopes,Cracovia,Napastnik,35,11,"0,314",35,11,"0,314"
Sebastian Strózik,Cracovia,Napastnik,33,1,"0,030",33,1,"0,030"
Vinicius Ferreira,Cracovia,Napastnik,1,0,"0,000",1,0,"0,000"
Martin Chudy,Górnik,Bramkarz,54,0,"0,000",54,0,"0,000"
Dawid Kudła,Górnik,Bramkarz,64,0,"0,000",0,0,-
Paweł Bochniewicz,Górnik,Obrońca,81,3,"0,037",81,3,"0,037"
Adrian Gryszkiewicz,Górnik,Obrońca,32,0,"0,000",32,0,"0,000"
Erik Janza,Górnik,Obrońca,36,0,"0,000",36,0,"0,000"
