ZAWODNIK,KLUB,słupek,poprzeczka,SUMA
Igor Angulo,Górnik Zabrze,3,2,5
Rafael Lopes,Cracovia,4,0,4
Piotr Parzyszek,Piast Gliwice,3,1,4
Jesus Jimenez,Górnik Zabrze,2,1,3
Jose Kante,Legia Warszawa,2,1,3
Filip Starzyński,Zagłębie Lubin,1,2,3
Jakub Moder,Lech Poznań,3,0,3
Bartosz Białek,Zagłębie Lubin,1,2,3
Petteri Forsell,Korona Kielce,1,2,3
Gerard Badia,Piast Gliwice,1,1,2
Paweł Bochniewicz,Górnik Zabrze,0,2,2
Chuca,Wisła Kraków,1,1,2
Kamil Drygas,Pogoń Szczecin,1,1,2
Uros Duranović,Korona Kielce,1,1,2
Dominik Furman,Wisła Płock,1,1,2
Lubomir Guldan,Zagłębie Lubin,1,1,2
Michał Helik,Cracovia,2,0,2
Jesus Imaz,Jagiellonia,2,0,2
Maciej Makuszewski,Lech/Jagiellonia,2,0,2
Tomas Prikryl,Jagiellonia,1,1,2
Taras Romanczuk,Jagiellonia,2,0,2
Pedro Tiba,Lech Poznań,2,0,2
Michał Trąbka,ŁKS Łódź,1,1,2
Alan Uryga,Wisła Płock,1,1,2
Marko Vesović,Legia Warszawa,2,0,2
Rafał Wolski,Lechia Gdańsk,0,2,2
Damian Dąbrowski,Pogoń Szczecin,1,1,2
Marko Vejinović,Arka Gdynia,0,2,2
Roman Prochazka,Górnik Zabrze,2,0,2
Łukasz Zwoliński,Lechia Gdańsk,2,0,2
Joao Amaral,Lech Poznań,0,1,1
Kamil Antonik,Arka Gdynia,0,1,1
Denys Bałaniuk,Wisła Kraków,0,1,1
Jakub Bartkowski,Pogoń Szczecin,1,0,1
Vullnet Basha,Wisła Kraków,0,1,1
Rafał Boguski,Wisła Kraków,1,0,1
Damjan Bohar,Zagłębie Lubin,1,0,1
Paweł Brożek,Wisła Kraków,1,0,1
Aleksander Buksa,Wisła Kraków,1,0,1
Marcin Cebula,Korona Kielce,1,0,1
Dorde Crnomarković,Lech Poznań,1,0,1
Jakub Czerwiński,Piast Gliwice,0,1,1
Maciej Dąbrowski,Zagłębie/ŁKS,0,1,1
Adam Deja,Arka Gdynia,1,0,1
Erik Exposito,Śląsk Wrocław,1,0,1
Jorge Felix,Piast Gliwice,0,1,1
Flavio Paixao,Lechia Gdańsk,0,1,1
Felicio Brown Forbes,Raków Częstochowa,0,1,1
Damian Gąska,Śląsk Wrocław,1,0,1
Jan Grzesik,ŁKS Łódź,0,1,1
Walerian Gwilia,Legia Warszawa,0,1,1
Sergiu Hanca,Cracovia,0,1,1
David Jablonsky,Cracovia,0,1,1
Erik Janza,Górnik Zabrze,0,1,1
Artur Jędrzejczyk,Legia Warszawa,1,0,1
Darko Jevtić,Lech Poznań,0,1,1
Mikkel Kirkeskov,Piast Gliwice,0,1,1
Kostas Triantafyllopoulos,Pogoń Szczecin,1,0,1
Adnan Kovacević,Korona Kielce,0,1,1
Sebastian Kowalczyk,Pogoń Szczecin,1,0,1
Grzegorz Kuświk,Wisła Płock,1,0,1
Luquinhas,Legia Warszawa,1,0,1
Mateusz Matras,Górnik Zabrze,1,0,1
Filip Mladenović,Lechia Gdańsk,0,1,1
Sebastian Musiolik,Raków Częstochowa,1,0,1
Jarosław Niezgoda,Legia Warszawa,1,0,1
Arvydas Novikovas,Legia Warszawa,0,1,1
Pirulo,ŁKS Łódź,0,1,1
Przemysław Płacheta,Śląsk Wrocław,1,0,1
Marko Poletanović,Jagiellonia/Raków,0,1,1
Martin Pospisil,Jagiellonia,1,0,1
Tymoteusz Puchacz,Lech Poznań,0,1,1
Matej Pućko,Korona Kielce,0,1,1
Dani Ramirez,ŁKS/Lech,0,1,1
Luis Rocha,Legia Warszawa,1,0,1
Maciej Sadlok,Wisła Kraków,0,1,1
Dawit Schirtladze,Arka Gdynia,1,0,1
Petr Schwarz,Raków Częstochowa,1,0,1
Fabian Serrarens,Arka Gdynia,0,1,1
Bartosz Slisz,Zagłębie Lubin,1,0,1
Artur Sobiech,Lechia Gdańsk,1,0,1
Srdan Spiridonović,Pogoń Szczecin,1,0,1
Miłosz Szczepański,Raków Częstochowa,1,0,1
Mateusz Szwoch,Wisła Płock,0,1,1
Patryk Tuszyński,Zagłębie/Piast,0,1,1
Mateusz Wieteska,Legia Warszawa,0,1,1
Przemysław Wiśniewski,Górnik Zabrze,0,1,1
Kamil Wojtkowski,Wisła Kraków,0,1,1
Sasa Zivec,Zagłębie Lubin,0,1,1
Salvador Agra,Legia Warszawa,1,0,1
Michał Marcjanik,Wisła Płock,0,1,1
Daniel Bartl,Raków Częstochowa,0,1,1
Filip Marković,Śląsk Wrocław,0,1,1
Lubomir Satka,Lech Poznań,0,1,1
Dragoljub Srnić,ŁKS Łódź,1,0,1
Mario Maloca,Lechia Gdańsk,1,0,1
Piotr Malinowski,Raków Częstochowa,1,0,1
Marcus Vinicius,Arka Gdynia,1,0,1
Jaroslav Mihalik,Lechia Gdańsk,1,0,1
Paweł Cibicki,Pogoń Szczecin,1,0,1
Cillian Sheridan,Wisła Płock,0,1,1
Jacek Kiełb,Korona Kielce,1,0,1
Tomas Pekhart,Legia Warszawa,0,1,1
Ze Gomes,Lechia Gdańsk,1,0,1
Ben Lederman,Raków Częstochowa,1,0,1
