KLUB,DLA,PRZECIW,% WYK.,% WYK.przeciw,BILANS
Arka Gdynia,50,94,"36,00%","30,85%",-44
Cracovia,75,67,"28,00%","29,85%",8
Górnik Zabrze,99,73,"27,27%","30,14%",26
Jagiellonia Białystok,70,73,"37,14%","34,25%",-3
Korona Kielce,56,78,"17,86%","32,05%",-22
Lech Poznań,82,70,"39,02%","27,14%",12
Lechia Gdańsk,69,62,"36,23%","27,42%",7
Legia Warszawa,105,33,"36,19%","39,39%",72
ŁKS Łódź,51,92,"31,37%","33,70%",-41
Piast Gliwice,86,56,"25,58%","25,00%",30
Pogoń Szczecin,46,80,"28,26%","25,00%",-34
Raków Częstochowa,85,75,"25,88%","29,33%",10
Śląsk Wrocław,68,64,"35,29%","32,81%",4
Wisła Kraków,55,76,"34,55%","40,79%",-21
Wisła Płock,58,76,"34,48%","34,21%",-18
Zagłębie Lubin,82,68,"36,59%","41,18%",14
