KOL,GOSP,GOŚĆ,ST GOSP,ST GOŚĆ,ST C GOSP,ST C GOŚĆ,G GOSP,G GOŚĆ,xG GOSP,xG GOŚĆ,xG/s gosp,xG/s gość,% GOSP,% REMIS,% GOŚĆ
1,Arka,Jagiellonia,14,10,2,4,0,3,"1,00","1,55","0,07","0,15",23%,26%,51%
1,ŁKS,Lechia,25,8,7,5,0,0,"1,22","0,50","0,05","0,06",54%,31%,15%
1,Raków,Korona,5,16,1,10,0,1,"0,34","2,42","0,07","0,15",3%,11%,85%
1,Wisła K,Śląsk,10,16,4,5,0,1,"0,84","1,39","0,08","0,09",22%,28%,50%
1,Piast,Lech,8,20,3,7,1,1,"1,10","1,88","0,14","0,09",21%,23%,56%
1,Zagłębie,Cracovia,9,14,3,5,1,1,"0,52","0,92","0,06","0,07",20%,36%,44%
1,Legia,Pogoń,17,15,5,7,1,2,"0,90","0,84","0,05","0,06",35%,34%,31%
1,Wisła P,Górnik,16,11,2,6,1,1,"1,43","1,27","0,09","0,12",40%,26%,33%
2,Górnik,Zagłębie,15,13,3,2,1,0,"1,17","0,94","0,08","0,07",41%,30%,29%
2,Lech,Wisła P,14,11,6,3,4,0,"1,85","1,75","0,13","0,16",40%,23%,37%
2,Cracovia,ŁKS,24,15,6,7,1,2,"2,52","1,68","0,10","0,11",56%,19%,24%
2,Jagiellonia,Raków,17,10,5,6,0,1,"1,15","0,69","0,07","0,07",47%,31%,22%
2,Korona,Legia,12,10,4,4,1,2,"0,88","1,45","0,07","0,15",22%,27%,51%
2,Lechia,Wisła K,11,16,3,3,0,0,"0,47","0,63","0,04","0,04",23%,44%,33%
2,Śląsk,Piast,15,9,6,5,2,1,"2,02","1,47","0,13","0,16",50%,23%,27%
2,Pogoń,Arka,12,8,4,5,2,0,"0,77","0,73","0,06","0,09",32%,37%,31%
3,Arka,Korona,18,9,2,3,1,1,"1,45","0,66","0,08","0,07",57%,27%,16%
3,Zagłębie,Jagiellonia,17,14,6,7,2,2,"1,63","1,92","0,10","0,14",32%,23%,45%
3,Raków,Cracovia,21,12,7,6,1,2,"2,42","0,89","0,12","0,07",72%,17%,11%
3,ŁKS,Lech,22,13,5,6,1,2,"1,65","0,99","0,07","0,08",53%,25%,22%
3,Wisła P,Lechia,15,12,4,3,1,2,"0,42","0,86","0,03","0,07",17%,38%,45%
3,Legia,Śląsk,15,9,6,1,0,0,"0,71","0,41","0,05","0,05",39%,43%,19%
3,Piast,Pogoń,11,12,5,6,0,0,"1,01","0,49","0,09","0,04",48%,34%,17%
3,Wisła K,Górnik,11,11,3,4,1,0,"1,53","0,85","0,14","0,08",54%,26%,20%
4,Lech,Śląsk,19,16,8,7,1,3,"1,63","1,55","0,09","0,10",40%,24%,36%
4,Pogoń,Wisła K,23,11,7,4,1,0,"2,03","1,44","0,09","0,13",51%,22%,27%
4,Zagłębie,Arka,18,9,5,4,2,0,"1,99","0,29","0,11","0,03",80%,16%,4%
4,Górnik,Raków,11,19,2,2,0,0,"0,81","1,48","0,07","0,08",20%,27%,53%
4,ŁKS,Piast,22,13,5,1,0,0,"1,78","1,16","0,08","0,09",52%,24%,24%
4,Cracovia,Korona,14,9,5,3,1,0,"0,71","0,70","0,05","0,08",31%,38%,31%
4,Lechia,Jagiellonia,6,15,2,2,1,1,"0,63","1,35","0,10","0,09",17%,28%,55%
5,Wisła K,ŁKS,18,19,8,6,4,0,"1,42","0,83","0,08","0,04",52%,27%,21%
5,Śląsk,Cracovia,16,16,7,8,2,1,"1,64","1,32","0,10","0,08",45%,25%,30%
5,Arka,Lech,18,21,4,8,0,0,"0,89","1,41","0,05","0,07",23%,27%,50%
5,Jagiellonia,Górnik,16,16,9,5,3,1,"2,11","1,62","0,13","0,10",50%,22%,29%
5,Piast,Wisła P,19,11,7,3,1,0,"1,79","0,70","0,09","0,06",64%,22%,13%
5,Legia,Zagłębie,17,10,5,5,1,0,"1,09","0,52","0,06","0,05",50%,33%,17%
5,Raków,Lechia,20,17,6,5,2,1,"2,02","1,73","0,10","0,10",45%,22%,33%
5,Korona,Pogoń,12,8,4,3,0,1,"0,59","0,42","0,05","0,05",33%,46%,21%
6,Jagiellonia,Wisła K,13,14,4,7,3,2,"2,63","1,84","0,20","0,13",56%,19%,25%
6,Cracovia,Arka,17,8,10,2,3,1,"1,98","0,57","0,12","0,07",72%,19%,9%
6,Lechia,Śląsk,13,13,4,6,1,1,"0,61","0,46","0,05","0,04",33%,45%,23%
6,Raków,Lech,17,19,8,10,2,3,"2,96","1,36","0,17","0,07",72%,15%,13%
6,Górnik,Korona,14,11,8,0,3,0,"2,93","0,45","0,21","0,04",89%,8%,3%
6,ŁKS,Legia,21,16,4,10,2,3,"1,94","2,23","0,09","0,14",34%,21%,46%
6,Zagłębie,Piast,14,11,4,6,0,3,"1,37","1,87","0,10","0,17",27%,23%,50%
6,Pogoń,Wisła P,16,9,9,5,1,2,"1,32","1,13","0,08","0,13",40%,28%,32%
7,Arka,Górnik,20,12,8,5,1,0,"1,67","0,78","0,08","0,07",59%,24%,17%
7,Korona,Jagiellonia,7,7,0,2,0,2,"0,29","0,56","0,04","0,08",15%,50%,35%
7,Wisła P,ŁKS,10,8,6,4,2,1,"0,63","0,97","0,06","0,12",22%,34%,43%
7,Piast,Lechia,16,10,5,6,1,2,"1,73","0,85","0,11","0,09",59%,24%,17%
7,Wisła K,Zagłębie,15,15,6,6,4,2,"1,54","1,17","0,10","0,08",46%,26%,28%
7,Śląsk,Pogoń,8,11,3,3,1,1,"0,52","0,50","0,06","0,05",28%,46%,26%
7,Lech,Cracovia,13,13,2,8,1,2,"1,11","1,30","0,09","0,10",31%,28%,41%
7,Legia,Raków,16,8,7,4,3,1,"1,89","0,30","0,12","0,04",78%,17%,5%
8,Zagłębie,Wisła P,13,12,7,2,5,0,"1,48","0,48","0,11","0,04",63%,25%,11%
8,Jagiellonia,Legia,14,8,1,2,0,0,"1,34","0,81","0,10","0,10",49%,29%,22%
8,Raków,Arka,15,9,7,2,2,0,"1,01","0,49","0,07","0,05",48%,35%,17%
