ZAWODNIK,KLUB,Strzały,G,xG,xG/s,G-xG,non-pen xG,non-pen xG/s,G - xG NON-PEN,KP,AST,xAST,KP-xAST
Damjan Bohar,Zagłębie Lubin,70,15,"7,967","0,114","7,033","7,217","0,105","6,783",38,5,"3,364","1,636"
Jarosław Niezgoda,Legia Warszawa,36,14,"6,797","0,189","7,203","4,547","0,138","6,453",16,2,"1,076","0,924"
Christian Gytkjaer,Lech Poznań,79,24,"19,658","0,249","4,342","17,408","0,229","3,592",26,2,"1,840","0,160"
Marko Vejinović,Arka Gdynia,48,8,"4,811","0,100","3,189","1,811","0,041","3,189",30,0,"2,013","-2,013"
Flavio Paixao,Lechia Gdańsk,58,14,"10,596","0,183","3,404","6,846","0,129","3,154",25,1,"2,109","-1,109"
Paweł Brożek,Wisła Kraków,25,8,"5,130","0,205","2,870","4,380","0,182","2,620",16,2,"1,069","0,931"
Dino Stiglec,Śląsk Wrocław,32,4,"1,421","0,044","2,579","1,421","0,044","2,579",46,5,"3,206","1,794"
Łukasz Zwoliński,Lechia Gdańsk,29,7,"4,971","0,171","2,029","3,471","0,129","2,529",6,0,"0,553","-0,553"
Vukan Savicević,Wisła Kraków,27,4,"1,523","0,056","2,477","1,523","0,056","2,477",18,3,"2,706","0,294"
Darko Jevtić,Lech Poznań,50,6,"3,331","0,067","2,669","2,581","0,053","2,419",43,5,"4,705","0,295"
Gerard Badia,Piast Gliwice,33,4,"2,544","0,077","1,456","1,794","0,056","2,206",37,4,"3,944","0,056"
Alon Turgeman,Wisła Kraków,22,6,"4,441","0,202","1,559","2,941","0,147","2,059",6,0,"0,874","-0,874"
Aleksander Buksa,Wisła Kraków,16,4,"1,944","0,122","2,056","1,944","0,122","2,056",1,0,"0,067","-0,067"
Rafael Lopes,Cracovia,83,11,"8,972","0,108","2,028","8,972","0,108","2,028",27,2,"2,623","-0,623"
Kamil Jóźwiak,Lech Poznań,68,8,"5,981","0,088","2,019","5,981","0,088","2,019",63,4,"4,890","-0,890"
Jakub Kamiński,Lech Poznań,25,4,"2,022","0,081","1,978","2,022","0,081","1,978",30,1,"2,638","-1,638"
Jesus Jimenez,Górnik Zabrze,81,12,"10,042","0,124","1,958","10,042","0,124","1,958",53,6,"4,846","1,154"
Bartosz Białek,Zagłębie Lubin,52,9,"7,045","0,135","1,955","7,045","0,135","1,955",12,2,"1,734","0,266"
Kamil Kościelny,Raków Częstochowa,10,3,"1,057","0,106","1,943","1,057","0,106","1,943",4,0,"0,820","-0,820"
Ricardinho,Wisła Płock,21,4,"2,164","0,103","1,836","2,164","0,103","1,836",16,1,"0,863","0,137"
Erik Jirka,Górnik Zabrze,30,4,"2,194","0,073","1,806","2,194","0,073","1,806",15,0,"1,087","-1,087"
David Niepsuj,Wisła Kraków,5,2,"0,254","0,051","1,746","0,254","0,051","1,746",16,1,"1,267","-0,267"
Filip Marchwiński,Lech Poznań,16,3,"1,292","0,081","1,708","1,292","0,081","1,708",10,0,"0,383","-0,383"
Tomas Petrasek,Raków Częstochowa,41,6,"4,301","0,105","1,699","4,301","0,105","1,699",12,0,"0,677","-0,677"
Przemysław Płacheta,Śląsk Wrocław,79,8,"6,327","0,080","1,673","6,327","0,080","1,673",58,4,"5,612","-1,612"
Maciej Rosołek,Legia Warszawa,9,3,"1,375","0,153","1,625","1,375","0,153","1,625",5,0,"0,697","-0,697"
Petteri Forsell,Korona Kielce,63,4,"2,404","0,038","1,596","2,404","0,038","1,596",39,1,"2,635","-1,635"
