KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,SKRÓT
Arka Gdynia,"1,05","1,54",47%,"11,24","3,84","4,70","2,70","34,13%","8,89%","4,05","1,68","4,59","18,16","2,32","0,08",ARK
Cracovia,"1,32","1,08",50%,"13,73","4,57","5,76","3,41","33,27%","8,27%","5,76","1,30","2,76","15,57","2,30","0,05",CRA
Górnik Zabrze,"1,38","1,27",46%,"13,05","4,41","5,30","3,35","33,75%","9,73%","5,11","1,89","3,41","16,00","2,03","0,05",GÓR
Jagiellonia Białystok,"1,30","1,38",50%,"14,97","4,59","5,62","4,76","30,69%","8,30%","6,03","1,78","2,76","13,76","2,41","0,11",JAG
Korona Kielce,"0,78","1,30",48%,"13,38","4,22","5,51","3,65","31,52%","5,25%","5,08","1,89","3,35","18,59","2,73","0,19",KOR
Lech Poznań,"1,89","0,95",56%,"16,65","5,97","5,65","5,03","35,88%","11,20%","6,62","1,03","3,05","12,97","1,95","0,11",LPO
Lechia Gdańsk,"1,30","1,35",48%,"11,84","3,95","4,92","2,97","33,33%","10,73%","5,16","2,27","3,62","15,68","2,51","0,14",LGD
Legia Warszawa,"1,89","0,95",52%,"16,57","6,08","6,41","4,08","36,70%","10,93%","5,62","1,46","2,46","16,00","1,86","0,05",LEG
ŁKS Łódź,"0,89","1,84",54%,"14,51","4,19","5,51","4,81","28,86%","6,15%","4,81","1,11","3,57","16,19","2,54","0,11",ŁKS
Piast Gliwice,"1,11","0,86",50%,"13,76","4,95","5,54","3,27","35,95%","7,47%","4,95","1,32","3,46","12,43","1,46","0,11",PIA
Pogoń Szczecin,"1,00","1,05",52%,"13,84","4,24","5,70","3,89","30,66%","7,23%","4,76","1,27","3,32","14,38","1,92","0,11",POG
Raków Częstochowa,"1,38","1,51",47%,"13,49","4,62","5,68","3,19","34,27%","9,22%","5,08","1,54","3,70","15,92","2,08","0,05",RCZ
Śląsk Wrocław,"1,38","1,24",49%,"12,78","4,35","5,43","3,00","34,04%","10,57%","5,41","1,38","3,76","15,46","1,84","0,11",ŚLĄ
Wisła Kraków,"1,19","1,51",52%,"11,35","3,81","4,54","3,00","33,57%","10,24%","4,76","1,89","3,22","15,97","2,32","0,14",WIS
Wisła Płock,"1,22","1,46",47%,"10,73","4,11","4,38","2,24","38,29%","11,08%","5,14","1,46","3,03","15,43","1,92","0,00",WPŁ
Zagłębie Lubin,"1,65","1,43",52%,"14,89","5,35","5,59","3,95","35,93%","10,71%","5,14","1,62","3,43","14,95","1,70","0,08",ZAG
