KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Arka Gdynia,"1,84","0,95",54%,"19,58","7,11","7,58","4,89","36,29%","8,87%","7,58","1,26","2,47","14,68","1,79","0,00",ARK
Cracovia,"1,26","1,21",52%,"13,05","4,21","4,74","4,11","32,26%","9,68%","6,63","0,95","3,42","16,79","2,47","0,11",CRA
Górnik Zabrze,"1,50","0,83",57%,"15,00","4,89","5,94","4,17","32,59%","9,63%","6,56","2,22","2,67","14,83","1,83","0,06",GÓR
Jagiellonia,"1,74","1,21",51%,"13,32","4,26","5,74","3,32","32,02%","11,86%","5,47","2,47","2,68","14,53","1,63","0,16",JAG
Korona Kielce,"1,63","0,79",54%,"15,11","5,58","5,53","4,00","36,93%","10,45%","5,37","1,26","3,32","16,11","1,79","0,11",KOR
Lech Poznań,"1,17","1,67",47%,"14,78","4,67","6,28","3,83","31,58%","7,14%","5,50","2,06","4,06","15,06","2,28","0,06",LPO
Lechia Gdańsk,"1,47","1,47",55%,"20,63","5,58","8,05","7,00","27,04%","6,89%","7,00","1,32","2,79","13,63","2,42","0,05",LGD
Legia Warszawa,"1,06","1,22",49%,"10,72","3,89","4,22","2,61","36,27%","9,84%","5,11","1,06","3,94","14,50","2,11","0,06",LEG
ŁKS Łódź,"2,05","0,63",48%,"15,79","6,21","6,58","3,00","39,33%","13,00%","7,16","2,16","2,95","17,84","1,74","0,00",ŁKS
Piast Gliwice,"1,11","0,89",51%,"13,83","4,89","5,61","3,33","35,34%","7,63%","5,72","1,56","3,22","16,06","2,39","0,22",PIA
Pogoń Szczecin,"1,16","1,00",49%,"11,47","3,95","5,00","2,53","34,40%","9,17%","4,89","2,74","2,63","16,58","1,84","0,00",POG
Raków Częstochowa,"1,89","1,17",55%,"15,83","6,00","5,61","4,22","37,89%","10,53%","4,67","0,94","2,94","15,78","2,17","0,00",RCZ
Śląsk Wrocław,"1,00","0,78",52%,"14,00","5,61","4,94","3,44","40,08%","7,14%","5,11","1,56","2,94","12,89","1,89","0,00",ŚLĄ
Wisła Kraków,"2,00","1,00",48%,"15,95","4,84","6,26","4,84","30,36%","12,54%","5,26","0,84","2,53","15,16","2,32","0,05",WIS
Wisła Płock,"1,72","1,00",54%,"14,33","4,67","5,61","4,06","32,56%","12,02%","4,50","1,39","3,00","17,72","2,22","0,22",WPŁ
Zagłębie Lubin,"1,61","1,39",48%,"15,22","5,06","6,56","3,61","33,21%","10,58%","4,67","1,17","3,39","13,89","1,94","0,06",ZAG
