KLUB,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,Średnia,DR,ŚREDNIA,"182,72","182,61","182,72","182,77","182,86","182,85","182,63","182,49","182,57","182,38","182,68","182,88","182,79","182,76","182,85","182,75","182,80","183,02","182,70","182,56","182,57","182,37","182,74","182,02","182,34","182,22","182,57","182,53","182,93","182,98","182,34","182,61","182,70","182,83","182,33","182,32","183,12",,
Arka Gdynia,"185,09","183,18","183,18","183,73","183,18","183,18","185,27","184,45","184,73","184,73","184,73","183,82","184,18","183,55","184,55","183,82","184,09","184,36","184,18","183,64","183,36","184,36","184,91","184,09","182,45","182,73","183,09","182,45","182,27","182,27","182,27","182,82","182,82","183,09","181,36","181,55","182,27","183,51",ARK
Cracovia,"187,00","187,09","185,36","184,18","184,18","185,82","184,09","183,09","183,09","185,36","185,73","186,00","186,00","186,36","186,36","185,45","185,45","185,36","185,73","186,18","184,91","185,55","185,55","182,73","185,27","183,18","183,45","184,09","185,27","185,27","185,27","185,91","185,64","185,18","185,82","180,09","184,36","185,01",CRA
Górnik Zabrze,"183,55","183,00","181,64","184,00","183,82","184,00","183,82","184,00","183,73","181,64","183,91","183,45","184,00","183,45","183,45","181,91","183,36","183,73","183,91","183,45","182,64","182,55","185,00","182,64","183,27","182,00","182,27","182,27","183,45","181,45","182,36","181,91","182,45","183,82","182,27","183,73","183,36","183,12",GÓR
Jagiellonia Białystok,"183,18","183,18","184,27","184,18","183,09","183,36","183,00","183,09","183,00","183,55","183,55","183,55","183,64","184,09","184,36","184,82","184,00","184,91","182,09","182,09","183,36","183,73","184,45","182,91","182,82","182,91","184,45","182,18","182,91","183,09","182,73","182,91","182,82","183,09","183,00","183,18","183,18","183,37",JAG
Korona Kielce,"183,36","183,45","182,64","183,18","183,18","183,45","181,27","181,73","181,73","183,73","183,36","184,09","183,09","183,09","182,36","183,09","183,18","183,18","182,36","182,91","181,91","180,73","181,27","180,36","181,18","182,09","181,36","181,36","181,73","181,64","181,82","182,36","181,82","182,18","181,27","182,82","181,55","182,32",KOR
Lech Poznań,"180,36","181,36","181,36","180,82","181,45","181,82","181,82","181,18","180,64","182,45","183,18","183,09","182,09","182,09","181,55","181,55","182,45","182,45","182,09","184,36","181,64","180,73","180,73","180,73","181,00","181,45","181,09","181,09","181,55","181,27","181,27","181,64","181,55","181,18","180,64","182,82","181,55","181,62",LPO
Lechia Gdańsk,"183,36","181,09","182,18","183,36","184,18","183,27","182,73","182,55","183,36","183,36","182,82","184,27","182,64","181,18","182,55","182,00","181,36","182,64","183,45","182,00","183,18","183,18","182,82","182,36","181,91","183,82","182,91","182,45","183,09","182,82","180,73","183,27","181,82","182,91","181,09","181,64","182,36","182,61",LGD
Legia Warszawa,"183,82","182,27","180,82","180,91","180,91","181,27","179,45","180,91","179,73","179,82","181,00","179,73","181,09","181,36","181,18","181,91","180,27","180,45","180,73","180,36","180,18","180,55","181,18","179,82","181,36","180,45","181,45","181,36","182,73","182,55","180,45","181,55","182,27","182,09","180,73","181,73","182,18","181,10",LEG
ŁKS Łódź,"181,36","181,36","181,36","180,73","181,18","182,09","181,91","181,55","181,45","180,09","180,27","180,27","180,55","180,45","181,00","179,55","181,36","181,82","180,36","180,45","181,64","181,64","179,82","180,27","180,00","180,00","179,27","180,91","179,45","181,82","181,09","181,45","181,27","179,55","180,91","180,73","180,36","180,79",ŁKS
Piast Gliwice,"182,18","183,45","183,64","182,82","183,27","183,27","182,82","184,00","183,45","182,64","183,36","183,36","183,36","184,64","183,36","183,73","184,18","183,82","184,09","182,91","183,55","183,18","182,27","182,27","183,64","182,09","183,00","183,00","184,09","183,27","182,18","183,00","183,27","183,00","182,18","185,45","183,55","183,28",PIA
Pogoń Szczecin,"181,82","182,36","183,09","181,55","181,73","180,73","181,82","182,09","182,36","181,09","181,09","181,91","181,55","180,09","181,09","181,27","181,55","181,00","180,55","181,00","181,09","180,73","180,91","181,27","180,91","180,45","181,64","182,27","182,64","183,27","182,64","181,45","180,73","181,82","182,09","182,18","182,36","181,57",POG
Raków Częstochowa,"179,91","181,09","183,73","183,73","183,09","181,55","183,09","183,91","184,55","180,45","182,45","184,18","184,18","186,00","184,82","184,36","184,00","183,45","183,64","182,64","183,27","182,18","184,55","184,82","184,82","184,82","184,27","185,73","185,73","186,09","182,91","182,27","184,64","184,82","183,36","181,55","185,09","183,67",RCZ
Śląsk Wrocław,"180,09","180,73","181,45","181,82","182,36","182,91","182,64","182,36","182,36","182,36","183,18","181,91","182,09","182,09","182,09","182,55","181,82","183,00","181,82","181,82","182,36","181,82","182,00","182,00","183,00","181,64","184,00","183,27","184,09","183,18","184,09","182,64","181,64","183,18","184,27","182,55","184,55","182,48",ŚLĄ
Wisła Kraków,"181,82","181,27","181,55","182,73","182,64","182,09","182,00","181,45","181,82","181,82","180,00","182,73","182,00","182,18","181,36","182,55","182,18","182,36","182,36","182,36","181,27","181,00","181,55","181,00","181,00","181,45","182,36","181,91","181,91","183,36","183,36","184,27","185,00","184,09","182,18","182,82","185,55","182,25",WIS
