KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ
Cracovia,-2,0,1,0,0,-2,-3,2,-4,-1,-3
Górnik Zabrze,0,-2,-2,2,-2,3,-3,2,-2,-2,0
Jagiellonia,4,0,-4,0,2,-4,-3,-4,-9,0,-9
Lech Poznań,-2,-1,3,0,6,-1,-2,-2,1,0,1
Lechia Gdańsk,1,-3,3,1,-4,2,-1,4,3,2,1
Legia Warszawa,6,8,-2,-3,4,8,1,2,24,9,15
Piast Gliwice,-5,3,1,0,2,-1,4,3,7,-1,8
Podbeskidzie,0,-2,-9,-2,-5,-5,-2,-6,-31,-13,-18
Pogoń Szczecin,2,2,-1,0,1,5,1,3,13,3,10
Raków Częstochowa,1,4,6,0,5,0,5,0,21,11,10
Stal Mielec,-3,0,-5,-1,-2,-3,-2,0,-16,-9,-7
Śląsk Wrocław,5,2,-2,1,0,-1,0,-1,4,6,-2
Warta Poznań,-4,-2,2,0,2,2,4,-3,1,-4,5
Wisła Kraków,3,2,1,1,0,-6,-4,0,-3,7,-10
Wisła Płock,-3,1,0,1,-4,-1,1,-2,-7,-1,-6
Zagłębie Lubin,-3,-12,8,0,-5,4,4,2,-2,-7,5
