ZAWODNIK,KLUB,POZYCJA,MIN,MECZE,OSTATNI GOL,PRZECIW
Damian Dąbrowski,Pogoń Szczecin,pomocnik,6100,83,08.05.2017,Arka
Andre Martins,Legia Warszawa,pomocnik,4560,63,03.04.2019,Jagiellonia
Michał Kopczyński,Warta Poznań,pomocnik,4221,71,-,-
Jakub Żubrowski,Zagłębie Lubin,pomocnik,3951,52,02.08.2019,Arka
Marko Poletanović,Raków Częstochowa,pomocnik,3039,51,08.12.2018,Wisła K.
Milan Dimun,Cracovia,pomocnik,3008,52,05.05.2019,Lechia
Gieorgij Żukow,Wisła Kraków,pomocnik,2876,38,-,-
Roman Prochazka,Górnik Zabrze,pomocnik,2851,42,-,-
Igor Sapała,Raków Częstochowa,pomocnik,2569,30,20.06.2020,Wisła K.
Marcin Budziński,Cracovia,pomocnik,2407,37,13.03.2017,Zagłębie L.
Sylwester Lusiusz,Cracovia,pomocnik,2369,34,-,-
Patryk Kun,Raków Częstochowa,pomocnik,2317,28,22.08.2020,Legia
Maciej Urbańczyk,Stal Mielec,pomocnik,2083,25,19.02.2017,Legia
Jakub Kamiński,Lech Poznań,pomocnik,1899,26,30.08.2020,Wisła P.
Vullnet Basha,Wisła Kraków,pomocnik,1783,24,19.12.2019,ŁKS
Maciej Pałaszewski,Śląsk Wrocław,pomocnik,1773,36,-,-
Łukasz Sierpina,Podbeskidzie Bielsko-Biała,pomocnik,1700,30,20.02.2016,Lechia
Michał Rzuchowski,Podbeskidzie Bielsko-Biała,pomocnik,1675,22,11.09.2020,Jagiellonia
Łukasz Poręba,Zagłębie Lubin,pomocnik,1667,25,14.07.2020,Wisła K.
Konrad Wrzesiński,Jagiellonia Białystok,pomocnik,1568,22,19.08.2018,Legia
Damir Sadiković,Cracovia,pomocnik,1530,20,-,-
Kenny Saief,Lechia Gdańsk,pomocnik,1455,24,21.06.2020,Pogoń
Tomasz Jodłowiec,Piast Gliwice,pomocnik,1418,27,19.07.2020,Cracovia
Martin Pospisil,Jagiellonia Białystok,pomocnik,1407,18,23.11.2020,Wisła P.
Waldemar Sobota,Śląsk Wrocław,pomocnik,1401,26,29.08.2020,Wisła K.
Nikola Kuveljić,Wisła Kraków,pomocnik,1397,24,-,-
Giorgi Merebaszwili,Wisła Płock,pomocnik,1391,25,21.12.2019,Piast
Mateusz Praszelik,Śląsk Wrocław,pomocnik,1374,20,24.10.2020,Jagiellonia
Karol Danielak,Podbeskidzie Bielsko-Biała,pomocnik,1372,24,30.08.2020,Cracovia
Patryk Plewka,Wisła Kraków,pomocnik,1340,15,18.10.2020,Stal
Bartosz Slisz,Legia Warszawa,pomocnik,1323,15,18.12.2020,Stal
Krzysztof Kubica,Górnik Zabrze,pomocnik,1278,22,-,-
Dejan Drazić,Zagłębie Lubin,pomocnik,1268,16,11.12.2020,Śląsk
Piotr Tomasik,Wisła Płock,pomocnik,1240,16,27.06.2020,ŁKS
Adam Ratajczyk,Zagłębie Lubin,pomocnik,1235,26,04.03.2020,Zagłębie L.
Jesper Karlstrom,Lech Poznań,pomocnik,1224,16,-,-
Gerard Badia,Piast Gliwice,pomocnik,1211,24,08.03.2020,Legia
Jan Sykora,Lech Poznań,pomocnik,1181,22,-,-
Ariel Borysiuk,Jagiellonia Białystok,pomocnik,1141,25,03.03.2020,Pogoń
