KLUB,RAZEM,KARNY,ROŻNY,WOLNY,WOLNY BEZP,AUT,PO SFG,% PO SFG,Z GRY,% Z GRY,SUMA,589,76,89,44,10,15,234,"39,73%",355,"60,27%"
Cracovia,32,2,5,5,1,0,13,"40,63%",19,"59,38%"
Górnik Zabrze,33,1,4,2,0,1,9,"27,27%",24,"72,73%"
Jagiellonia,48,8,8,5,1,0,22,"45,83%",26,"54,17%"
Lech Poznań,38,5,7,1,1,3,17,"44,74%",21,"55,26%"
Lechia Gdańsk,37,7,6,2,1,0,16,"43,24%",21,"56,76%"
Legia Warszawa,24,8,2,1,0,0,11,"45,83%",13,"54,17%"
Piast Gliwice,32,5,4,3,0,0,12,"37,50%",20,"62,50%"
Podbeskidzie,60,9,10,6,1,2,28,"46,67%",32,"53,33%"
Pogoń Szczecin,23,2,4,3,0,2,11,"47,83%",12,"52,17%"
Raków Częstochowa,25,3,1,2,0,0,6,"24,00%",19,"76,00%"
Stal Mielec,47,5,10,3,2,2,22,"46,81%",25,"53,19%"
Śląsk Wrocław,32,3,5,1,0,1,10,"31,25%",22,"68,75%"
Warta Poznań,32,4,6,2,0,0,12,"37,50%",20,"62,50%"
Wisła Kraków,42,6,6,2,1,2,17,"40,48%",25,"59,52%"
Wisła Płock,44,5,5,4,0,1,15,"34,09%",29,"65,91%"
Zagłębie Lubin,40,3,6,2,2,1,14,"35,00%",26,"65,00%"
