KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ,RAZEM,87,90,77,12,102,98,86,37,589,266,323
Cracovia,5,6,4,0,4,6,6,1,32,15,17
Górnik Zabrze,5,7,5,0,7,4,5,0,33,17,16
Jagiellonia,6,7,7,0,6,9,7,6,48,20,28
Lech Poznań,7,5,3,1,4,6,8,4,38,16,22
Lechia Gdańsk,5,6,4,1,6,7,7,1,37,16,21
Legia Warszawa,4,6,3,3,4,0,4,0,24,16,8
Piast Gliwice,8,4,5,0,7,5,2,1,32,17,15
Podbeskidzie,5,7,14,2,10,9,7,6,60,28,32
Pogoń Szczecin,4,3,5,2,5,3,1,0,23,14,9
Raków Częstochowa,4,3,2,1,5,6,2,2,25,10,15
Stal Mielec,7,5,8,1,8,7,7,4,47,21,26
Śląsk Wrocław,2,4,5,0,6,7,6,2,32,11,21
Warta Poznań,6,5,2,0,8,3,5,3,32,13,19
Wisła Kraków,4,4,6,0,6,10,9,3,42,14,28
Wisła Płock,7,5,3,0,10,9,7,3,44,15,29
Zagłębie Lubin,8,13,1,1,6,7,3,1,40,23,17
