KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ,RAZEM,40,43,42,6,44,41,46,14,276,131,145
Cracovia,4,2,2,0,3,1,5,1,18,8,10
Górnik Zabrze,3,4,2,0,4,4,3,0,20,9,11
Jagiellonia,3,3,5,0,1,4,1,2,19,11,8
Lech Poznań,2,3,2,1,0,2,4,3,17,8,9
Lechia Gdańsk,1,5,1,1,3,3,4,0,18,8,10
Legia Warszawa,2,6,3,2,2,0,4,0,19,13,6
Piast Gliwice,4,1,2,0,4,4,0,0,15,7,8
Podbeskidzie,2,2,7,1,3,3,4,1,23,12,11
Pogoń Szczecin,1,1,2,0,2,1,1,0,8,4,4
Raków Częstochowa,1,1,0,0,2,2,2,1,9,2,7
Stal Mielec,3,1,5,0,7,1,2,1,20,9,11
Śląsk Wrocław,2,2,3,0,1,3,1,1,13,7,6
Warta Poznań,4,2,1,0,3,2,2,1,15,7,8
Wisła Kraków,2,1,5,0,3,6,6,1,24,8,16
Wisła Płock,2,2,1,0,4,3,5,2,19,5,14
Zagłębie Lubin,4,7,1,1,2,2,2,0,19,13,6
