ZAWODNIK,KLUB,GOLE,G KARNY,G ROŻNY,G WOLNY,G WOLNY BEZP,G AUT,AS SFG,PO SFG,Z GRY,%GOLI PO SFG
Tomas Pekhart,Legia Warszawa,22,7,2,0,0,0,0,9,13,"40,9%"
Jakub Świerczok,Piast Gliwice,15,3,0,0,0,0,0,3,12,"20,0%"
Jesus Jimenez,Górnik Zabrze,12,6,0,0,0,0,0,6,6,"50,0%"
Mikael Ishak,Lech Poznań,12,2,1,1,0,0,1,4,8,"33,3%"
Flavio Paixao,Lechia Gdańsk,12,6,2,0,0,0,1,8,4,"66,7%"
Jakov Puljić,Jagiellonia,11,2,0,1,0,0,0,3,8,"27,3%"
Jesus Imaz,Jagiellonia,11,1,0,0,0,0,0,1,10,"9,1%"
Kamil Biliński,Podbeskidzie,11,0,1,2,0,1,0,5,6,"45,5%"
Erik Exposito,Śląsk Wrocław,9,0,0,0,0,1,0,1,8,"11,1%"
Ivi Lopez,Raków Częstochowa,9,2,0,1,2,0,0,5,4,"55,6%"
Patryk Szysz,Zagłębie Lubin,8,0,3,0,0,0,0,3,5,"37,5%"
Filip Mladenović,Legia Warszawa,7,1,1,0,0,0,0,2,5,"28,6%"
Robert Pich,Śląsk Wrocław,7,2,0,0,0,0,0,2,5,"28,6%"
Vladislavs Gutkovskis,Raków Częstochowa,7,2,1,0,0,0,0,3,4,"42,9%"
Filip Starzyński,Zagłębie Lubin,7,4,0,0,1,0,5,5,2,"71,4%"
Felicio Brown Forbes,Wisła Kraków,7,1,0,1,0,0,0,2,5,"28,6%"
Mateusz Kuzimski,Warta Poznań,7,0,0,1,0,0,0,1,6,"14,3%"
Dani Ramirez,Lech Poznań,6,0,1,0,0,0,1,1,5,"16,7%"
David Tijanić,Raków Częstochowa,6,0,0,1,0,0,0,1,5,"16,7%"
Łukasz Zwoliński,Lechia Gdańsk,6,0,1,1,0,0,0,2,4,"33,3%"
Maciej Domański,Stal Mielec,6,4,0,0,0,0,4,4,2,"66,7%"
Marcin Cebula,Raków Częstochowa,6,0,0,0,0,0,3,0,6,"0,0%"
Mateusz Szwoch,Wisła Płock,6,3,0,0,1,1,6,5,1,"83,3%"
Michał Kucharczyk,Pogoń Szczecin,6,1,0,0,0,0,1,1,5,"16,7%"
Patryk Tuszyński,Wisła Płock,6,1,1,0,0,0,1,2,4,"33,3%"
Pelle van Amersfoort,Cracovia,6,3,1,0,0,0,0,4,2,"66,7%"
Makana Baku,Warta Poznań,6,0,0,0,0,0,0,0,6,"0,0%"
Alan Uryga,Wisła Płock,5,0,2,1,0,1,1,4,1,"80,0%"
Alexander Gorgon,Pogoń Szczecin,5,0,1,1,0,0,0,2,3,"40,0%"
Bartosz Nowak,Górnik Zabrze,5,0,0,0,0,0,2,0,5,"0,0%"
Tiago Alves,Piast Gliwice,5,0,0,0,0,0,0,0,5,"0,0%"
Fabian Piasecki,Śląsk Wrocław,4,0,0,0,0,0,0,0,4,"0,0%"
Jakub Błaszczykowski,Wisła Kraków,4,0,0,0,1,0,0,1,3,"25,0%"
Jakub Moder,Lech Poznań,4,3,1,0,0,0,0,4,0,"100,0%"
Petr Schwarz,Raków Częstochowa,4,4,0,0,0,0,2,4,0,"100,0%"
Piotr Krawczyk,Górnik Zabrze,4,0,0,2,0,0,0,2,2,"50,0%"
Sergiu Hanca,Cracovia,4,1,0,0,0,0,2,1,3,"25,0%"
Yaw Yeboah,Wisła Kraków,4,0,1,0,0,0,1,1,3,"25,0%"
Mateusz Mak,Stal Mielec,4,0,1,0,0,0,0,1,3,"25,0%"
Lorenco Simić,Zagłębie Lubin,4,0,4,0,0,0,0,4,0,"100,0%"
Dawid Kocyła,Wisła Płock,4,0,0,0,0,0,0,0,4,"0,0%"
Jan Grzesik,Warta Poznań,4,0,0,0,0,0,1,0,4,"0,0%"
Dominik Steczyk,Piast Gliwice,4,0,0,0,0,0,0,0,4,"0,0%"
Michał Żyro,Piast Gliwice,4,2,1,0,0,0,1,3,1,"75,0%"
Rafael Lopes,Legia Warszawa,4,0,0,0,0,0,0,0,4,"0,0%"
Adam Frączczak,Pogoń Szczecin,3,0,1,0,0,0,0,1,2,"33,3%"
Alasana Manneh,Górnik Zabrze,3,0,0,0,0,0,0,0,3,"0,0%"
Alex Sobczyk,Górnik Zabrze,3,0,0,0,0,0,0,0,3,"0,0%"
Bartosz Kapustka,Legia Warszawa,3,0,0,0,0,0,1,0,3,"0,0%"
Chuca,Wisła Kraków,3,0,0,0,0,0,0,0,3,"0,0%"
Damian Rasak,Wisła Płock,3,0,1,0,0,0,0,1,2,"33,3%"
Jean Carlos Silva,Wisła Kraków,3,1,0,1,0,0,0,2,1,"66,7%"
Kamil Drygas,Pogoń Szczecin,3,3,0,0,0,0,1,3,0,"100,0%"
Luquinhas,Legia Warszawa,3,0,0,0,0,0,0,0,3,"0,0%"
Maciej Makuszewski,Jagiellonia,3,0,0,1,0,0,0,1,2,"33,3%"
Michał Nalepa II,Lechia Gdańsk,3,0,2,1,0,0,2,3,0,"100,0%"
Pedro Tiba,Lech Poznań,3,0,0,0,0,0,1,0,3,"0,0%"
Conrado,Lechia Gdańsk,3,0,0,0,0,0,0,0,3,"0,0%"
Paweł Wszołek,Legia Warszawa,3,0,0,0,0,0,0,0,3,"0,0%"
Łukasz Trałka,Warta Poznań,3,0,0,0,0,0,3,0,3,"0,0%"
Michal Frydrych,Wisła Kraków,3,2,0,0,0,1,1,3,0,"100,0%"
Mateusz Kupczak,Warta Poznań,3,1,1,0,0,0,0,2,1,"66,7%"
Sebastian Kowalczyk,Pogoń Szczecin,3,2,0,0,0,0,0,2,1,"66,7%"
Adrian Benedyczak,Pogoń Szczecin,3,0,0,0,0,1,0,1,2,"33,3%"
Bartłomiej Pawłowski,Śląsk Wrocław,3,0,1,0,1,0,0,2,1,"66,7%"
Grzegorz Tomasiewicz,Stal Mielec,3,1,0,0,0,0,0,1,2,"33,3%"
Marcin Flis,Stal Mielec,3,0,1,0,0,2,0,3,0,"100,0%"
Dusan Lagator,Wisła Płock,3,0,1,2,0,0,0,3,0,"100,0%"
Rafał Janicki,Podbeskidzie,3,0,3,0,0,0,0,3,0,"100,0%"
Andreja Prokić,Stal Mielec,2,0,0,0,0,1,0,1,1,"50,0%"
Desley Ubbink,Podbeskidzie,2,0,0,0,0,0,0,0,2,"0,0%"
Florian Loshaj,Cracovia,2,0,0,0,0,0,2,0,2,"0,0%"
Kacper Chodyna,Zagłębie Lubin,2,0,0,0,0,0,0,0,2,"0,0%"
Lubomir Guldan,Zagłębie Lubin,2,0,2,0,0,0,1,2,0,"100,0%"
Maciej Gajos,Lechia Gdańsk,2,0,0,1,0,0,1,1,1,"50,0%"
Maciej Sadlok,Wisła Kraków,2,0,0,1,0,0,1,1,1,"50,0%"
Marcos Alvarez,Cracovia,2,1,0,0,0,0,1,1,1,"50,0%"
