KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ,RAZEM,47,47,35,6,58,57,40,23,313,135,178
Cracovia,1,4,3,0,2,3,2,3,18,8,10
Górnik Zabrze,3,4,2,2,2,6,1,2,22,11,11
Jagiellonia,6,5,1,0,5,3,2,1,23,12,11
Lech Poznań,2,1,3,0,8,2,2,1,19,6,13
Lechia Gdańsk,3,3,3,2,1,5,3,3,23,11,12
Legia Warszawa,6,8,1,0,7,4,1,2,29,15,14
Piast Gliwice,3,3,2,0,4,3,2,1,18,8,10
Podbeskidzie,4,2,2,0,4,2,3,0,17,8,9
Pogoń Szczecin,1,3,2,0,3,5,1,2,17,6,11
Raków Częstochowa,3,3,1,0,7,2,3,0,19,7,12
Stal Mielec,1,3,0,0,2,3,2,1,12,4,8
Śląsk Wrocław,6,3,2,1,4,3,1,1,21,12,9
Warta Poznań,1,0,2,0,5,3,3,0,14,3,11
Wisła Kraków,3,2,4,1,2,2,3,2,19,10,9
Wisła Płock,2,2,1,0,2,4,6,1,18,5,13
Zagłębie Lubin,2,1,6,0,0,7,5,3,24,9,15
