,CRA,GÓR,JAG,LEG,LGD,LPO,PIA,POD,POG,RCZ,STM,ŚLĄ,WAR,WIS,WPŁ,ZAG
CRA,-,1,5,2,10,6,4,0,7,0,0,0,2,0,1,3
GÓR,4,-,6,4,1,0,1,3,2,7 *,2,0,1,0,1,4
JAG,4,2,-,0,8,1,8,0,6,0,0,4,1 *,0,1,8
LEG,0,7,4,-,2,9,0,6 *,3,6 *,7,2,15 *,0,5,2
LGD,0,1,1,1,-,3,0,3,5,2 *,1,1,0,1,2,2
LPO,0,0,2,0,6,-,0,2,1,0,4,11,6 *,3,0,0
PIA,1,1,4,8,2,2,-,4,1,0,1 *,4,1 *,3,0,0
POD,0,1,0,1,0,3,1,-,3,1 *,1 *,3,1 *,3,0,3
POG,2,1,1,0,2,1,0,0,-,2,2,1,0,0,4,3
RCZ,0,0,2 *,1,2 *,4,2 *,1 *,1,-,2,3,2 *,0,4,3
STM,0,4,4 *,0,3,0,1 *,1 *,3,1,-,0,2,2,0,4
ŚLĄ,6,0,1,6,0,0,4,1,1,1,0,-,1 *,0,0,0
WAR,1,3 *,1 *,2,2 *,2,0,1 *,3 *,2 *,0,1 *,-,18 *,2 *,3 *
WIS,0,0,2,5,3,1,2,4,7,4 *,8,2,1,-,2,6
WPŁ,1,2,0,7,5 *,3,2,1 *,0,0,0,5,2 *,3,-,1
ZAG,0,2,1,8,0,1,0,1,0,1,0,5,3 *,5,3,-
