,CRA,GÓR,JAG,LEG,LGD,LPO,PIA,POD,POG,RCZ,STM,ŚLĄ,WAR,WIS,WPŁ,ZAG
CRA,-,0,1,6,2,0,1,2,1,2,7,3,3,3,0,2
GÓR,2,-,0,1,1,4,6,1,1,2,0,4,1,3,1,0
JAG,0,1,-,1,0,0,1,2,3,4 *,7,2,1,3,1,6
LEG,1,0,3,-,0,1,0,0,0,0,2,0,0,1,0,0
LGD,1,0,2,4,-,4,2,1,2,0,0,1,1,0,0,0
LPO,2,2,2,2,0,-,1,1,0,2,2,0,0,0,2,7
PIA,0,0,0,3,1,5,-,0,6,3,0,0,2 *,1,0,2
POD,6,0,3,1,4,0,12 *,-,4,2 *,1,14 *,2 *,0,2 *,1
POG,0,0,0,2,0,1,1,0,-,1,1,1,1,3,0,1
RCZ,4 *,1,1,12 *,1,0,0,0,0,-,0,0,0,0,1,0
STM,3,4,1,1,2,0,1,0,0,5,-,5,3,2,4 *,6
ŚLĄ,1,2,0,8,7,4,1,0,0,1,2,-,0,1,2,4
WAR,0,0,0,2,2,2,0,0,4,3,1,2 *,-,0,0,0
WIS,2,2,0,4,5,1,0,1,0,3,0,5,4,-,0,3
WPŁ,4,0,3,3,1,0,2,1,3,4,4 *,1,2,1,-,0
ZAG,0,1,0,2,3,1,9,0,2,2,0,1,1,0,4,-
