,CRA,GÓR,JAG,LEG,LGD,LPO,PIA,POD,POG,RCZ,STM,ŚLĄ,WAR,WIS,WPŁ,ZAG
CRA,-,0,0,15,1,0,0,1,0,1,4 *,1,1,4,0,1
GÓR,1,-,0,1,0,3,3,0,0,1,0,4,2,2,5,0
JAG,0,0,-,3,0,0,2,1,2,2 *,3,1,0,1,0,3
LEG,1,1,1,-,0,0,4,0,0,0,1,0,0,1,0,0
LGD,3,0,2,7,-,1,1,0,2,2 *,0,0,2 *,0,1,0
LPO,2,1,1,1,0,-,1,0,2,1,1,0,0,1,1,6
PIA,0,0,1,1,0,3,-,0,2,1,0,0,1 *,1,1,1
POD,5,0,2,0,2,0,5 *,-,4,1 *,0,7 *,1 *,0,1 *,0
POG,0,0,0,1,0,3,1,1,-,3,0,0,1,1,0,0
RCZ,2 *,1,0,6 *,1,0,0,0,3,-,0,0,0,1,0,0
STM,1,2,0,11,1,1,0,0,0,2,-,4,1,1,2 *,3
ŚLĄ,0,1,0,3,4,4,0,0,0,0,1,-,0,1,1,2
WAR,0,3 *,0,1,2 *,3,1 *,0,2,1,1,1 *,-,0,0,0
WIS,2,1,0,2,2,6,3,0,0,1,0,3,2,-,1,1
WPŁ,2,1,1,1,2,0,1,0,3,3,2 *,0,2 *,1,-,0
ZAG,7,0,0,1,2,0,4,0,4,2,1,0,0,0,2,-
