ZAWODNIK,KLUB,FAULE,FAULOWANY,SPALONE
Dusan Lagator,Wisła Płock,67,19,0
Artur Jędrzejczyk,Legia Warszawa,56,34,0
Mateusz Kupczak,Warta Poznań,56,15,1
Sasa Balić,Zagłębie Lubin,54,19,6
Adrian Gryszkiewicz,Górnik Zabrze,52,23,0
Felicio Brown Forbes,Raków/Wisła K,50,58,19
Mateusz Szwoch,Wisła Płock,48,60,2
Jarosław Kubicki,Lechia Gdańsk,48,31,0
Igor Sapała,Raków Częstochowa,48,28,0
Andrzej Niewulis,Raków Częstochowa,46,13,2
Taras Romanczuk,Jagiellonia,45,24,1
Jakub Żubrowski,Zagłębie Lubin,45,18,0
Kenny Saief,Lechia Gdańsk,44,30,4
Tomas Pekhart,Legia Warszawa,43,40,20
Gieorgij Żukow,Wisła Kraków,43,22,0
MIchal Frydrych,Wisła Kraków,43,12,3
Dawid Kocyła,Wisła Płock,42,61,8
Michał Chrapek,Piast Gliwice,42,45,3
Angel Garcia,Wisła Płock,42,35,3
Erik Exposito,Śląsk Wrocław,42,31,9
Łukasz Burliga,Wisła Kraków,42,12,5
Mateusz Praszelik,Śląsk Wrocław,41,75,2
Milan Dimun,Cracovia,41,12,2
Jan Biegański,Lechia Gdańsk,41,12,0
Damian Zbozień,Wisła Płock,41,5,2
Filip Mladenović,Legia Warszawa,40,35,1
Pelle van Amersfoort,Cracovia,39,69,9
Vladislavs Gutkovskis,Raków Częstochowa,39,54,10
Alasana Manneh,Górnik Zabrze,39,38,0
Karol Fila,Lechia Gdańsk,39,29,2
Marko Tamas,Śląsk Wrocław,39,18,1
Robert Pich,Śląsk Wrocław,38,64,5
Jakub Kiełb,Warta Poznań,38,21,0
Matej Rodin,Cracovia,38,17,3
Sebastian Kowalczyk,Pogoń Szczecin,37,57,5
Kamil Biliński,Podbeskidzie,37,29,16
Fran Tudor,Raków Częstochowa,36,51,6
Marko Roginić,Podbeskidzie,36,43,6
Michał Rzuchowski,Podbeskidzie,36,34,0
Maciej Sadlok,Wisła Kraków,36,24,0
Jan Grzesik,Warta Poznań,35,44,4
Andre Martins,Legia Warszawa,35,35,1
Maciej Gajos,Lechia Gdańsk,35,31,2
Conrado,Lechia Gdańsk,35,27,5
Kacper Kozłowski,Pogoń Szczecin,35,27,1
Mateusz Kuzimski,Warta Poznań,35,26,14
Florian Loshaj,Cracovia,35,24,0
Bartosz Slisz,Legia Warszawa,35,24,0
Alexander Gorgon,Pogoń Szczecin,35,22,5
Damian Dąbrowski,Pogoń Szczecin,35,10,0
Patryk Sokołowski,Piast Gliwice,34,40,0
Erik Janza,Górnik Zabrze,34,13,2
Cornel Rapa,Cracovia,33,33,5
Samuel Mraz,Zagłębie Lubin,33,12,8
Bogdan Tiru,Jagiellonia,33,11,0
Bozidar Czorbadżijski,Stal Mielec,33,9,1
Mateusz Wieteska,Legia Warszawa,33,9,2
Kamil Drygas,Pogoń Szczecin,32,39,5
Jakub Rzeźniczak,Wisła Płock,32,20,0
Dawid Szymonowicz,Cracovia,32,17,0
Dorde Crnomarković,Lech/Zagłębie,32,6,0
Patryk Kun,Raków Częstochowa,31,43,6
Jakov Puljić,Jagiellonia,31,33,15
Mateusz Matras,Stal Mielec,31,27,2
Marcin Flis,Stal Mielec,31,22,0
Alan Uryga,Wisła Płock,31,12,0
Jewgienij Baszkirow,Zagłębie Lubin,31,9,0
Michał Jakóbowski,Warta Poznań,29,76,4
Łukasz Zwoliński,Lechia Gdańsk,29,42,8
Bartosz Kapustka,Legia Warszawa,29,35,1
Jesus Imaz,Jagiellonia,29,32,12
Robert Dadok,Stal Mielec,29,30,0
Przemysław Wiśniewski,Górnik Zabrze,29,22,0
Bartosz Kopacz,Lechia Gdańsk,29,18,1
Waldemar Sobota,Śląsk Wrocław,29,14,2
Jakub Moder,Lech Poznań,28,33,0
Krystian Getinger,Stal Mielec,28,23,2
Krzysztof Kubica,Górnik Zabrze,28,20,0
Gergo Kocsis,Podbeskidzie,28,19,1
Ivi Lopez,Raków Częstochowa,28,17,5
Roman Prochazka,Górnik Zabrze,28,17,0
Jakub Czerwiński,Piast Gliwice,28,15,1
Dmytro Baszłaj,Podbeskidzie,28,14,2
Błażej Augustyn,Jagiellonia,28,10,1
Yaw Yeboah,Wisła Kraków,27,61,7
Łukasz Trałka,Warta Poznań,27,59,2
Damian Rasak,Wisła Płock,27,44,2
Marcin Cebula,Raków Częstochowa,27,42,3
Jan Sykora,Lech Poznań,27,25,6
Paweł Wszołek,Legia Warszawa,27,19,6
Filip Modelski,Podbeskidzie,27,14,1
Grzegorz Tomasiewicz,Stal Mielec,26,64,2
Flavio Paixao,Lechia Gdańsk,26,60,19
Jakub Świerczok,Piast Gliwice,26,47,22
Mikael Ishak,Lech Poznań,26,43,9
Dani Ramirez,Lech Poznań,26,40,2
Filip Starzyński,Zagłębie Lubin,26,39,4
Sergiu Hanca,Cracovia,26,24,2
Fedor Cernych,Jagiellonia,26,21,3
Aleksandyr Kolew,Stal Mielec,26,20,8
Luka Zahović,Pogoń Szczecin,26,16,12
Dominik Steczyk,Piast Gliwice,25,55,4
Kamil Piątkowski,Raków Częstochowa,25,46,2
Jesus Jimenez,Górnik Zabrze,25,37,13
Bartosz Nowak,Górnik Zabrze,25,33,1
Michał Żyro,Piast Gliwice,25,23,11
Filip Piszczek,Cracovia,25,20,2
Kacper Chodyna,Zagłębie Lubin,25,18,0
Bartosz Bida,Jagiellonia,25,14,1
Jesper Karlstrom,Lech Poznań,25,13,0
Nikola Kuveljić,Wisła Kraków,25,6,0
Zoran Arsenić,Jagiellonia/Raków,24,24,3
Jakub Bartkowski,Pogoń Szczecin,24,21,3
Tomasz Makowski,Lechia Gdańsk,24,21,2
Maciej Żurawski,Pogoń/Warta,24,20,0
Karol Danielak,Podbeskidzie,24,18,5
Filip Marchwiński,Lech Poznań,24,18,1
Fabian Piasecki,Śląsk Wrocław,24,17,8
Michał Nalepa II,Lechia Gdańsk,24,14,0
Michal Siplak,Cracovia,24,13,2
Daniel Ściślak,Górnik Zabrze,24,5,0
Alex Sobczyk,Górnik Zabrze,23,30,5
Adrian Laskowski,Warta Poznań,23,28,0
Alan Czerwiński,Lech Poznań,23,13,2
Rafał Pietrzak,Lechia Gdańsk,23,12,0
Łukasz Sierpina,Podbeskidzie,23,7,5
Aleksander Paluszek,Górnik Zabrze,23,3,0
Patryk Szysz,Zagłębie Lubin,22,43,11
Bartłomiej Wdowik,Jagiellonia,22,13,1
Dino Stiglec,Śląsk Wrocław,22,7,2
Tymoteusz Puchacz,Lech Poznań,21,45,3
Mateusz Mak,Stal Mielec,21,40,3
Pedro Tiba,Lech Poznań,21,23,2
Rivaldinho,Cracovia,21,22,8
Maciej Makuszewski,Jagiellonia,21,21,7
Martin Konczkowski,Piast Gliwice,21,17,3
Damir Sadiković,Cracovia,21,17,0
Israel Puerto,Śląsk Wrocław,21,16,0
Jakub Kamiński,Lech Poznań,21,14,7
Michał Koj,Górnik Zabrze,21,14,1
Piotr Celeban,Śląsk Wrocław,21,10,4
Bartosz Kwiecień,Jagiellonia,21,5,0
Stefan Savić,Wisła Kraków,20,49,6
Martin Pospisil,Jagiellonia,20,30,0
Jean Carlos Silva,Wisła Kraków,20,28,9
Łukasz Zjawiński,Stal Mielec,20,28,3
Marko Poletanović,Raków Częstochowa,20,22,0
Mathieu Scalet,Śląsk Wrocław,20,17,2
Przemysław Mystkowski,Jagiellonia,20,16,0
Lorenco Simić,Zagłębie Lubin,20,13,0
Patryk Lipski,Piast Gliwice,20,12,0
Wasyl Kraweć,Lech Poznań,20,9,1
Jakub Holubek,Piast Gliwice,20,4,0
Kostas Triantafyllopoulos,Pogoń Szczecin,20,4,1
Michał Kucharczyk,Pogoń Szczecin,19,38,10
Sebastian Milewski,Piast Gliwice,19,31,1
Giannis Massouras,Górnik Zabrze,19,23,0
Jakub Kuzdra,Warta Poznań,19,22,2
Tomasz Jodłowiec,Piast Gliwice,19,19,0
Tomas Huk,Piast Gliwice,19,17,0
Kamil Kościelny,Stal Mielec,19,9,3
Antonio Milić,Lech Poznań,19,9,0
Aleks Ławniczak,Warta Poznań,19,6,0
Maksymilian Sitek,Podbeskidzie,18,41,0
Łukasz Poręba,Zagłębie Lubin,18,27,4
Adrian Benedyczak,Pogoń Szczecin,18,21,7
Ivan Marquez,Cracovia,18,11,1
Kacper Gach,Podbeskidzie,18,10,0
Patryk Janasik,Śląsk Wrocław,18,6,2
Marcos Alvarez,Cracovia,17,54,5
Michał Skóraś,Lech Poznań,17,29,3
Thiago,Cracovia,17,24,1
Milan Rundić,Podbeskidzie,17,20,1
Benedikt Zech,Pogoń Szczecin,17,18,0
Petteri Forsell,Stal Mielec,17,16,0
Makana Baku,Warta Poznań,17,14,1
Robert Ivanov,Warta Poznań,17,10,0
Kristers Tobers,Lechia Gdańsk,17,10,0
Fernan Ferreiroa,Jagiellonia,17,4,1
Lubambo Musonda,Śląsk Wrocław,16,22,4
Dawid Abramowicz,Wisła Kraków,16,19,0
Jakub Arak,Lechia/Raków,16,16,2
Ivan Fiolić,Cracovia,16,10,3
Paweł Olszewski,Jagiellonia,15,44,0
Omran Haydary,Lechia Gdańsk,15,23,8
Dawid Szot,Wisła Kraków,15,21,0
Kacper Smoliński,Pogoń Szczecin,15,15,2
Marcel Zylla,Śląsk Wrocław,15,15,1
Krzysztof Mączyński,Śląsk Wrocław,15,11,2
Hubert Matynia,Pogoń Szczecin,15,10,0
Gerard Badia,Piast Gliwice,15,9,5
Lubomir Satka,Lech Poznań,15,9,1
Michał Karbownik,Legia Warszawa,15,8,0
Adam Zrelak,Warta Poznań,15,8,7
Bartosz Salamon,Lech Poznań,15,6,1
Desley Ubbink,Podbeskidzie,15,5,1
Karol Podliński,Zagłębie Lubin,14,50,7
Norbert Wojtuszek,Górnik Zabrze,14,22,0
Andreja Prokić,Stal Mielec,14,20,9
Arkadiusz Pyrka,Piast Gliwice,14,20,1
Rafael Lopes,Legia Warszawa,14,19,6
Tomas Prikryl,Jagiellonia,14,18,1
Jakub Hora,Podbeskidzie,14,15,4
Mateusz Żyro,Stal Mielec,14,14,0
Luis Rocha,Legia Warszawa,14,13,0
Bartosz Kieliba,Warta Poznań,14,11,2
Tomas Petrasek,Raków Częstochowa,14,11,0
Cillian Sheridan,Wisła Płock,14,10,4
Stefanos Evangelou,Górnik Zabrze,14,9,1
Michael Gardawski,Cracovia,14,6,2
Filip Lesniak,Wisła Płock,14,4,0
Maciej Wilusz,Raków Częstochowa,14,1,0
Luquinhas,Legia Warszawa,13,91,0
Patryk Tuszyński,Wisła Płock,13,42,7
Mateusz Czyżycki,Warta Poznań,13,27,1
Piotr Tomasik,Wisła Płock,13,21,2
Maciej Pałaszewski,Śląsk Wrocław,13,15,0
Piotr Malarczyk,Piast Gliwice,13,14,0
Thomas Rogne,Lech Poznań,13,10,0
Damian Michalski,Wisła Płock,13,6,0
Ariel Borysiuk,Jagiellonia,13,4,0
Jakub Bieroński,Podbeskidzie,13,4,0
Łukasz Bejger,Śląsk Wrocław,13,4,0
Mateusz Hołownia,Legia Warszawa,13,2,0
Damian Pawłowski,Stal Mielec,13,1,1
Torgil Gjertsen,Wisła Płock,12,23,1
Dejan Drazić,Zagłębie Lubin,12,23,2
David Stec,Pogoń Szczecin,12,13,1
Kris Twardek,Jagiellonia,12,12,1
Ivan Runje,Jagiellonia,12,10,0
Sylwester Lusiusz,Cracovia,12,9,1
Peter Wilson,Podbeskidzie,12,7,2
Wojciech Golla,Śląsk Wrocław,12,5,0
Damian Oko,Zagłębie Lubin,12,4,0
Konrad Gruszkowski,Wisła Kraków,12,0,1
David Tijanić,Raków Częstochowa,11,38,1
Petr Schwarz,Raków Częstochowa,11,32,0
Maciej Domański,Stal Mielec,11,20,1
Kristopher Vida,Piast Gliwice,11,17,0
Mateusz Lewandowski,Wisła Płock,11,12,1
Jonathan De Amo,Stal Mielec,11,9,2
Vullnet Basha,Wisła Kraków,11,8,0
Kamil Kruk,Zagłębie Lubin,11,8,1
Nika Kwekweskiri,Lech Poznań,11,8,1
David Mawutor,Wisła Kraków,11,7,0
Igor Lewczuk,Legia Warszawa,11,6,1
Luis Mata,Pogoń Szczecin,11,6,0
Mariusz Malec,Pogoń Szczecin,11,5,1
Aleksander Komor,Podbeskidzie,11,4,0
Bartosz Rymaniak,Piast Gliwice,11,4,1
Mariusz Pawelec,Śląsk Wrocław,11,2,0
Bartłomiej Pawłowski,Śląsk Wrocław,10,26,1
Adam Frączczak,Pogoń Szczecin,10,12,3
Rafał Janicki,Wisła K/Podbeskidzie,10,12,0
Tomas Podstawski,Pogoń Szczecin,10,12,0
Szymon Lewkot,Śląsk Wrocław,10,11,0
Adi Mehremić,Wisła Kraków,10,9,0
Joseph Ceesay,Lechia Gdańsk,10,9,2
Mateusz Spychała,Warta Poznań,10,8,0
Bodvar Bodvarsson,Jagiellonia,10,7,0
Ben Lederman,Raków Częstochowa,10,7,0
Zan Medved,Wisła Kraków,10,7,4
Petar Mamić,Podbeskidzie,10,4,0
David Niepsuj,Podbeskidzie,10,3,1
Guillermo Cotugno,Śląsk Wrocław,10,2,0
Mateusz Marzec,Podbeskidzie,9,18,2
Giorgi Merebaszwili,Wisła Płock,9,13,2
Paweł Tomczyk,Stal Mielec,9,9,4
Lubomir Guldan,Zagłębie Lubin,9,8,1
Maciej Jankowski,Stal Mielec,9,7,3
Daniel Pik,Cracovia,9,6,1
Filip Laskowski,Podbeskidzie,9,5,0
Tomasz Nowak,Podbeskidzie,9,3,0
Albin Granlund,Stal Mielec,9,3,1
Marco Tulio,Podbeskidzie,9,3,0
Jarosław Jach,Raków Częstochowa,9,2,0
Jakub Błaszczykowski,Wisła Kraków,8,17,0
Mikkel Kirkeskov,Piast Gliwice,8,12,0
Piotr Starzyński,Wisła Kraków,8,11,2
Dominik Jończy,Zagłębie Lubin,8,9,0
Rok Sirk,Zagłębie Lubin,8,8,4
Jakub Kałuziński,Lechia Gdańsk,8,7,0
Kristian Vallo,Wisła Płock,8,6,0
Souleymane Kone,Wisła Kraków,8,4,0
Wiktor Długosz,Raków Częstochowa,8,3,0
Bartosz Jaroch,Podbeskidzie,8,0,0
Richmond Boakye,Górnik Zabrze,7,22,4
Tiago Alves,Piast Gliwice,7,16,2
Rafał Kurzawa,Pogoń Szczecin,7,16,1
Robert Janicki,Warta Poznań,7,13,1
Rafał Figiel,Podbeskidzie,7,8,0
Piotr Krawczyk,Górnik Zabrze,7,7,10
Artem Szabanow,Legia Warszawa,7,7,0
Mateusz Bartolewski,Zagłębie Lubin,7,6,0
Walerian Gwilia,Legia Warszawa,7,5,0
Patryk Zaucha,Cracovia,7,4,0
Oskar Zawada,Raków Częstochowa,7,4,2
Mario Maloca,Lechia Gdańsk,7,3,1
Maciej Urbańczyk,Stal Mielec,6,16,0
Chuca,Wisła Kraków,6,12,2
Gracjan Jaroch,Warta Poznań,6,11,4
Jakub Kosecki,Cracovia,6,11,2
Jakub Wójcicki,Zagłębie Lubin,6,9,1
Dominik Frelek,Podbeskidzie,6,6,0
Santeri Hostikka,Pogoń Szczecin,6,5,3
Serhij Miakuszko,Podbeskidzie,6,4,1
Piotr Samiec-Talar,Śląsk Wrocław,6,3,0
Mateusz Sopoćko,Lechia/Warta,6,3,0
Szymon Stasik,Stal Mielec,6,2,0
Milan Obradović,Wisła Płock,6,2,0
Michał Kopczyński,Warta Poznań,6,2,1
Aron Johannsson,Lech Poznań,6,2,1
Konrad Wrzesiński,Jagiellonia,6,2,3
Luka Susnjara,Wisła Płock,6,1,1
Uros Radaković,Wisła Kraków,6,1,0
Sasa Zivec,Zagłębie Lubin,5,25,5
Josip Juranović,Legia Warszawa,5,19,2
Rafał Wolski,Wisła Płock,5,12,0
Patryk Plewka,Wisła Kraków,5,10,1
Mateusz Żukowski,Lechia Gdańsk,5,10,1
Hubert Adamczyk,Wisła Płock,5,9,0
Piotr Pyrdoł,Wisła Płock,5,7,1
Miroslav Stoch,Zagłębie Lubin,5,7,2
Daniel Szelągowski,Raków Częstochowa,5,6,2
Konrad Poprawa,Śląsk Wrocław,5,6,0
Fatos Beciraj,Wisła Kraków,5,4,1
Filip Szymczak,Lech Poznań,5,4,0
Lukas Klemenz,Wisła Kraków,5,3,0
Domagoj Antolić,Legia Warszawa,5,2,0
Serafin Szota,Wisła Kraków,5,2,0
Szymon Mroczko,Podbeskidzie,5,1,0
Ivan Martin,Podbeskidzie,5,1,1
Szymon Włodarczyk,Legia Warszawa,5,0,0
Mariusz Rybicki,Warta Poznań,4,20,3
Kamil Wojtkowski,Jagiellonia,4,9,0
Diego Ferraresso,Cracovia,4,7,0
Maciej Rosołek,Legia Warszawa,4,6,1
Adam Ratajczyk,Zagłębie Lubin,4,6,1
Maciej Bortniczuk,Jagiellonia,4,5,1
Mario Rodriguez,Warta Poznań,4,5,1
Daniel Bartl,Raków Częstochowa,4,5,1
Jakub Bednarczyk,Zagłębie Lubin,4,4,0
William Remy,Legia Warszawa,4,3,0
Egy Maulana Vikri,Lechia Gdańsk,4,2,0
Mariusz Fornalczyk,Pogoń Szczecin,4,2,1
Nika Kaczarawa,Lech Poznań,4,2,1
Tomasz Dejewski,Lech Poznań,4,2,0
Robert Gumny,Lech Poznań,4,1,0
Jose Kante,Legia Warszawa,4,1,1
Mateusz Wdowiak,Cracovia,3,9,1
Joel Valencia,Legia Warszawa,3,8,1
Tomas Vestenicky,Cracovia,3,6,0
Kacper Skibicki,Legia Warszawa,3,6,0
Rafał Boguski,Wisła Kraków,3,5,0
Giannis Papanikolaou,Raków Częstochowa,3,5,0
Kacper Kostorz,Legia Warszawa,3,4,3
Adam Ryczkowski,Górnik Zabrze,3,3,0
Bartłomiej Kręcichwost,Podbeskidzie,3,2,0
Łukasz Łakomy,Zagłębie Lubin,3,2,0
Wojciech Szumilas,Wisła Płock,3,1,1
Myrosław Mazur,Jagiellonia,3,1,0
Karlo Muhar,Lech Poznań,3,0,0
Przemysław Maj,Stal Mielec,3,0,0
Daniel Mikołajewski,Raków Częstochowa,3,0,0
Maik Nawrocki,Warta Poznań,3,0,0
Michał Rostkowski,Górnik Zabrze,2,14,1
Paweł Stolarski,Legia/Pogoń,2,9,0
Dariusz Pawłowski,Górnik Zabrze,2,7,0
Michał Mak,Wisła Kraków,2,6,0
Bojan Nastić,Jagiellonia,2,6,1
Jaroslav Mihalik,Lechia Gdańsk,2,5,0
Jakub Wróbel,Stal Mielec,2,5,0
Kajetan Szmyt,Warta Poznań,2,5,0
Żarko Udovicić,Lechia Gdańsk,2,4,0
