SĘDZIA,Śr. ŻK,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia,Mecze
Bartosz Frankowski,"4,42",84,0,2,72,0,4,1,4,1,2,0,0,0,0,0,0,19
Daniel Stefański,"4,17",75,1,3,62,1,2,5,1,2,3,0,0,0,0,0,0,18
Jarosław Przybył,"3,83",88,2,4,77,2,4,4,1,1,1,0,0,0,0,0,0,23
Krzysztof Jakubik,"5,00",90,0,3,71,0,2,3,7,2,4,1,0,0,0,0,0,18
Zbigniew Dobrynin,"3,29",23,0,0,22,0,0,0,0,0,1,0,0,0,0,0,0,7
Sebastian Jarzębak,"4,44",40,1,2,38,1,0,0,0,1,0,1,0,0,0,0,0,9
Szymon Marciniak,"4,52",95,0,4,84,0,1,2,2,3,3,0,0,0,0,0,0,21
Mariusz Złotek,"4,44",40,0,1,32,0,0,2,4,2,0,0,0,0,0,0,0,9
Wojciech Myć,"2,75",22,0,0,18,0,1,0,2,0,0,0,1,0,0,0,0,8
Paweł Raczkowski,"5,41",92,3,4,84,3,1,2,4,1,0,0,0,0,0,0,0,17
Tomasz Kwiatkowski,"3,60",72,0,1,66,0,2,2,1,0,0,0,1,0,0,0,0,20
Dominik Sulikowski,"4,75",19,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4
Paweł Gil,"4,63",88,2,6,75,2,2,5,4,1,0,0,1,0,0,0,0,19
Piotr Lasyk,"3,25",39,0,1,34,0,1,0,3,1,0,0,0,0,0,0,0,12
Damian Sylwestrzak,"3,83",46,1,4,39,0,0,5,1,1,0,0,0,1,0,0,0,12
Łukasz Szczech,"3,89",35,0,1,30,0,1,1,2,0,1,0,0,0,0,0,0,9
Artur Aluszyk,"3,50",7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2
Tomasz Wajda,"3,00",6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2
Damian Kos,"5,00",25,0,0,21,0,0,2,1,0,1,0,0,0,0,0,0,5
Łukasz Kuźma,"3,75",15,0,0,11,0,0,2,1,0,0,0,1,0,0,0,0,4
Sebastian Krasny,"2,00",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
Paweł Malec,"3,00",3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1
