SĘDZIA,GŁ.,VAR,R,CRA,GÓR,JAG,LPO,LGD,LEG,PIA,POD,POG,RCZ,STM,ŚLĄ,WAR,WIS,WPŁ,ZAG
Artur Aluszyk,2,0,2,0/0 (0),1/0 (1),0/0 (0),1/0 (1),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),1/0 (1),1/0 (1),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0)
Zbigniew Dobrynin,7,10,17,0/1 (1),1/1 (2),1/0 (1),1/1 (2),1/3 (4),0/0 (0),1/0 (1),1/1 (2),1/3 (4),0/1 (1),0/3 (3),1/2 (3),2/2 (4),0/1 (1),3/0 (3),1/1 (2)
Bartosz Frankowski,19,24,43,4/3 (7),2/1 (3),3/5 (8),4/5 (9),3/3 (6),6/4 (10),4/2 (6),1/5 (6),2/2 (4),1/6 (7),2/1 (3),1/2 (3),1/0 (1),3/1 (4),0/6 (6),1/2 (3)
Paweł Gil,19,19,38,3/2 (5),2/2 (4),2/4 (6),3/2 (5),2/0 (2),5/5 (10),1/4 (5),2/1 (3),1/0 (1),4/2 (6),3/2 (5),1/3 (4),4/2 (6),1/6 (7),2/2 (4),2/1 (3)
Krzysztof Jakubik,18,20,38,3/5 (8),1/3 (4),1/1 (2),2/2 (4),4/4 (8),1/3 (4),3/3 (6),5/2 (7),2/2 (4),2/2 (4),1/6 (7),3/1 (4),3/3 (6),1/1 (2),3/0 (3),1/2 (3)
Sebastian Jarzębak,9,1,10,1/0 (1),0/1 (1),0/1 (1),2/0 (2),0/0 (0),2/0 (2),0/0 (0),0/0 (0),1/0 (1),0/0 (0),3/0 (3),2/0 (2),1/0 (1),2/0 (2),1/0 (1),3/0 (3)
Damian Kos,5,0,5,1/0 (1),2/0 (2),0/0 (0),0/0 (0),0/0 (0),1/0 (1),3/0 (3),0/0 (0),0/0 (0),1/0 (1),1/0 (1),0/0 (0),0/0 (0),0/0 (0),1/0 (1),0/0 (0)
Sebastian Krasny,1,0,1,0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),1/0 (1),1/0 (1),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0)
Łukasz Kuźma,4,0,4,0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),1/0 (1),0/0 (0),1/0 (1),1/0 (1),0/0 (0),1/0 (1),0/0 (0),1/0 (1),1/0 (1),1/0 (1),1/0 (1)
Tomasz Kwiatkowski,20,22,42,1/4 (5),3/4 (7),4/1 (5),4/6 (10),4/2 (6),0/3 (3),3/2 (5),2/4 (6),1/3 (4),2/2 (4),3/1 (4),4/2 (6),1/1 (2),4/1 (5),2/5 (7),2/3 (5)
Piotr Lasyk,12,15,27,3/2 (5),0/1 (1),0/2 (2),2/1 (3),1/1 (2),3/1 (4),0/3 (3),0/4 (4),2/0 (2),2/0 (2),0/0 (0),3/3 (6),3/3 (6),1/5 (6),1/2 (3),3/2 (5)
Paweł Malec,1,0,1,1/0 (1),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),1/0 (1),0/0 (0),0/0 (0),0/0 (0)
Szymon Marciniak,21,29,50,2/6 (8),2/3 (5),5/3 (8),2/6 (8),3/6 (9),6/4 (10),0/1 (1),4/2 (6),3/3 (6),2/4 (6),1/2 (3),3/3 (6),2/6 (8),4/4 (8),0/0 (0),3/5 (8)
Tomasz Musiał,0,30,30,0/1 (1),0/7 (7),0/1 (1),0/2 (2),0/3 (3),0/8 (8),0/6 (6),0/4 (4),0/3 (3),0/6 (6),0/6 (6),0/6 (6),0/1 (1),0/0 (0),0/2 (2),0/4 (4)
Wojciech Myć,8,0,8,0/0 (0),1/0 (1),1/0 (1),1/0 (1),1/0 (1),0/0 (0),1/0 (1),1/0 (1),0/0 (0),1/0 (1),1/0 (1),2/0 (2),1/0 (1),1/0 (1),1/0 (1),3/0 (3)
Jarosław Przybył,23,11,34,3/1 (4),2/2 (4),4/1 (5),4/2 (6),2/0 (2),3/1 (4),4/3 (7),5/4 (9),3/0 (3),3/1 (4),3/1 (4),0/2 (2),2/1 (3),3/0 (3),2/1 (3),3/2 (5)
Paweł Pskit,0,8,8,0/0 (0),0/0 (0),0/1 (1),0/0 (0),0/1 (1),0/0 (0),0/0 (0),0/0 (0),0/1 (1),0/2 (2),0/2 (2),0/1 (1),0/2 (2),0/3 (3),0/2 (2),0/1 (1)
Paweł Raczkowski,17,23,40,4/3 (7),3/2 (5),2/4 (6),0/1 (1),3/4 (7),0/1 (1),2/4 (6),1/1 (2),2/3 (5),3/3 (6),3/3 (6),3/4 (7),1/2 (3),2/4 (6),2/5 (7),3/2 (5)
Daniel Stefański,18,24,42,1/1 (2),3/2 (5),3/6 (9),2/1 (3),1/3 (4),0/0 (0),3/2 (5),1/2 (3),2/9 (11),4/0 (4),2/3 (5),2/1 (3),3/6 (9),3/4 (7),4/4 (8),2/4 (6)
Dominik Sulikowski,4,0,4,0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),1/0 (1),1/0 (1),0/0 (0),1/0 (1),1/0 (1),2/0 (2),1/0 (1),0/0 (0),1/0 (1)
Damian Sylwestrzak,12,0,12,2/0 (2),3/0 (3),3/0 (3),1/0 (1),2/0 (2),1/0 (1),1/0 (1),1/0 (1),3/0 (3),2/0 (2),1/0 (1),0/0 (0),0/0 (0),0/0 (0),4/0 (4),0/0 (0)
Łukasz Szczech,9,0,9,1/0 (1),1/0 (1),0/0 (0),1/0 (1),3/0 (3),0/0 (0),2/0 (2),3/0 (3),2/0 (2),0/0 (0),2/0 (2),1/0 (1),1/0 (1),0/0 (0),1/0 (1),0/0 (0)
Tomasz Wajda,2,0,2,0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),1/0 (1),0/0 (0),1/0 (1),1/0 (1),1/0 (1),0/0 (0),0/0 (0),0/0 (0)
Mariusz Złotek,9,0,9,0/0 (0),3/0 (3),1/0 (1),0/0 (0),0/0 (0),1/0 (1),2/0 (2),1/0 (1),1/0 (1),1/0 (1),0/0 (0),2/0 (2),0/0 (0),3/0 (3),2/0 (2),1/0 (1)
