DR/KOL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,RAZEM,DR/KOL,RAZEM,352,336,310,322,468,525,438,356,240,419,298,233,449,360,388,393,217,335,331,279,297,271,440,327,351,348,282,226,345,502,10438,RAZEM
CRA,28,0,0,19,0,0,65,56,17,0,78,0,47,0,0,0,0,X,0,X,28,0,34,12,X,48,X,87,44,0,563,CRA
GÓR,89,54,56,86,X,0,16,35,0,X,30,19,0,0,53,69,1,0,0,X,69,X,0,0,44,0,0,0,26,0,647,GÓR
JAG,8,71,0,32,0,0,88,0,0,77,0,10,0,38,87,0,14,0,0,0,0,13,0,53,55,70,0,X,14,64,694,JAG
LPO,37,39,24,1,0,84,0,0,38,39,6,60,0,0,0,X,0,33,1,50,X,33,17,X,0,38,0,9,78,68,655,LPO
LGD,24,1,0,36,77,36,0,0,21,0,0,0,0,75,0,39,88,66,45,3,26,0,84,0,0,0,0,77,0,0,698,LGD
LEG,40,0,60,0,44,78,45,X,1,39,38,29,1,19,0,61,0,80,49,26,83,84,86,X,X,15,19,X,X,66,963,LEG
PIA,0,0,X,0,1,0,0,3,61,87,0,4,52,X,1,67,X,0,1,19,X,83,36,62,61,0,12,46,0,0,596,PIA
POD,0,52,33,8,0,58,0,0,64,43,0,0,0,0,42,1,17,40,0,13,20,0,77,65,0,5,16,0,23,0,577,POD
POG,1,24,0,1,88,61,67,X,X,0,16,48,83,1,32,47,X,0,33,0,26,21,0,74,57,70,0,0,62,0,812,POG
RCZ,0,35,89,56,79,79,59,63,X,32,1,0,73,X,0,0,0,9,37,X,0,X,1,33,80,48,42,X,58,59,933,RCZ
STM,34,0,8,1,38,0,0,0,0,0,26,0,60,42,X,0,58,X,0,53,20,15,0,X,0,0,68,1,X,0,424,STM
ŚLĄ,88,38,2,0,0,73,0,42,36,X,86,19,38,85,X,0,7,0,45,0,0,X,45,27,0,16,0,X,31,83,761,ŚLĄ
WAR,0,0,X,0,61,0,15,0,2,31,0,20,0,0,20,0,15,32,34,87,0,20,60,X,2,0,50,6,9,8,472,WAR
WIS,0,0,38,0,X,5,80,55,X,38,13,24,69,23,86,35,0,59,5,X,0,2,0,0,0,19,X,X,0,72,623,WIS
WPŁ,0,20,0,82,0,0,3,33,X,0,0,0,25,77,67,74,17,0,15,0,25,X,0,0,0,0,29,0,0,82,549,WPŁ
ZAG,3,2,0,0,80,51,0,69,0,33,4,0,1,0,0,X,0,16,66,28,0,0,0,1,52,19,46,X,0,0,471,ZAG
