KOL,STRZELEC,DLA,PRZECIW,BRAMKARZ,T/N/O,FAULOWAŁ,FAULOWANY,SĘDZIA
1,Jesus Jimenez,Górnik Zabrze,Podbeskidzie,Martin Polacek,T,Dmytro Baszłaj,Alex Sobczyk,Mariusz Złotek
2,Robert Pich,Śląsk Wrocław,Wisła Kraków,Mateusz Lis,T,Dawid Szot,Mateusz Praszelik,Szymon Marciniak
2,Waldemar Sobota,Śląsk Wrocław,Wisła Kraków,Mateusz Lis,T,Lukas Klemenz,Robert Pich,Szymon Marciniak
2,Mateusz Szwoch,Wisła Płock,Lech Poznań,Filip Bednarek,T,Lubomir Satka,ręka,Tomasz Kwiatkowski
2,Patryk Tuszyński,Wisła Płock,Lech Poznań,Filip Bednarek,T,Robert Gumny,Torgil Gjertsen,Tomasz Kwiatkowski
3,Robert Pich,Śląsk Wrocław,Lech Poznań,Filip Bednarek,T,Tymoteusz Puchacz,Lubambo Musonda,Piotr Lasyk
3,Jesus Jimenez,Górnik Zabrze,Lechia Gdańsk,Dusan Kuciak,T,Rafał Pietrzak,ręka,Daniel Stefański
4,Petr Schwarz,Raków Częstochowa,Podbeskidzie,Martin Polacek,T,Kacper Gach,ręka,Damian Sylwestrzak
4,Petr Schwarz,Raków Częstochowa,Podbeskidzie,Martin Polacek,T,Bartosz Jaroch,Igor Sapała,Damian Sylwestrzak
4,Vladislavs Gutkovskis,Raków Częstochowa,Podbeskidzie,Martin Polacek,T,Bartosz Jaroch,Patryk Kun,Damian Sylwestrzak
4,Flavio Paixao,Lechia Gdańsk,Stal Mielec,Rafał Strączek,T,Maciej Domański,Omran Haydary,Bartosz Frankowski
4,Michał Kucharczyk,Pogoń Szczecin,Śląsk Wrocław,Matus Putnocky,T,Matus Putnocky,Kamil Drygas,Krzysztof Jakubik
4,Jakub Moder,Lech Poznań,Warta Poznań,Adrian Lis,T,Łukasz Trałka,ręka,Piotr Lasyk
5,Maciej Domański,Stal Mielec,Piast Gliwice,Frantisek Plach,T,Mikkel Kirkeskov,Maciej Urbańczyk,Jarosław Przybył
5,Kamil Drygas,Pogoń Szczecin,Lech Poznań,Filip Bednarek,T,Dorde Crnomarković,Sebatian Kowalczyk,Jarosław Przybył
6,Sergiu Hanca,Cracovia,Śląsk Wrocław,Matus Putnocky,T,Wojciech Golla,Filip Piszczek,Krzysztof Jakubik
6,Sergiu Hanca,Cracovia,Śląsk Wrocław,Matus Putnocky,O,Dino Stiglec,ręka,Krzysztof Jakubik
6,Nika Kaczarawa,Lech Poznań,Piast Gliwice,Frantisek Plach,T,Piotr Malarczyk,Tymoteusz Puchacz,Bartosz Frankowski
6,Michał Żyro,Piast Gliwice,Lech Poznań,Filip Bednarek,T,Lubomir Satka,Tiago Alves,Bartosz Frankowski
6,Flavio Paixao,Lechia Gdańsk,Wisła Kraków,Michał Buchalik,T,Maciej Sadlok,ręka,Tomasz Kwiatkowski
6,Sebastian Kowalczyk,Pogoń Szczecin,Jagiellonia Białystok,Damian Węglarz,T,Bogdan Tiru,ręka,Damian Sylwestrzak
7,Pelle van Amersfoort,Cracovia,Piast Gliwice,Frantisek Plach,T,Mikkel Kirkeskov,Damir Sadiković,Paweł Raczkowski
7,Jakub Moder,Lech Poznań,Jagiellonia Białystok,Pavels Steinbors,T,Bodvar Bodvarsson,Pedro Tiba,Jarosław Przybył
7,Filip Starzyński,Zagłębie Lubin,Legia Warszawa,Artur Boruc,T,Bartosz Slisz,Dejan Drazić,Piotr Lasyk
8,Michał Żyro,Piast Gliwice,Wisła Płock,Krzysztof Kamiński,T,Damian Zbozień,Dominik Steczyk,Zbigniew Dobrynin
8,Flavio Paixao,Lechia Gdańsk,Zagłębie Lubin,Dominik Hładun,T,Lorenco Simić,Łukasz Zwoliński,Wojciech Myć
8,Jean Carlos Silva,Wisła Kraków,Podbeskidzie,Rafał Leszczyński,T,Gergo Kocsis,Maciej Sadlok,Paweł Gil
8,Jesus Jimenez,Górnik Zabrze,Warta Poznań,Adrian Lis,T,Adrian Laskowski,Przemysław Wiśniewski,Łukasz Szczech
9,Łukasz Sierpina,Podbeskidzie,Zagłębie Lubin,Dominik Hładun,N,Lubomir Guldan,Maksymilian Sitek,Szymon Marciniak
10,Łukasz Trałka,Warta Poznań,Wisła Kraków,Mateusz Lis,N,Dawid Abramowicz,ręka,Bartosz Frankowski
10,Jakub Moder,Lech Poznań,Raków Częstochowa,Jakub Szumski,T,Maciej Wilusz,ręka,Paweł Gil
10,Jakub Świerczok,Piast Gliwice,Lechia Gdańsk,Zlatan Alomerović,T,Bartosz Kopacz,Dominik Steczyk,Tomasz Kwiatkowski
11,Jesus Jimenez,Górnik Zabrze,Pogoń Szczecin,Dante Stipica,T,Hubert Matynia,ręka,Damian Sylwestrzak
11,Vladislavs Gutkovskis,Raków Częstochowa,Warta Poznań,Daniel Bielica,T,Mateusz Spychała,Fran Tudor,Daniel Stefański
11,Tomas Pekhart,Legia Warszawa,Piast Gliwice,Frantisek Plach,T,Jakub Czerwiński,ręka,Bartosz Frankowski
11,Mikael Ishak,Lech Poznań,Lechia Gdańsk,Dusan Kuciak,T,Michał Nalepa,ręka,Łukasz Szczech
12,Felicio Brown Forbes,Wisła Kraków,Cracovia,Karol Niemczycki,T,Dawid Szymonowicz,ręka,Daniel Stefański
12,Jakov Puljić,Jagiellonia Białystok,Warta Poznań,Daniel Bielica,T,Aleks Ławniczak,Jakov Puljić,Zbigniew Dobrynin
12,Kamil Drygas,Pogoń Szczecin,Stal Mielec,Michał Gliwa,T,Bożidar Czorbadżijski,Luka Zahović,Tomasz Wajda
13,Jakub Świerczok,Piast Gliwice,Podbeskidzie,Michal Pesković,T,Aleksander Komor,Jakub Świerczok,Łukasz Szczech
13,Dejan Drazić,Zagłębie Lubin,Śląsk Wrocław,Michał Szromnik,T,Michał Szromnik,Jakub Wójcicki,Zbigniew Dobrynin
13,Pelle van Amersfoort,Cracovia,Górnik Zabrze,Martin Chudy,T,Giannis Massouras,ręka,Bartosz Frankowski
13,Tomas Pekhart,Legia Warszawa,Wisła Kraków,Mateusz Lis,T,Chuca,Luquinhas,Jarosław Przybył
13,Petr Schwarz,Raków Częstochowa,Jagiellonia Białystok,Pavels Steinbors,T,Bodvar Bodvarsson,David Tijanić,Mariusz Złotek
13,Petr Schwarz,Raków Częstochowa,Jagiellonia Białystok,Pavels Steinbors,T,Maciej Makuszewski,Patryk Kun,Mariusz Złotek
14,Maciej Domański,Stal Mielec,Legia Warszawa,Artur Boruc,T,Artur Jędrzejczyk,Łukasz Zjawiński,Bartosz Frankowski
14,Maciej Domański,Stal Mielec,Legia Warszawa,Artur Boruc,T,Mateusz Wieteska,Łukasz Zjawiński,Bartosz Frankowski
14,Grzegorz Tomasiewicz,Stal Mielec,Legia Warszawa,Artur Boruc,T,Artur Jędrzejczyk,Łukasz Zjawiński,Bartosz Frankowski
15,Mateusz Szwoch,Wisła Płock,Zagłębie Lubin,Dominik Hładun,T,Dominik Jończy,Dawid Kocyła,Daniel Stefański
15,Jakub Świerczok,Piast Gliwice,Wisła Kraków,Michał Buchalik,T,Piotr Starzyński,Jakub Świerczok,Krzysztof Jakubik
16,Tomas Pekhart,Legia Warszawa,Raków Częstochowa,Dominik Holec,T,Fran Tudor,Filip Mladenović,Paweł Gil
16,Kamil Biliński,Podbeskidzie,Górnik Zabrze,Martin Chudy,O,Erik Janza,Kamil Biliński,Paweł Raczkowski
17,Felicio Brown Forbes,Wisła Kraków,Śląsk Wrocław,Matus Putnocky,O,Marcel Zylla,ręka,Bartosz Frankowski
17,Pelle van Amersfoort,Cracovia,Podbeskidzie,Michal Pesković,T,Gergo Kocsis,Dawid Szymonowicz,Jarosław Przybył
17,Jesus Imaz,Jagiellonia Białystok,Legia Warszawa,Cezary Miszta,T,Cezary Miszta,Jakov Puljić,Szymon Marciniak
17,Tomas Pekhart,Legia Warszawa,Jagiellonia Białystok,Xavier Dziekoński,T,Błażej Augustyn,Tomas Pekhart,Szymon Marciniak
17,Maciej Domański,Stal Mielec,Górnik Zabrze,Martin Chudy,O,Aleksander Paluszek,Andreja Prokić,Daniel Stefański
18,Filip Mladenović,Legia Warszawa,Wisła Płock,Krzysztof Kamiński,T,Kacper Rogoziński,Paweł Wszołek,Mariusz Złotek
19,Jesus Jimenez,Górnik Zabrze,Legia Warszawa,Artur Boruc,T,Artur Jędrzejczyk,Jesus Jimenez,Bartosz Frankowski
19,Filip Starzyński,Zagłębie Lubin,Cracovia,Karol Niemczycki,T,Daniel Pik,Jakub Żubrowski,Szymon Marciniak
19,Pelle van Amersfoort,Cracovia,Zagłębie Lubin,Dominik Hładun,O,Karol Podliński,Pelle van Amersfoort,Szymon Marciniak
20,Milan Rundić,Podbeskidzie,Lechia Gdańsk,Dusan Kuciak,T,Rafał Pietrzak,ręka,Zbigniew Dobrynin
20,Filip Starzyński,Zagłębie Lubin,Jagiellonia Białystok,Xavier Dziekoński,T,Ivan Runje,ręka,Paweł Raczkowski
21,Ivi Lopez,Raków Częstochowa,Wisła Płock,Krzysztof Kamiński,T,Krzysztof Kamiński,Fran Tudor,Paweł Gil
21,Flavio Paixao,Lechia Gdańsk,Wisła Kraków,Mateusz Lis,T,David Mawutor,ręka,Jarosław Przybył
21,Mateusz Kupczak,Warta Poznań,Legia Warszawa,Artur Boruc,T,Paweł Wszołek,ręka,Piotr Lasyk
22,Michal Frydrych,Wisła Kraków,Stal Mielec,Mateusz Lis,T,Marcin Flis,ręka,Paweł Raczkowski
22,Tomas Pekhart,Legia Warszawa,Zagłębie Lubin,Dominik Hładun,T,Dorde Crnomarković,Tomas Pekhart,Paweł Gil
23,Tomas Pekhart,Legia Warszawa,Pogoń Szczecin,Dante Stipica,T,Luis Mata,ręka,Szymon Marciniak
23,Kamil Drygas,Pogoń Szczecin,Legia Warszawa,Artur Boruc,T,Artem Szabanow,Jakub Bartkowski,Szymon Marciniak
23,Ivi Lopez,Raków Częstochowa,Stal Mielec,Rafał Strączek,T,Grzegorz Tomasiewicz,Kamil Piątkowski,Wojciech Myć
24,Michal Frydrych,Wisła Kraków,Raków Częstochowa,Dominik Holec,T,Zoran Arsenić,Stefan Savić,Szymon Marciniak
24,Michał Żyro,Piast Gliwice,Górnik Zabrze,Martin Chudy,O,Norbert Wojtuszek,Arkadiusz Pyrka,Krzysztof Jakubik
25,Sebastian Kowalczyk,Pogoń Szczecin,Podbeskidzie,Michal Pesković,T,Bartłomiej Kręcichwost,Jakub Bartkowski,Łukasz Szczech
25,Tomasz Jodłowiec,Piast Gliwice,Lechia Gdańsk,Dusan Kuciak,O,Mykoła Musolitin,Michał Żyro,Bartosz Frankowski
25,Flavio Paixao,Lechia Gdańsk,Piast Gliwice,Frantisek Plach,T,Tomas Huk,Flavio Paixao,Bartosz Frankowski
25,Filip Starzyński,Zagłębie Lubin,Stal Mielec,Michał Gliwa,T,Aleksandyr Kolew,Jakub Żubrowski,Paweł Raczkowski
26,Mateusz Kupczak,Warta Poznań,Raków Częstochowa,Dominik Holec,N,Ivi Lopez,ręka,Krzysztof Jakubik
26,Mateusz Kuzimski,Warta Poznań,Raków Częstochowa,Dominik Holec,O,Andrzej Niewulis,ręka,Krzysztof Jakubik
26,Mikael Ishak,Lech Poznań,Lechia Gdańsk,Dusan Kuciak,T,Mario Maloca,Mikael Ishak,Paweł Gil
26,Maciej Domański,Stal Mielec,Jagiellonia Białystok,Xavier Dziekoński,T,Tomas Prikryl,ręka,Szymon Marciniak
26,Marcos Alvarez,Cracovia,Wisła Płock,Krzysztof Kamiński,T,Angel Garcia,Rivaldinho,Piotr Lasyk
27,Sergiu Hanca,Cracovia,Wisła Kraków,Mateusz Lis,O,Maciej Sadlok,ręka,Bartosz Frankowski
