KLUB,śr./mecz,celne,ncel,zabl,% zabl,Celne/gol bez sam,% celn,G BEZ SAM/PRZECIW
Cracovia,"12,47","4,50","4,83","3,13","25,13%","4,22","36,10%","8,56%"
Górnik,"11,33","3,83","4,47","3,03","26,76%","3,71","33,82%","9,12%"
Jagiellonia,"15,83","5,30","6,30","4,23","26,74%","3,38","33,47%","9,89%"
Lech,"10,97","4,33","4,23","2,40","21,88%","3,61","39,51%","10,94%"
Lechia,"13,97","4,97","5,30","3,70","26,49%","4,03","35,56%","8,83%"
Legia,"8,97","3,07","4,13","1,77","19,70%","4,00","34,20%","8,55%"
Piast,"11,27","4,17","4,40","2,70","23,96%","4,03","36,98%","9,17%"
Podbeskidzie,"13,43","5,03","5,40","3,00","22,33%","2,56","37,47%","14,64%"
Pogoń,"10,23","3,20","3,97","3,07","29,97%","4,36","31,27%","7,17%"
Raków,"10,73","3,37","4,43","2,93","27,33%","4,04","31,37%","7,76%"
Stal,"15,40","4,87","5,67","4,87","31,60%","3,11","31,60%","10,17%"
Śląsk,"14,60","4,40","6,13","4,07","27,85%","4,26","30,14%","7,08%"
Warta,"12,37","3,77","5,07","3,53","28,57%","3,77","30,46%","8,09%"
Wisła K,"14,07","4,83","5,63","3,60","25,59%","3,72","34,36%","9,24%"
Wisła P,"11,57","4,07","4,57","2,93","25,36%","2,84","35,16%","12,39%"
Zagłębie,"14,23","4,60","5,80","3,83","26,93%","3,73","32,32%","8,67%"
