KLUB,śr./mecz,Zza/mecz,% celn zza,% ogółu zza,GOLE ZZA DLA,% GOLI ZZA,% skut. ZZA
Cracovia,"12,03","5,43","23,31%","45,15%",2,"7,41%","1,23%"
Górnik,"14,10","5,97","25,14%","42,32%",4,"12,90%","2,23%"
Jagiellonia,"11,53","4,23","25,20%","36,71%",3,"7,69%","2,36%"
Lech,"15,60","6,97","25,36%","44,66%",0,"0,00%","0,00%"
Lechia,"13,07","5,83","22,86%","44,64%",6,"15,79%","3,43%"
Legia,"15,33","5,60","27,38%","36,52%",2,"4,17%","1,19%"
Piast,"13,13","4,63","26,62%","35,28%",7,"18,42%","5,04%"
Podbeskidzie,"11,40","5,67","24,71%","49,71%",3,"10,71%","1,76%"
Pogoń,"12,93","5,00","22,00%","38,66%",2,"6,06%","1,33%"
Raków,"13,10","4,77","30,07%","36,39%",3,"6,82%","2,10%"
Stal,"11,90","4,80","25,69%","40,34%",1,"3,33%","0,69%"
Śląsk,"12,07","5,47","25,00%","45,30%",6,"16,67%","3,66%"
Warta,"10,07","4,03","20,66%","40,07%",3,"9,09%","2,48%"
Wisła K,"12,80","5,33","23,75%","41,67%",10,"28,57%","6,25%"
Wisła P,"10,50","3,63","28,44%","34,60%",2,"5,56%","1,83%"
Zagłębie,"11,87","4,53","28,68%","38,20%",2,"5,41%","1,47%"
