KLUB,M,PKT,Z,R,P,BZ,BS,BILANS,śr. Pkt,śr. BZ,śr. BS
Legia Warszawa,30,64,19,7,4,48,24,24,"2,13","1,60","0,80"
Raków Częstochowa,30,59,17,8,5,46,25,21,"1,97","1,53","0,83"
Pogoń Szczecin,30,52,15,7,8,36,23,13,"1,73","1,20","0,77"
Śląsk Wrocław,30,43,11,10,9,36,32,4,"1,43","1,20","1,07"
Warta Poznań,30,43,13,4,13,33,32,1,"1,43","1,10","1,07"
Piast Gliwice,30,42,11,9,10,39,32,7,"1,40","1,30","1,07"
Lechia Gdańsk,30,42,12,6,12,40,37,3,"1,40","1,33","1,23"
Zagłębie Lubin,30,41,11,8,11,38,40,-2,"1,37","1,27","1,33"
Jagiellonia Białystok,30,37,10,7,13,39,48,-9,"1,23","1,30","1,60"
Górnik Zabrze,30,37,10,7,13,31,33,-2,"1,23","1,03","1,10"
Lech Poznań,30,37,9,10,11,39,38,1,"1,23","1,30","1,27"
Wisła Płock,30,33,8,9,13,37,44,-7,"1,10","1,23","1,47"
Wisła Kraków,30,33,8,9,13,39,42,-3,"1,10","1,30","1,40"
Cracovia,30,32,8,13,9,28,32,-4,"1,07","0,93","1,07"
Stal Mielec,30,29,6,11,13,31,47,-16,"0,97","1,03","1,57"
Podbeskidzie Bielsko-Biała,30,25,6,7,17,29,60,-31,"0,83","0,97","2,00"
