KLUB,M,PKT,Z,R,P,BZ,BS,BILANS,śr. Pkt,śr. BZ,śr. BS
Legia Warszawa,15,30,9,3,3,29,19,10,"2,00","1,93","1,27"
Raków Częstochowa,15,30,9,3,3,19,9,10,"2,00","1,27","0,60"
Pogoń Szczecin,15,29,8,5,2,17,8,9,"1,93","1,13","0,53"
Śląsk Wrocław,15,28,7,7,1,21,13,8,"1,87","1,40","0,87"
Zagłębie Lubin,15,26,7,5,3,24,19,5,"1,73","1,60","1,27"
Cracovia,15,23,6,5,4,18,18,0,"1,53","1,20","1,20"
Jagiellonia,15,23,6,5,4,23,19,4,"1,53","1,53","1,27"
Podbeskidzie,15,22,6,4,5,17,23,-6,"1,47","1,13","1,53"
Górnik Zabrze,15,21,6,3,6,22,20,2,"1,40","1,47","1,33"
Lechia Gdańsk,15,21,6,3,6,23,18,5,"1,40","1,53","1,20"
Piast Gliwice,15,21,6,3,6,18,15,3,"1,40","1,20","1,00"
Warta Poznań,15,20,6,2,7,14,15,-1,"1,33","0,93","1,00"
Lech Poznań,15,19,4,7,4,19,17,2,"1,27","1,27","1,13"
Stal Mielec,15,17,4,5,6,12,20,-8,"1,13","0,80","1,33"
Wisła Płock,15,16,4,4,7,18,19,-1,"1,07","1,20","1,27"
Wisła Kraków,15,14,4,2,9,19,24,-5,"0,93","1,27","1,60"
