KLUB,1. STRZELA,Z,R,P,1. TRACI,Z,R,P
Cracovia,11,6,4,1,15,2,5,8
Górnik Zabrze,11,7,2,2,15,3,1,11
Jagiellonia,13,8,4,1,16,2,2,12
Lech Poznań,14,8,2,4,13,1,5,7
Lechia Gdańsk,12,10,1,1,18,2,5,11
Legia Warszawa,18,17,1,0,7,2,1,4
Piast Gliwice,13,9,4,0,13,2,1,10
Podbeskidzie,15,5,7,3,15,1,0,14
Pogoń Szczecin,19,15,1,3,8,0,3,5
Raków Częstochowa,15,13,2,0,10,4,1,5
Stal Mielec,10,4,3,3,16,2,4,10
Śląsk Wrocław,14,9,3,2,12,2,3,7
Warta Poznań,16,12,1,3,12,1,1,10
Wisła Kraków,14,6,2,6,11,2,2,7
Wisła Płock,12,8,3,1,16,0,4,12
Zagłębie Lubin,9,6,2,1,19,5,4,10
