KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Cracovia,"1,07","0,93",52%,"12,47","4,50","4,83","3,13","36,10%","8,56%","5,20","1,83","2,73","15,20","3,23","0,17",CRA
Górnik Zabrze,"1,10","1,03",49%,"11,33","3,83","4,47","3,03","33,82%","9,12%","5,50","2,77","3,77","13,33","2,00","0,03",GÓR
Jagiellonia,"1,60","1,30",52%,"15,83","5,30","6,30","4,23","33,47%","9,89%","6,73","2,30","2,90","13,07","2,13","0,07",JAG
Lech Poznań,"1,27","1,30",41%,"10,97","4,33","4,23","2,40","39,51%","10,94%","5,27","1,70","3,73","13,30","1,97","0,07",LPO
Lechia Gdańsk,"1,23","1,33",50%,"13,97","4,97","5,30","3,70","35,56%","8,83%","5,53","1,47","2,77","14,93","2,23","0,10",LGD
Legia Warszawa,"0,80","1,60",42%,"8,97","3,07","4,13","1,77","34,20%","8,55%","3,17","1,27","3,63","14,93","2,30","0,10",LEG
Piast Gliwice,"1,07","1,30",49%,"11,27","4,17","4,40","2,70","36,98%","9,17%","5,07","1,53","3,10","15,10","1,93","0,03",PIA
Podbeskidzie,"2,00","0,97",53%,"13,43","5,03","5,40","3,00","37,47%","14,64%","5,57","1,80","2,57","12,87","1,67","0,07",POD
Pogoń Szczecin,"0,77","1,20",45%,"10,23","3,20","3,97","3,07","31,27%","7,17%","4,40","1,70","3,40","13,53","2,67","0,10",POG
Raków Częstochowa,"0,83","1,53",53%,"10,73","3,37","4,43","2,93","31,37%","7,76%","3,57","0,63","3,57","16,87","2,10","0,07",RCZ
Stal Mielec,"1,57","1,03",55%,"15,40","4,87","5,67","4,87","31,60%","10,17%","6,20","1,37","3,53","14,20","1,63","0,03",STM
Śląsk Wrocław,"1,07","1,20",53%,"14,60","4,40","6,13","4,07","30,14%","7,08%","6,73","1,57","2,93","14,27","2,07","0,10",ŚLĄ
Warta Poznań,"1,07","1,10",56%,"12,37","3,77","5,07","3,53","30,46%","8,09%","6,10","1,93","2,03","15,67","1,80","0,00",WAR
Wisła Kraków,"1,40","1,30",50%,"14,07","4,83","5,63","3,60","34,36%","9,24%","5,23","1,57","3,03","15,10","2,00","0,07",WIS
Wisła Płock,"1,47","1,23",49%,"11,57","4,07","4,57","2,93","35,16%","12,39%","4,50","1,63","2,87","15,27","1,90","0,13",WPŁ
Zagłębie Lubin,"1,33","1,27",49%,"14,23","4,60","5,80","3,83","32,32%","8,67%","5,10","1,37","2,73","13,87","1,90","0,07",ZAG
