KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Cracovia,"1,20","1,20",51%,"12,07","4,53","5,07","2,47","37,57%","9,94%","4,93","2,13","2,73","15,27","3,47","0,20",CRA
Górnik Zabrze,"1,33","1,47",48%,"11,00","3,67","4,27","3,07","33,33%","12,12%","4,67","2,67","3,87","12,47","1,87","0,07",GÓR
Jagiellonia,"1,27","1,53",52%,"14,87","5,00","5,93","3,93","33,63%","8,52%","5,80","3,00","2,93","12,73","2,40","0,07",JAG
Lech Poznań,"1,13","1,27",40%,"10,73","4,60","3,80","2,33","42,86%","9,32%","4,87","1,73","4,20","13,27","2,20","0,07",LPO
Lechia Gdańsk,"1,20","1,53",48%,"13,20","4,20","5,00","4,00","31,82%","9,09%","5,53","1,40","2,87","14,80","1,80","0,00",LGD
Legia Warszawa,"1,27","1,93",41%,"9,20","3,60","4,07","1,53","39,13%","13,04%","3,13","1,33","4,20","15,47","2,00","0,13",LEG
Piast Gliwice,"1,00","1,20",48%,"11,67","4,00","4,73","2,93","34,29%","8,00%","5,00","1,60","3,00","16,33","1,80","0,00",PIA
Podbeskidzie,"1,53","1,13",51%,"12,33","4,60","5,33","2,40","37,30%","12,43%","5,27","1,60","2,87","13,27","2,07","0,00",POD
Pogoń Szczecin,"0,53","1,13",42%,"8,40","2,47","3,60","2,33","29,37%","6,35%","3,33","1,67","3,40","13,87","2,27","0,07",POG
Raków Częstochowa,"0,60","1,27",52%,"10,33","2,47","4,80","3,07","23,87%","5,81%","3,27","0,67","3,73","17,13","2,27","0,07",RCZ
Stal Mielec,"1,33","0,80",53%,"13,53","4,60","4,67","4,27","33,99%","9,85%","5,73","1,33","3,80","14,13","1,60","0,07",STM
Śląsk Wrocław,"0,87","1,40",53%,"14,47","4,07","5,67","4,73","28,11%","5,99%","6,60","1,67","3,20","12,93","1,60","0,07",ŚLĄ
Warta Poznań,"1,00","0,93",54%,"10,07","3,40","3,80","2,87","33,77%","9,27%","5,93","1,60","2,13","16,40","1,93","0,00",WAR
Wisła Kraków,"1,60","1,27",48%,"13,40","4,87","5,13","3,40","36,32%","10,95%","4,80","1,67","3,20","14,07","2,20","0,07",WIS
Wisła Płock,"1,27","1,20",46%,"10,93","3,33","4,67","2,93","30,49%","10,98%","4,27","1,47","3,53","16,00","2,13","0,20",WPŁ
Zagłębie Lubin,"1,27","1,60",48%,"13,07","4,53","5,40","3,13","34,69%","8,67%","4,73","1,33","2,73","13,33","1,80","0,00",ZAG
