DR/KOL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Średnia,DR,ŚREDNIA,"182,23","182,07","182,02","182,29","182,51","182,20","182,57","182,57","182,15","182,16","181,91","182,16","182,41","181,33","182,60","182,81","182,46","182,36","182,64","182,76","182,88","181,88","182,75","183,01","183,26","183,03","182,79","182,97","182,69","182,83",,
Cracovia,"184,36","183,36","182,55","182,82","184,00","183,36","185,18","184,91","183,73","183,27","184,64","184,45","185,36","184,36","184,00","184,09","183,64","182,73","184,09","183,27","184,09","184,00","185,55","184,64","184,91","184,64","183,64","185,82","186,00","183,64","184,17",CRA
Górnik Zabrze,"183,27","183,27","182,18","182,18","182,18","182,18","183,45","182,45","184,82","183,73","181,73","181,73","182,18","182,82","183,64","182,91","183,18","182,45","184,18","185,00","185,27","185,27","183,09","181,91","183,82","183,73","184,00","183,73","181,91","182,91","183,17",GÓR
Jagiellonia Białystok,"184,36","184,18","183,45","183,09","183,09","183,73","181,82","182,91","182,27","182,09","179,91","183,45","183,27","183,45","183,36","183,18","183,27","182,18","183,00","183,00","184,00","185,00","184,36","182,27","183,36","183,82","183,00","182,91","184,82","181,82","183,15",JAG
Lech Poznań,"181,64","180,73","181,00","181,55","183,36","181,27","182,55","184,91","180,82","180,82","181,09","181,09","182,27","182,18","181,82","182,00","180,91","180,36","180,36","180,00","180,09","180,27","181,45","183,36","183,91","182,00","182,91","180,82","182,36","182,45","181,68",LPO
Lechia Gdańsk,"182,36","180,73","180,82","180,73","180,55","180,73","180,73","180,73","180,55","179,73","182,00","182,73","181,55","180,55","180,27","180,82","182,73","182,73","182,82","183,09","183,09","183,09","183,82","184,27","183,09","182,27","182,82","183,18","181,27","182,36","181,87",LGD
Legia Warszawa,"181,91","182,73","181,00","182,91","182,09","182,45","182,09","181,64","180,45","181,82","180,91","180,91","180,27","181,18","181,18","182,64","181,55","180,73","181,09","183,82","180,82","182,45","181,91","181,91","181,64","184,09","181,45","182,91","181,73","181,18","181,78",LEG
Piast Gliwice,"183,82","183,91","184,36","185,00","184,64","183,09","183,73","182,82","181,91","181,55","181,55","181,55","182,91","183,55","181,91","182,64","182,91","183,27","183,18","182,27","182,18","183,09","182,36","182,64","183,18","182,36","182,09","182,45","182,36","182,36","182,85",PIA
Podbeskidzie Bielsko-Biała,"181,91","180,64","180,45","180,55","183,64","180,09","180,09","181,45","181,27","180,73","181,09","182,45","181,64","166,18","183,73","184,73","182,82","181,91","182,91","182,73","183,45","181,00","180,91","181,09","181,91","183,73","182,91","183,82","181,91","184,27","181,53",POD
Pogoń Szczecin,"182,27","182,27","181,82","181,73","181,09","180,45","180,45","180,18","182,45","180,45","181,27","182,55","182,82","181,55","182,45","181,18","180,27","182,27","180,91","181,73","180,45","182,00","180,64","181,55","181,45","180,64","182,18","181,45","181,45","181,91","181,46",POG
Raków Częstochowa,"182,64","182,64","182,64","182,64","182,64","183,82","184,00","183,55","182,45","183,18","181,45","180,27","181,45","182,91","182,27","182,00","181,09","181,73","182,18","182,18","182,00","165,27","181,27","182,09","181,45","183,00","181,82","181,45","181,09","182,18","181,65",RCZ
Stal Mielec,"178,00","179,73","181,73","181,64","180,18","181,00","181,09","179,45","179,64","182,55","180,64","181,55","182,55","182,55","183,27","183,73","182,73","183,18","183,91","180,36","183,64","182,64","180,82","183,55","184,45","180,64","181,00","181,73","182,00","184,82","181,82",STM
Śląsk Wrocław,"181,82","181,82","181,82","182,18","183,00","182,45","183,00","182,18","182,91","182,73","182,64","182,18","182,64","182,00","183,18","183,18","183,45","182,36","183,45","184,09","184,45","183,27","184,82","185,27","185,55","183,45","183,91","185,27","184,09","184,09","183,24",ŚLĄ
Warta Poznań,"180,18","180,91","181,45","181,09","181,09","182,00","182,36","184,09","181,27","182,18","182,18","179,82","181,73","181,09","181,82","181,91","181,91","183,18","181,73","183,27","183,45","183,27","184,00","184,00","184,36","183,55","183,45","183,45","183,55","182,18","182,35",WAR
Wisła Kraków,"182,55","180,73","183,00","182,82","182,45","182,45","182,82","182,64","183,73","184,45","183,91","184,09","180,64","182,00","181,73","181,36","181,91","182,00","181,45","181,36","182,91","183,18","182,91","182,82","183,09","182,55","181,91","181,91","182,00","181,45","182,43",WIS
Wisła Płock,"183,82","184,00","184,00","184,55","184,55","184,55","185,36","185,36","183,18","182,64","183,55","183,18","184,64","183,00","183,82","184,91","183,82","183,73","183,64","184,55","182,91","182,91","182,91","183,18","182,64","185,00","184,55","183,55","183,55","183,82","183,86",WPŁ
Zagłębie Lubin,"180,82","181,55","180,00","181,18","181,64","181,64","182,36","181,82","182,91","182,73","182,09","182,64","182,64","181,91","183,18","183,73","183,18","183,00","183,36","183,36","183,27","183,27","183,18","183,55","183,36","183,00","183,00","183,00","183,00","183,82","182,61",ZAG
