KLUB,ŻK/mecz,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia,RAZEM,,1004,10,36,872,9,19,36,38,17,16,2,4,1,0,0,0
Cracovia,"2,50",75,2,5,62,2,1,3,5,1,3,0,0,0,0,0,0
Górnik Zabrze,"2,17",65,0,0,57,0,2,4,2,0,0,0,0,0,0,0,0
Jagiellonia,"2,30",69,0,5,63,0,1,2,1,0,2,0,0,0,0,0,0
Lech Poznań,"1,77",53,0,0,50,0,0,1,0,0,1,0,1,0,0,0,0
Lechia Gdańsk,"2,73",82,2,5,66,2,2,4,9,0,0,1,0,0,0,0,0
Legia Warszawa,"1,83",55,0,1,48,0,0,3,3,1,0,0,0,0,0,0,0
Piast Gliwice,"1,80",54,0,0,50,0,0,1,1,1,1,0,0,0,0,0,0
Podbeskidzie,"2,13",64,1,4,56,1,0,2,4,1,1,0,0,0,0,0,0
Pogoń Szczecin,"2,07",62,1,2,49,0,0,4,4,2,2,1,0,1,0,0,0
Raków Częstochowa,"1,93",58,1,2,51,1,1,2,1,3,0,0,0,0,0,0,0
Stal Mielec,"2,13",64,0,2,56,0,2,2,0,2,1,0,1,0,0,0,0
Śląsk Wrocław,"1,83",55,1,3,49,1,4,0,1,0,1,0,0,0,0,0,0
Warta Poznań,"1,47",44,1,2,36,1,2,0,0,4,2,0,0,0,0,0,0
Wisła Kraków,"2,63",79,0,1,65,0,4,5,0,2,2,0,1,0,0,0,0
Wisła Płock,"2,03",61,0,1,54,0,0,3,4,0,0,0,0,0,0,0,0
Zagłębie Lubin,"2,13",64,1,3,60,1,0,0,3,0,0,0,1,0,0,0,0
