KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,Zagłębie Lubin,-12,-3,-4,1,-1,6,-4,1,-16
Bruk-Bet,-1,-6,0,1,-7,-4,-2,-1,-20
Cracovia,-1,-2,-7,1,0,4,3,0,-2
Górnik Łęczna,-7,-7,-2,0,-6,-4,-3,-2,-31
Górnik Zabrze,-1,-4,5,-2,1,-4,5,0,0
Jagiellonia,-3,1,-4,-4,-2,1,-4,4,-11
Lech Poznań,5,7,3,2,14,6,4,2,43
Lechia Gdańsk,2,2,4,3,1,-7,2,6,13
Legia Warszawa,1,0,3,-1,-2,2,-4,-1,-2
Piast Gliwice,5,3,0,-1,2,2,0,-3,8
Pogoń Szczecin,9,2,4,0,9,7,0,1,32
Radomiak Radom,-4,2,4,-1,-1,3,-3,2,2
Raków Częstochowa,4,4,0,2,9,2,7,2,30
Stal Mielec,4,-3,-5,3,-3,-1,-7,-1,-13
Śląsk Wrocław,-2,0,0,1,-11,-5,9,-2,-10
Warta Poznań,1,2,-1,-4,-1,0,3,-3,-3
Wisła Kraków,-6,2,-2,-1,-1,-5,-2,-2,-17
Wisła Płock,6,0,2,0,-1,-3,-4,-3,-3
