KLUB,RAZEM,KARNY,ROŻNY,WOLNY,WOLNY BEZP,AUT,PO SFG,% PO SFG,Z GRY,% Z GRY,SUMA,818,77,99,74,15,10,277,"33,86%",541,"66,14%"
Bruk-Bet,36,8,3,3,1,0,15,"41,67%",21,"58,33%"
Cracovia,40,1,7,7,0,0,16,"40,00%",24,"60,00%"
Górnik Łęczna,29,2,4,2,0,1,9,"31,03%",20,"68,97%"
Górnik Zabrze,55,1,8,3,0,0,12,"21,82%",43,"78,18%"
Jagiellonia,39,2,6,2,0,0,10,"25,64%",29,"74,36%"
Lech Poznań,67,4,6,7,2,0,19,"28,36%",48,"71,64%"
Lechia Gdańsk,52,4,4,4,3,0,15,"28,85%",37,"71,15%"
Legia Warszawa,46,1,5,6,0,0,12,"26,09%",34,"73,91%"
Piast Gliwice,45,3,6,7,1,1,18,"40,00%",27,"60,00%"
Pogoń Szczecin,63,7,9,2,0,0,18,"28,57%",45,"71,43%"
Radomiak Radom,42,9,6,0,0,3,18,"42,86%",24,"57,14%"
Raków Częstochowa,60,9,9,3,3,0,25,"41,67%",35,"58,33%"
Stal Mielec,39,8,7,5,0,0,20,"51,28%",19,"48,72%"
Śląsk Wrocław,42,5,3,3,1,1,13,"30,95%",29,"69,05%"
Warta Poznań,35,2,5,4,2,1,14,"40,00%",21,"60,00%"
Wisła Kraków,37,2,5,3,0,0,10,"27,03%",27,"72,97%"
Wisła Płock,48,3,3,11,0,1,18,"37,50%",30,"62,50%"
Zagłębie Lubin,43,6,3,2,2,2,15,"34,88%",28,"65,12%"
