,BBT,CRA,GKŁ,GÓR,JAG,LPO,LGD,LEG,PIA,POG,RAD,RCZ,STM,ŚLĄ,WAR,WIS,WPŁ,ZAG
BBT,-,0,3,1,0,8,2,3,4,4,2 *,2 *,2 *,0,0,4,0,7
CRA,1,-,7,2,1,2,0,1,1,3,0,1,0,0,1,5,0,0
GKŁ,2,0,-,4,1,13,4,3,3,6,0,2 *,0,2,2 *,2,1,0
GÓR,2,0,0,-,1,6,3,1,8,3,3,1,0,0,1,5,1,0
JAG,1,2,0,0,-,1,0,3,3,5,2 *,1,9,4,3,1,3,0
LPO,0,1,0,0,0,-,1,1,0,0,2,4,0,0,0,1,0,0
LGD,0,1,0,0,4,0,-,1,1,4,3,1,0,0,0,2,1,1
LEG,0,0,0,0,1,3,0,-,2,2,2,2,4,0,1,0,1,0
PIA,0,0,0,1,0,7,0,0,-,8,2 *,5,1,0,0,1,0,4
POG,1,2,0,1,0,3,1,0,0,-,0,3,0,1,3,0,2,0
RAD,2 *,1,1,1,2 *,0,0,0,2 *,4 *,-,2 *,2 *,4 *,1,0,2 *,1
RCZ,0,6 *,0,3,0,0,0,1,0,0,0,-,0,1,0,0,0,1
STM,0,5,1,6,3,2,4,0,3,2,1,7,-,7,5,0,1,1
ŚLĄ,2,1,4,4,2,6,9,1,3,2,2,3,1,-,2,1,0,1
WAR,2 *,0,1,0,2,4,4,0,1,6,0,5,0,0,-,0,0,0
WIS,0,1,1,0,2,3,7,1,2,2,4 *,5,2,7,6,-,2,1
WPŁ,2,1,0,0,0,2,0,0,4,0,1,6,0,3,1,0,-,1
ZAG,0,2,1,3,2,3,5,4,1,1,0,0,0,3,1,0,0,-
