,BBT,CRA,GKŁ,GÓR,JAG,LPO,LGD,LEG,PIA,POG,RAD,RCZ,STM,ŚLĄ,WAR,WIS,WPŁ,ZAG
BBT,-,1,1,0,0,4,1,1,1,2,1 *,1 *,1 *,0,0,4 *,0,3
CRA,1,-,3,1,0,1,0,0,1,1,1 *,0,5 *,2,0,5,0,0
GKŁ,1,1,-,2,2,6,2,1,1,3,0,1 *,0,4 *,1 *,1,0,0
GÓR,1,0,0,-,1,4,1,0,4,1,1,2,0,0,0,3,0,1
JAG,0,1,1,1,-,0,1,4,3,3,1 *,0,4,2,1,0,1,0
LPO,0,0,0,0,0,-,0,2,0,3,1,2,0,0,0,0,0,0
LGD,0,0,0,1,3,0,-,0,0,3,1,0,0,0,0,1,0,0
LEG,0,0,0,0,0,1,0,-,5,1,1,1,2,0,1,0,0,0
PIA,0,1,0,1,0,4,0,0,-,3,1 *,2,1,1,2 *,0,0,2
POG,1,1,0,0,0,4,0,0,0,-,0,4,0,0,2,0,1,0
RAD,1 *,1 *,0,0,1 *,0,0,0,1 *,2 *,-,1 *,1 *,2 *,0,0,1 *,1 *
RCZ,0,3 *,0,2,0,1,0,7 *,0,4,1 *,-,0,1,0,0,0,0
STM,0,2,0,3,1,2,2,0,1,1,0,3,-,5,2,0,0,0
ŚLĄ,3,1,3,2,1,5,5,0,1,1,1,1,0,-,1,2,0,3
WAR,1 *,0,1 *,0,1,4,3 *,2,2 *,3,0,2,2,0,-,1,1,1
WIS,0,0,1,0,1,7,3,0,4,1,2 *,2,1,4,3,-,2,0
WPŁ,1,0,0,0,0,1,0,0,2,0,0,4,0,1,3 *,0,-,0
ZAG,0,8,0,1,1,1,3,2,5,0,1 *,0,0,1,1,0,0,-
