ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,G rez,AS rez,G 1-0/0-1,2.AS,KAN+2.AS
Ivi Lopez,Raków Częstochowa,20,7,27,1,0,7,7,34
Mikael Ishak,Lech Poznań,18,6,24,0,0,5,6,30
Joao Amaral,Lech Poznań,14,8,22,3,2,5,1,23
Karol Angielski,Radomiak Radom,18,1,19,5,0,6,2,21
Patryk Szysz,Zagłębie Lubin,11,6,17,0,0,3,1,18
Josue,Legia Warszawa,2,15,17,0,0,1,3,20
Jakub Kamiński,Lech Poznań,9,7,16,0,0,1,3,19
Łukasz Sekulski,Wisła Płock,13,3,16,0,0,4,1,17
Flavio Paixao,Lechia Gdańsk,10,6,16,2,1,3,2,18
Kamil Grosicki,Pogoń Szczecin,9,6,15,0,4,4,5,20
Luka Zahović,Pogoń Szczecin,11,4,15,2,0,6,3,18
Bartosz Nowak,Górnik Zabrze,8,6,14,1,0,1,9,23
Łukasz Zwoliński,Lechia Gdańsk,14,0,14,1,0,7,3,17
Vladislavs Gutkovskis,Raków Częstochowa,10,4,14,5,0,4,1,15
Damian Kądzior,Piast Gliwice,6,8,14,0,2,4,3,17
Erik Exposito,Śląsk Wrocław,11,2,13,1,0,4,3,16
Muris Mesanović,Bruk-Bet,11,2,13,3,1,3,2,15
Lukas Podolski,Górnik Zabrze,9,4,13,0,0,0,4,17
Jesus Jimenez,Górnik Zabrze,8,4,12,0,0,5,3,15
Krzysztof Kubica,Górnik Zabrze,9,3,12,1,1,2,3,15
Fabian Piasecki,Śląsk/Stal,7,5,12,2,0,2,3,15
Adam Zrelak,Warta Poznań,9,2,11,0,0,7,0,11
Bartosz Śpiączka,Górnik Łęczna,11,0,11,0,0,4,2,13
Jesus Imaz,Jagiellonia,9,2,11,1,0,3,0,11
Rafał Wolski,Wisła Płock,4,7,11,0,0,1,2,13
Grzegorz Tomasiewicz,Stal Mielec,8,2,10,0,0,5,3,13
Piotr Wlazło,Bruk-Bet,9,1,10,1,0,3,5,15
Sebastian Kowalczyk,Pogoń Szczecin,6,4,10,1,1,3,7,17
Mateusz Mak,Stal Mielec,7,3,10,0,0,1,3,13
Ilkay Durmus,Lechia Gdańsk,6,4,10,0,0,1,8,18
Tomas Pekhart,Legia Warszawa,9,1,10,0,0,1,3,13
Mateusz Wdowiak,Raków Częstochowa,7,2,9,0,0,2,2,11
Pelle van Amersfoort,Cracovia,8,1,9,0,0,3,4,13
Sergiu Hanca,Cracovia,4,5,9,1,0,1,4,13
Tomas Prikryl,Jagiellonia,6,3,9,0,0,1,1,10
Mateusz Szwoch,Wisła Płock,5,4,9,0,0,3,8,17
Fran Tudor,Raków Częstochowa,2,7,9,0,0,1,3,12
Damian Gąska,Górnik Łęczna,5,4,9,1,1,1,1,10
Paweł Wszołek,Legia Warszawa,6,3,9,1,0,3,2,11
Fedor Cernych,Jagiellonia,4,4,8,0,2,1,3,11
Filip Starzyński,Zagłębie Lubin,6,2,8,0,1,3,7,15
Kamil Drygas,Pogoń Szczecin,7,1,8,1,0,2,0,8
Krystian Getinger,Stal Mielec,2,6,8,0,0,1,3,11
Damian Warchoł,Wisła Płock,6,2,8,2,1,3,5,13
Dawid Abramowicz,Radomiak Radom,4,4,8,0,0,3,5,13
Robert Dadok,Górnik Zabrze,3,5,8,0,0,1,2,10
Jason Lokilo,Górnik Łęczna,2,6,8,2,0,0,0,8
Alberto Toril,Piast Gliwice,6,1,7,1,0,2,3,10
Joel Pereira,Lech Poznań,0,7,7,0,0,0,5,12
Mateusz Praszelik,Śląsk Wrocław,4,3,7,0,0,3,2,9
Michał Chrapek,Piast Gliwice,4,3,7,0,0,3,5,12
Patryk Sokołowski,Piast/Legia,7,0,7,0,0,2,6,13
Rafael Lopes,Legia Warszawa,5,2,7,1,1,2,1,8
Robert Pich,Śląsk Wrocław,6,1,7,1,1,3,2,9
Marko Kolar,Wisła Płock,4,3,7,2,2,2,1,8
Erik Janza,Górnik Zabrze,1,6,7,0,0,1,10,17
Kamil Pestka,Cracovia,4,3,7,0,0,3,5,12
Maurides,Radomiak Radom,5,2,7,0,0,0,2,9
Stefan Savić,Wisła Kraków,3,4,7,1,1,1,3,10
Bojan Nastić,Jagiellonia,0,6,6,0,0,0,3,9
Dino Stiglec,Śląsk Wrocław,1,5,6,0,0,1,0,6
Erik Daniel,Zagłębie Lubin,3,3,6,0,0,1,2,8
Jean Carlos Silva,Pogoń Szczecin,2,4,6,1,1,1,6,12
Kacper Kozłowski,Pogoń Szczecin,3,3,6,1,1,1,1,7
Leandro Rossi,Radomiak Radom,4,2,6,0,0,0,5,11
Martin Konczkowski,Piast Gliwice,2,4,6,0,1,1,2,8
Michał Kucharczyk,Pogoń Szczecin,5,1,6,4,1,1,1,7
Michal Skvarka,Wisła Kraków,2,4,6,0,0,1,3,9
Przemysław Banaszak,Górnik Łęczna,4,2,6,1,1,1,1,7
Yaw Yeboah,Wisła Kraków,5,1,6,0,0,3,2,8
Antonio Milić,Lech Poznań,4,2,6,0,1,2,3,9
Piotr Tomasik,Wisła Płock,2,4,6,0,0,2,2,8
Piotr Krawczyk,Górnik Zabrze,5,1,6,0,1,2,3,9
Maksymilian Sitek,Stal Mielec,3,3,6,0,0,1,3,9
Janusz Gol,Górnik Łęczna,4,2,6,0,0,3,6,12
Jakub Myszor,Cracovia,3,3,6,2,3,1,1,7
Mateusz Wieteska,Legia Warszawa,4,2,6,0,0,1,0,6
Kacper Sezonienko,Lechia Gdańsk,1,5,6,0,3,0,1,7
Kacper Chodyna,Zagłębie Lubin,4,2,6,0,0,1,6,12
Maciej Rosołek,Legia Warszawa,3,3,6,1,0,3,1,7
Dor Hugi,Wisła Kraków,1,4,5,1,4,0,0,5
Konrad Gruszkowski,Wisła Kraków,2,3,5,0,0,1,1,6
Mateusz Grzybek,Bruk-Bet,2,3,5,0,0,0,3,8
Michal Frydrych,Wisła Kraków,4,1,5,0,0,1,1,6
Matej Hanousek,Wisła Kraków,0,5,5,0,0,0,0,5
