SĘDZIA,GŁ.,VAR,R,BBT,CRA,GKŁ,GÓR,JAG,LPO,LGD,LEG,PIA,POG,RAD,RCZ,STM,ŚLĄ,WAR,WIS,WPŁ,ZAG
Zbigniew Dobrynin,8,21,29,3/3 (6),1/4 (5),1/3 (4),1/1 (2),0/3 (3),0/1 (1),0/3 (3),1/3 (4),0/1 (1),1/2 (3),2/0 (2),0/4 (4),1/1 (2),1/0 (1),0/1 (1),2/4 (6),1/5 (6),1/3 (4)
Bartosz Frankowski,24,28,52,3/2 (5),3/2 (5),0/1 (1),2/1 (3),2/3 (5),2/10 (12),6/7 (13),1/3 (4),3/4 (7),1/3 (4),2/4 (6),1/2 (3),3/2 (5),5/4 (9),5/0 (5),1/4 (5),3/2 (5),5/2 (7)
Paweł Gil,1,1,2,0/0 (0),0/0 (0),0/0 (0),0/1 (1),0/0 (0),0/1 (1),0/0 (0),0/0 (0),1/0 (1),0/0 (0),0/0 (0),0/0 (0),1/0 (1),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0)
Patryk Gryckiewicz,1,0,1,0/0 (0),0/0 (0),1/0 (1),0/0 (0),1/0 (1),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0)
Krzysztof Jakubik,19,26,45,3/3 (6),2/6 (8),5/3 (8),3/2 (5),3/4 (7),2/4 (6),3/5 (8),1/4 (5),1/5 (6),0/1 (1),3/2 (5),3/1 (4),3/4 (7),1/3 (4),3/0 (3),1/2 (3),0/3 (3),1/0 (1)
Sebastian Jarzębak,8,7,15,3/1 (4),0/1 (1),1/1 (2),0/2 (2),2/0 (2),1/0 (1),1/0 (1),0/0 (0),0/0 (0),2/0 (2),2/1 (3),1/0 (1),1/1 (2),0/0 (0),0/4 (4),0/1 (1),0/1 (1),2/1 (3)
Damian Kos,18,0,18,2/0 (2),2/0 (2),2/0 (2),3/0 (3),4/0 (4),1/0 (1),0/0 (0),2/0 (2),3/0 (3),1/0 (1),2/0 (2),2/0 (2),0/0 (0),1/0 (1),3/0 (3),1/0 (1),4/0 (4),3/0 (3)
Sebastian Krasny,14,0,14,1/0 (1),0/0 (0),7/0 (7),1/0 (1),1/0 (1),2/0 (2),1/0 (1),0/0 (0),2/0 (2),0/0 (0),0/0 (0),2/0 (2),2/0 (2),0/0 (0),2/0 (2),0/0 (0),2/0 (2),5/0 (5)
Łukasz Kuźma,12,1,13,3/0 (3),1/0 (1),3/0 (3),3/0 (3),0/0 (0),0/0 (0),0/1 (1),3/0 (3),0/0 (0),1/0 (1),2/0 (2),0/0 (0),0/1 (1),2/0 (2),2/0 (2),1/0 (1),1/0 (1),2/0 (2)
Tomasz Kwiatkowski,22,23,45,1/2 (3),4/3 (7),0/3 (3),1/3 (4),3/4 (7),3/4 (7),4/1 (5),0/0 (0),4/4 (8),2/1 (3),3/3 (6),3/3 (6),2/2 (4),3/2 (5),2/0 (2),6/5 (11),3/4 (7),0/2 (2)
Piotr Lasyk,18,24,42,2/0 (2),0/3 (3),1/0 (1),1/0 (1),1/1 (2),0/1 (1),1/2 (3),6/4 (10),0/1 (1),3/0 (3),1/4 (5),1/5 (6),3/3 (6),3/7 (10),2/8 (10),5/1 (6),3/2 (5),3/6 (9)
Paweł Malec,11,5,16,1/0 (1),1/1 (2),1/3 (4),1/0 (1),0/0 (0),0/0 (0),2/0 (2),0/2 (2),1/1 (2),1/2 (3),1/1 (2),3/0 (3),4/0 (4),0/0 (0),2/0 (2),0/0 (0),1/0 (1),3/0 (3)
Szymon Marciniak,23,28,51,0/0 (1),2/0 (3),1/0 (5),1/1 (4),3/0 (7),3/0 (7),2/0 (4),5/0 (7),2/0 (5),4/0 (11),2/1 (9),6/0 (9),1/0 (3),5/0 (7),1/0 (5),6/0 (9),0/0 (1),2/0 (5)
Jacek Małyszek,0,1,1,0/1 (0),0/1 (0),0/4 (0),0/3 (1),0/4 (0),0/4 (0),0/2 (0),0/2 (0),0/3 (0),0/7 (0),0/7 (1),0/3 (0),0/2 (0),0/2 (0),0/4 (0),0/3 (0),0/1 (0),0/3 (0)
Tomasz Musiał,21,27,48,0/5 (5),0/0 (0),2/3 (5),4/4 (8),5/1 (6),2/4 (6),2/0 (2),4/9 (13),4/3 (7),3/1 (4),6/2 (8),2/8 (10),1/4 (5),3/2 (5),1/1 (2),0/0 (0),3/2 (5),0/5 (5)
Wojciech Myć,2,4,6,0/1 (1),0/1 (1),0/0 (0),1/1 (2),0/0 (0),0/0 (0),0/0 (0),0/1 (1),1/2 (3),0/0 (0),0/0 (0),0/0 (0),1/2 (3),0/0 (0),0/0 (0),0/0 (0),0/0 (0),1/0 (1)
Jarosław Przybył,21,12,33,3/2 (5),3/3 (6),2/2 (4),3/2 (5),3/0 (3),2/2 (4),3/0 (3),5/0 (5),2/0 (2),2/2 (4),5/1 (6),1/1 (2),2/1 (3),2/2 (4),0/2 (2),1/0 (1),1/3 (4),2/1 (3)
Paweł Pskit,0,30,30,0/4 (4),0/1 (1),0/1 (1),0/3 (3),0/4 (4),0/2 (2),0/7 (7),0/3 (3),0/4 (4),0/8 (8),0/2 (2),0/3 (3),0/3 (3),0/4 (4),0/1 (1),0/5 (5),0/2 (2),0/3 (3)
Paweł Raczkowski,25,23,48,0/2 (2),5/4 (9),1/2 (3),1/5 (6),4/4 (8),8/1 (9),5/4 (9),0/0 (0),2/1 (3),5/3 (8),0/4 (4),2/3 (5),1/1 (2),3/2 (5),5/3 (8),4/3 (7),2/2 (4),2/2 (4)
Daniel Stefański,17,24,41,3/6 (9),1/2 (3),0/4 (4),3/1 (4),2/3 (5),2/0 (2),0/0 (0),0/1 (1),4/3 (7),2/3 (5),1/1 (2),3/0 (3),4/3 (7),2/4 (6),2/4 (6),2/5 (7),2/3 (5),1/5 (6)
