DR/KOL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Średnia,DR,ŚREDNIA,"6,22","5,89","6,50","6,06","6,11","6,28","6,44","6,78","5,83","6,00","6,11","6,00","5,78","6,33","6,00","6,22","6,33","6,11","6,06","6,44","6,06","6,06","5,89","6,00","5,50","5,44","5,78","5,67","5,56","5,50","5,44","5,61","5,78","5,89",,
BBT,7,6,5,7,5,4,9,9,5,6,5,7,4,6,7,6,6,7,6,7,7,5,6,5,3,4,4,3,4,5,5,5,7,6,"5,68",BBT
CRA,1,1,3,3,3,3,4,3,2,2,2,4,3,4,4,5,5,5,3,3,4,4,3,3,4,5,3,3,2,2,2,2,2,3,"3,09",CRA
GKŁ,9,9,9,10,10,10,9,9,9,9,8,8,8,8,9,7,8,7,7,8,8,7,7,8,5,8,7,8,7,10,8,7,6,5,"8,00",GKŁ
GÓR,7,7,7,8,8,8,8,8,8,7,7,7,7,7,7,7,7,8,7,9,8,8,9,8,8,8,8,8,7,8,8,8,8,8,"7,68",GÓR
JAG,5,6,6,4,5,3,5,8,3,3,4,5,7,5,5,6,7,4,5,7,7,5,6,6,7,5,5,6,5,5,5,4,5,5,"5,26",JAG
LPO,3,3,4,4,3,3,4,2,3,3,3,4,3,3,4,3,5,5,4,4,3,4,4,4,5,3,4,4,4,3,1,2,3,4,"3,47",LPO
LGD,6,5,6,5,5,7,7,6,6,6,6,5,6,6,4,5,6,5,6,4,4,6,4,5,5,4,4,6,6,5,6,5,5,4,"5,32",LGD
LEG,6,5,6,7,6,6,6,5,6,6,4,5,3,4,3,6,6,4,5,7,5,6,6,6,4,5,6,4,5,5,5,7,6,7,"5,38",LEG
PIA,6,7,7,5,5,5,6,8,6,7,6,5,5,6,6,6,7,7,7,5,6,6,6,6,6,6,6,6,6,6,7,6,5,6,"6,06",PIA
POG,5,5,5,6,6,7,6,8,7,7,7,5,6,7,5,5,5,5,5,6,6,7,7,7,7,8,8,8,7,4,5,7,7,5,"6,21",POG
RAD,8,7,8,5,7,8,6,6,7,5,6,4,6,6,6,6,6,6,6,5,5,6,5,5,4,5,6,4,5,6,5,4,5,6,"5,74",RAD
RCZ,4,4,5,4,4,4,5,6,4,4,3,2,2,3,3,3,3,4,3,3,2,1,2,3,3,3,3,2,3,3,3,3,4,4,"3,29",RCZ
STM,9,10,9,9,9,9,9,10,9,10,10,10,11,10,10,8,8,9,8,9,9,10,11,11,11,9,10,10,11,10,10,10,10,10,"9,65",STM
ŚLĄ,6,5,8,6,6,8,6,6,6,6,7,6,6,7,6,7,5,7,7,7,7,8,6,6,6,4,5,6,6,4,4,4,4,5,"5,97",ŚLĄ
WAR,9,9,8,8,8,7,8,8,7,7,7,9,7,8,8,8,9,8,8,8,8,7,7,6,6,6,8,7,7,6,6,7,7,7,"7,47",WAR
WIS,4,4,4,3,5,5,4,4,4,3,6,6,5,5,5,6,4,3,5,5,2,3,3,3,2,2,2,3,3,3,2,3,3,5,"3,79",WIS
WPŁ,9,7,9,9,8,8,7,9,6,10,11,9,9,11,8,9,8,9,9,10,9,10,8,10,8,8,9,8,6,8,7,8,8,9,"8,56",WPŁ
ZAG,8,6,8,6,7,8,7,7,7,7,8,7,6,8,8,9,9,7,8,9,9,6,6,6,5,5,6,6,6,6,9,9,9,7,"7,21",ZAG
