ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,CZAS,MIN/GOL,MIN/G+AS
Adrian Łyszczarz,Śląsk Wrocław,5,0,5,382,"76,4","76,4"
Ivi Lopez,Raków Częstochowa,20,7,27,2459,"123,0","91,1"
Marcin Cebula,Raków Częstochowa,3,1,4,379,"126,3","94,8"
Karol Angielski,Radomiak Radom,18,1,19,2368,"131,6","124,6"
Łukasz Sekulski,Wisła Płock,13,3,16,1896,"145,8","118,5"
Mikael Ishak,Lech Poznań,18,6,24,2644,"146,9","110,2"
Jesus Imaz,Jagiellonia,9,2,11,1341,"149,0","121,9"
Łukasz Zwoliński,Lechia Gdańsk,14,0,14,2113,"150,9","150,9"
Damian Warchoł,Wisła Płock,6,2,8,920,"153,3","115,0"
Luka Zahović,Pogoń Szczecin,11,4,15,1689,"153,5","112,6"
Joao Amaral,Lech Poznań,14,8,22,2220,"158,6","100,9"
Kamil Drygas,Pogoń Szczecin,7,1,8,1120,"160,0","140,0"
Flavio Paixao,Lechia Gdańsk,10,6,16,1758,"175,8","109,9"
Vladislavs Gutkovskis,Raków Częstochowa,10,4,14,1782,"178,2","127,3"
Paweł Wszołek,Legia Warszawa,6,3,9,1091,"181,8","121,2"
Dawid Kownacki,Lech Poznań,4,1,5,742,"185,5","148,4"
Erik Exposito,Śląsk Wrocław,11,2,13,2090,"190,0","160,8"
Kamil Wilczek,Piast Gliwice,5,0,5,956,"191,2","191,2"
Muris Mesanović,Bruk-Bet,11,2,13,2182,"198,4","167,8"
Frank Castaneda,Warta Poznań,4,0,4,807,"201,8","201,8"
Kamil Grosicki,Pogoń Szczecin,9,6,15,1831,"203,4","122,1"
Bartosz Śpiączka,Górnik Łęczna,11,0,11,2241,"203,7","203,7"
Luis Fernandez,Wisła Kraków,3,1,4,624,"208,0","156,0"
Bartosz Bida,Jagiellonia,3,1,4,631,"210,3","157,8"
Jesus Jimenez,Górnik Zabrze,8,4,12,1694,"211,8","141,2"
Martin Dolezal,Zagłębie Lubin,4,1,5,867,"216,8","173,4"
Mateusz Mak,Stal Mielec,7,3,10,1527,"218,1","152,7"
Tomas Pekhart,Legia Warszawa,9,1,10,2000,"222,2","200,0"
Patryk Szysz,Zagłębie Lubin,11,6,17,2506,"227,8","147,4"
Adam Zrelak,Warta Poznań,9,2,11,2085,"231,7","189,5"
Krzysztof Kubica,Górnik Zabrze,9,3,12,2091,"232,3","174,3"
Wahan Biczachczjan,Pogoń Szczecin,2,2,4,474,"237,0","118,5"
Lukas Podolski,Górnik Zabrze,9,4,13,2222,"246,9","170,9"
Rafael Lopes,Legia Warszawa,5,2,7,1249,"249,8","178,4"
Marco Terrazzino,Lechia Gdańsk,4,1,5,1002,"250,5","200,4"
Yaw Yeboah,Wisła Kraków,5,1,6,1316,"263,2","219,3"
Ernest Muci,Legia Warszawa,4,0,4,1079,"269,8","269,8"
Piotr Wlazło,Bruk-Bet,9,1,10,2474,"274,9","247,4"
Mateusz Praszelik,Śląsk Wrocław,4,3,7,1110,"277,5","158,6"
Przemysław Banaszak,Górnik Łęczna,4,2,6,1113,"278,3","185,5"
Fabian Piasecki,Śląsk/Stal,7,5,12,1948,"278,3","162,3"
Alberto Toril,Piast Gliwice,6,1,7,1684,"280,7","240,6"
Jakub Kamiński,Lech Poznań,9,7,16,2635,"292,8","164,7"
Marko Kolar,Wisła Płock,4,3,7,1183,"295,8","169,0"
Kacper Kozłowski,Pogoń Szczecin,3,3,6,918,"306,0","153,0"
Filip Starzyński,Zagłębie Lubin,6,2,8,1852,"308,7","231,5"
Mateusz Wdowiak,Raków Częstochowa,7,2,9,2162,"308,9","240,2"
Miguel Luis,Warta Poznań,3,1,4,958,"319,3","239,5"
Bartosz Nowak,Górnik Zabrze,8,6,14,2556,"319,5","182,6"
Tomas Poznar,Bruk-Bet,2,2,4,646,"323,0","161,5"
Sebastian Kowalczyk,Pogoń Szczecin,6,4,10,1979,"329,8","197,9"
Michał Kucharczyk,Pogoń Szczecin,5,1,6,1658,"331,6","276,3"
Robert Pich,Śląsk Wrocław,6,1,7,2012,"335,3","287,4"
Pelle van Amersfoort,Cracovia,8,1,9,2696,"337,0","299,6"
Damian Gąska,Górnik Łęczna,5,4,9,1741,"348,2","193,4"
Piotr Krawczyk,Górnik Zabrze,5,1,6,1785,"357,0","297,5"
Maurides,Radomiak Radom,5,2,7,1791,"358,2","255,9"
Grzegorz Tomasiewicz,Stal Mielec,8,2,10,2880,"360,0","288,0"
Patryk Sokołowski,Piast/Legia,7,0,7,2614,"373,4","373,4"
Maciej Rosołek,Legia Warszawa,3,3,6,1135,"378,3","189,2"
Tomas Prikryl,Jagiellonia,6,3,9,2314,"385,7","257,1"
Otar Kakabadze,Cracovia,3,2,5,1185,"395,0","237,0"
Jakub Myszor,Cracovia,3,3,6,1203,"401,0","200,5"
Damian Kądzior,Piast Gliwice,6,8,14,2456,"409,3","175,4"
Fedor Cernych,Jagiellonia,4,4,8,1694,"423,5","211,8"
Rafał Wolski,Wisła Płock,4,7,11,1711,"427,8","155,5"
Stefan Savić,Wisła Kraków,3,4,7,1290,"430,0","184,3"
Kristopher Vida,Piast Gliwice,3,1,4,1338,"446,0","334,5"
Ilkay Durmus,Lechia Gdańsk,6,4,10,2757,"459,5","275,7"
Kamil Pestka,Cracovia,4,3,7,2031,"507,8","290,1"
Mateusz Szwoch,Wisła Płock,5,4,9,2660,"532,0","295,6"
Israel Puerto,Jagiellonia,3,1,4,1619,"539,7","404,8"
Antonio Milić,Lech Poznań,4,2,6,2230,"557,5","371,7"
Maciej Gajos,Lechia Gdańsk,4,1,5,2259,"564,8","451,8"
Sergiu Hanca,Cracovia,4,5,9,2431,"607,8","270,1"
Janusz Gol,Górnik Łęczna,4,2,6,2462,"615,5","410,3"
Damian Rasak,Wisła Płock,3,2,5,1939,"646,3","387,8"
Kacper Chodyna,Zagłębie Lubin,4,2,6,2613,"653,3","435,5"
Leandro Rossi,Radomiak Radom,4,2,6,2617,"654,3","436,2"
Michał Chrapek,Piast Gliwice,4,3,7,2626,"656,5","375,1"
Michal Frydrych,Wisła Kraków,4,1,5,2640,"660,0","528,0"
Mateusz Wieteska,Legia Warszawa,4,2,6,2692,"673,0","448,7"
Erik Daniel,Zagłębie Lubin,3,3,6,2163,"721,0","360,5"
Dani Ramirez,Lech Poznań,1,4,5,731,"731,0","146,2"
Arkadiusz Pyrka,Piast Gliwice,2,2,4,1490,"745,0","372,5"
Dawid Abramowicz,Radomiak Radom,4,4,8,3038,"759,5","379,8"
Dor Hugi,Wisła Kraków,1,4,5,778,"778,0","155,6"
Robert Dadok,Górnik Zabrze,3,5,8,2343,"781,0","292,9"
Adam Radwański,Bruk-Bet,2,2,4,1578,"789,0","394,5"
Jakub Czerwiński,Piast Gliwice,3,1,4,2430,"810,0","607,5"
Jason Lokilo,Górnik Łęczna,2,6,8,1664,"832,0","208,0"
Dariusz Pawłowski,Górnik Zabrze,1,3,4,862,"862,0","215,5"
Maksymilian Sitek,Stal Mielec,3,3,6,2627,"875,7","437,8"
Jean Carlos Silva,Pogoń Szczecin,2,4,6,1767,"883,5","294,5"
Kacper Sezonienko,Lechia Gdańsk,1,5,6,918,"918,0","153,0"
Michal Skvarka,Wisła Kraków,2,4,6,1853,"926,5","308,8"
Cornel Rapa,Cracovia,3,1,4,2915,"971,7","728,8"
Maciej Domański,Stal Mielec,1,4,5,1012,"1012,0","202,4"
Jan Grzesik,Warta Poznań,3,1,4,3060,"1020,0","765,0"
Mateusz Bartolewski,Zagłębie Lubin,2,2,4,2138,"1069,0","534,5"
Mateusz Grzybek,Bruk-Bet,2,3,5,2143,"1071,5","428,6"
Piotr Tomasik,Wisła Płock,2,4,6,2401,"1200,5","400,2"
Alasana Manneh,Górnik Zabrze,2,2,4,2424,"1212,0","606,0"
Konrad Gruszkowski,Wisła Kraków,2,3,5,2451,"1225,5","490,2"
Josue,Legia Warszawa,2,15,17,2492,"1246,0","146,6"
Adriel Ba Loua,Lech Poznań,1,3,4,1254,"1254,0","313,5"
Martin Konczkowski,Piast Gliwice,2,4,6,2536,"1268,0","422,7"
Krystian Getinger,Stal Mielec,2,6,8,2704,"1352,0","338,0"
Fran Tudor,Raków Częstochowa,2,7,9,2722,"1361,0","302,4"
Dino Stiglec,Śląsk Wrocław,1,5,6,1578,"1578,0","263,0"
Samuel Stefanik,Bruk-Bet,1,4,5,1803,"1803,0","360,6"
Pedro Rebocho,Lech Poznań,1,4,5,1844,"1844,0","368,8"
Kristian Vallo,Wisła Płock,1,4,5,1904,"1904,0","380,8"
Conrado,Lechia Gdańsk,1,3,4,2065,"2065,0","516,3"
Łukasz Poręba,Zagłębie Lubin,1,3,4,2100,"2100,0","525,0"
Giannis Papanikolaou,Raków Częstochowa,1,4,5,2108,"2108,0","421,6"
Damian Michalski,Wisła Płock,1,4,5,2267,"2267,0","453,4"
Jakub Bartkowski,Pogoń Szczecin,1,3,4,2364,"2364,0","591,0"
Łukasz Trałka,Warta Poznań,1,3,4,2492,"2492,0","623,0"
Damian Dąbrowski,Pogoń Szczecin,1,4,5,2528,"2528,0","505,6"
Erik Janza,Górnik Zabrze,1,6,7,2796,"2796,0","399,4"
Joel Pereira,Lech Poznań,0,7,7,1834,-,"262,0"
Bojan Nastić,Jagiellonia,0,6,6,2426,-,"404,3"
Matej Hanousek,Wisła Kraków,0,5,5,2747,-,"549,4"
Filipe Nascimento,Radomiak Radom,0,4,4,1994,-,"498,5"
Joseph Ceesay,Lechia Gdańsk,0,4,4,1555,-,"388,8"
Luis Mata,Pogoń Szczecin,0,4,4,2517,-,"629,3"
Martin Pospisil,Jagiellonia,0,4,4,2328,-,"582,0"
Wojciech Golla,Śląsk Wrocław,0,4,4,2736,-,"684,0"
Michal Siplak,Cracovia,0,4,4,1690,-,"422,5"
