,GOLE,LN,PN,G,INNE,,818,228,404,179,7
Bruk-Bet Nieciecza,36,3,25,8,0
Cracovia,40,7,20,13,0
Górnik Łęczna,29,4,16,7,2
Górnik Zabrze,55,27,18,10,0
Jagiellonia Białystok,39,7,25,7,0
Lech Poznań,67,20,37,10,0
Lechia Gdańsk,52,13,31,8,0
Legia Warszawa,46,14,17,15,0
Piast Gliwice,45,11,19,15,0
Pogoń Szczecin,63,16,33,12,2
Radomiak Radom,42,24,4,12,2
Raków Częstochowa,60,15,35,9,1
Stal Mielec,39,8,21,10,0
Śląsk Wrocław,42,18,15,9,0
Warta Poznań,35,7,20,8,0
Wisła Kraków,37,12,20,5,0
Wisła Płock,48,7,26,15,0
Zagłębie Lubin,43,15,22,6,0
