KLUB,śr./mecz,celne,ncel,zabl,% zabl,Celne/gol bez sam,% celn,G BEZ SAM/DLA
Bruk-Bet,"11,65","3,59","4,94","3,12","26,77%","3,49","30,81%","8,84%"
Cracovia,"12,00","4,06","4,76","3,18","26,47%","3,63","33,82%","9,31%"
Górnik Ł,"9,21","3,00","3,62","2,59","28,12%","3,78","32,59%","8,63%"
Górnik Z,"13,47","4,91","5,24","3,32","24,67%","3,09","36,46%","11,79%"
Jagiellonia,"12,06","4,15","4,82","3,09","25,61%","3,62","34,39%","9,51%"
Lech,"17,35","6,41","6,41","4,53","26,10%","3,25","36,95%","11,36%"
Lechia,"13,38","4,68","5,44","3,26","24,40%","3,24","34,95%","10,77%"
Legia,"12,76","4,38","5,06","3,32","26,04%","3,55","34,33%","9,68%"
Piast,"10,85","3,50","4,62","2,74","25,20%","2,83","32,25%","11,38%"
Pogoń,"14,35","5,32","5,41","3,62","25,20%","3,18","37,09%","11,68%"
Radomiak,"13,06","4,21","5,24","3,62","27,70%","3,58","32,21%","9,01%"
Raków,"13,65","5,62","5,26","2,76","20,26%","3,29","41,16%","12,50%"
Stal,"10,29","3,68","4,15","2,47","24,00%","3,21","35,71%","11,14%"
Śląsk,"12,71","4,26","5,09","3,35","26,39%","3,54","33,56%","9,49%"
Warta,"10,06","3,41","3,85","2,79","27,78%","3,41","33,92%","9,94%"
Wisła K,"12,59","4,06","4,88","3,65","28,97%","3,83","32,24%","8,41%"
Wisła P,"10,47","4,03","3,56","2,88","27,53%","2,98","38,48%","12,92%"
Zagłębie,"13,18","3,94","5,82","3,41","25,89%","3,27","29,91%","9,15%"
