KLUB,1. STRZELA,Z,R,P,1. TRACI,Z,R,P
Bruk-Bet,6,3,3,0,10,2,1,7
Cracovia,9,7,2,0,7,0,2,5
Górnik Łęczna,6,2,3,1,10,2,2,6
Górnik Zabrze,8,5,1,2,7,2,2,3
Jagiellonia,8,4,3,1,8,1,4,3
Lech Poznań,12,11,1,0,4,2,1,1
Lechia Gdańsk,13,10,3,0,3,2,0,1
Legia Warszawa,11,10,0,1,6,0,0,6
Piast Gliwice,10,6,2,2,6,1,1,4
Pogoń Szczecin,14,10,2,2,3,1,1,1
Radomiak Radom,8,6,2,0,9,1,5,3
Raków Częstochowa,14,10,3,1,2,0,2,0
Stal Mielec,9,7,1,1,7,0,2,5
Śląsk Wrocław,6,3,3,0,8,0,2,6
Warta Poznań,6,3,2,1,9,1,2,6
Wisła Kraków,8,5,2,1,7,0,1,6
Wisła Płock,13,11,1,1,4,0,1,3
Zagłębie Lubin,4,3,1,0,12,4,1,7
