DR/KOL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Średnia,DR,SUMA,26,25,29,23,25,24,21,26,22,26,25,25,22,25,24,26,26,21,26,29,23,28,27,25,24,27,24,23,25,22,25,24,26,29,,
BBT,1,1,1,1,1,1,1,2,1,3,2,2,1,1,1,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,"1,26",BBT
CRA,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,2,1,2,3,2,2,1,1,1,2,1,1,"1,32",CRA
GKŁ,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,1,2,2,2,3,1,2,2,"1,38",GKŁ
GÓR,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,"1,15",GÓR
JAG,1,2,2,1,1,1,1,4,1,1,2,2,2,2,2,2,1,1,2,2,3,3,2,2,2,3,2,2,4,2,3,2,3,4,"2,06",JAG
LPO,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,"1,29",LPO
LGD,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,"1,12",LGD
LEG,5,3,2,2,3,1,2,1,3,3,1,3,1,1,1,1,2,1,1,2,1,3,3,3,1,2,1,1,1,1,1,2,2,2,"1,85",LEG
PIA,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,"1,18",PIA
POG,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1,06",POG
RAD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,"1,03",RAD
RCZ,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,"1,15",RCZ
STM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,"1,09",STM
ŚLĄ,2,1,2,2,1,2,1,2,1,1,2,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,"1,32",ŚLĄ
WAR,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,"1,12",WAR
WIS,2,3,3,1,3,3,2,2,2,1,3,3,3,4,4,4,2,2,3,4,2,3,3,3,2,2,2,1,1,1,1,2,2,4,"2,44",WIS
WPŁ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1,00",WPŁ
ZAG,2,1,4,1,1,3,2,2,2,2,2,1,2,2,2,3,4,1,3,2,2,2,2,3,2,2,2,2,2,1,2,3,3,2,"2,12",ZAG
