DR/KOL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Średnia,DR,ŚREDNIA,"182,40","181,63","182,69","182,54","183,14","182,83","182,48","182,75","182,30","182,85","182,33","182,27","182,52","182,58","182,21","182,35","182,25","182,28","182,07","182,28","182,56","182,62","182,32","182,37","182,30","182,53","182,74","182,38","182,36","182,41","182,48","182,51","182,61","181,85",,
Bruk-Bet Nieciecza,"180,55","181,82","181,45","180,73","184,27","181,36","180,82","181,27","179,36","180,82","179,55","180,55","182,18","182,73","181,36","182,00","182,27","181,73","181,55","182,55","182,64","181,18","181,45","181,82","184,27","182,91","182,09","182,27","181,36","182,91","182,91","183,18","181,73","180,73","181,78",BBT
Cracovia,"187,64","184,09","184,91","184,09","185,82","185,82","186,73","187,00","186,09","186,09","186,82","186,55","186,73","186,09","183,36","185,45","185,09","185,73","185,36","184,91","185,18","185,91","185,27","185,82","184,73","184,64","185,82","185,27","185,91","185,73","186,09","185,18","186,64","185,18","185,64",CRA
Górnik Łęczna,"184,45","184,45","184,45","182,45","182,64","183,45","181,45","181,82","181,55","181,18","184,27","184,27","183,64","183,64","182,91","184,18","181,64","181,36","181,36","181,64","181,36","181,36","181,36","181,64","181,64","181,64","183,55","181,36","181,36","182,82","181,00","182,36","183,09","182,36","182,46",GKŁ
Górnik Zabrze,"182,45","182,45","182,73","184,55","184,09","184,55","184,09","184,09","184,09","184,09","184,09","183,36","183,36","183,36","182,45","183,36","183,36","184,45","183,36","185,55","184,27","184,27","184,91","184,27","184,36","184,27","183,36","184,55","183,45","185,00","184,09","185,00","183,91","183,73","183,92",GÓR
Jagiellonia Białystok,"182,18","166,73","182,45","182,18","183,73","183,09","183,00","182,64","182,36","182,09","181,82","181,73","183,91","183,45","182,27","183,18","181,36","181,45","181,91","181,64","180,82","181,36","182,45","181,45","180,45","180,64","182,27","182,00","182,09","181,82","181,55","182,82","183,73","181,64","181,71",JAG
Lech Poznań,"180,27","180,27","180,55","180,55","182,45","182,45","180,45","180,91","180,91","181,36","180,91","179,73","180,91","180,00","180,36","181,36","180,45","180,00","181,55","179,55","182,18","183,09","180,73","180,73","181,00","181,36","179,91","181,18","179,55","178,82","180,55","179,36","180,73","179,91","180,71",LPO
Lechia Gdańsk,"181,82","180,64","181,45","181,45","182,09","182,45","181,82","182,36","184,09","183,82","182,45","183,91","183,09","183,82","182,18","182,73","183,00","183,18","184,09","181,27","182,27","182,00","182,45","181,27","182,36","181,64","181,64","181,64","182,09","182,09","183,45","181,82","182,09","180,82","182,33",LGD
Legia Warszawa,"182,09","181,45","182,91","183,55","183,55","184,45","181,73","182,36","181,09","184,82","180,09","179,55","181,18","181,36","182,00","181,00","180,64","182,73","181,55","182,45","183,73","182,18","184,45","183,36","183,45","182,82","184,09","182,55","184,36","182,36","183,36","183,91","184,91","183,45","182,63",LEG
Piast Gliwice,"181,45","182,18","182,18","181,45","181,45","181,45","181,00","182,45","181,09","181,36","181,09","180,64","180,64","180,73","182,09","180,18","181,09","181,09","181,73","179,64","180,36","181,00","180,64","181,09","180,91","180,91","181,82","180,36","182,64","182,36","181,82","182,91","180,82","182,45","181,33",PIA
Pogoń Szczecin,"181,45","181,91","181,82","180,91","181,64","181,82","183,18","183,09","182,09","182,09","182,00","181,55","181,27","181,55","181,00","181,00","180,82","180,82","181,45","181,82","181,82","180,36","180,36","181,73","182,09","181,73","181,73","181,73","181,91","180,64","182,55","181,64","181,18","180,55","181,57",POG
