KLUB,ŻK/mecz,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia
Bruk-Bet,"2,29",78,2,7,62,0,1,4,9,1,0,0,1,1,1,0,0
Cracovia,"2,85",97,1,2,74,0,0,9,7,2,4,0,1,0,1,0,0
Górnik Łęczna,"1,91",65,2,3,53,2,0,4,6,1,1,0,0,0,0,0,0
Górnik Zabrze,"1,97",67,1,1,56,1,2,5,2,1,0,0,1,0,0,0,0
Jagiellonia,"1,71",58,1,2,49,1,1,2,4,1,1,0,0,0,0,0,0
Lech Poznań,"2,32",79,1,2,62,1,2,6,9,0,0,0,0,0,0,0,0
Lechia Gdańsk,"2,09",71,0,5,56,0,0,4,8,2,1,0,0,0,0,0,0
Legia Warszawa,"1,94",66,2,3,55,1,0,3,2,4,0,0,2,0,1,0,0
Piast Gliwice,"2,00",68,1,2,53,1,2,3,8,1,1,0,0,0,0,0,0
Pogoń Szczecin,"2,32",79,2,5,68,2,1,6,1,0,1,1,1,0,0,0,0
Radomiak Radom,"2,00",68,3,4,60,1,1,2,3,2,0,0,0,0,2,0,0
Raków Częstochowa,"2,62",89,1,2,74,1,2,4,6,2,0,1,0,0,0,0,0
Stal Mielec,"2,82",96,1,6,78,0,1,4,8,4,0,0,1,1,0,0,0
Śląsk Wrocław,"2,32",79,0,1,65,0,2,3,6,2,0,0,1,0,0,0,0
Warta Poznań,"1,74",59,2,3,55,1,0,0,3,1,0,0,0,0,1,0,0
Wisła Kraków,"1,97",67,1,1,56,0,1,4,3,2,1,0,0,0,1,0,0
Wisła Płock,"2,35",80,0,0,58,0,2,8,7,2,1,2,0,0,0,0,0
Zagłębie Lubin,"1,91",65,1,3,54,1,2,2,4,0,3,0,0,0,0,0,0
