BRAMKARZ,KLUB,słupek,poprzeczka,SUMA
Zlatan Alomerović,Jagiellonia,9,9,18
Dante Stipica,Pogoń Szczecin,7,5,12
Krzysztof Kamiński,Wisła Płock,4,7,11
Henrich Ravas,Widzew Łódź,4,5,9
Kacper Tobiasz,Legia Warszawa,5,3,8
Rafał Leszczyński,Śląsk Wrocław,6,2,8
Filip Bednarek,Lech Poznań,5,2,7
Konrad Forenc,Korona Kielce,3,4,7
Dusan Kuciak,Lechia Gdańsk,4,3,7
Karol Niemczycki,Cracovia,5,2,7
Frantisek Plach,Piast Gliwice,4,3,7
Kacper Bieszczad,Zagłębie Lubin,3,3,6
Bartosz Mrozek,Stal Mielec,3,3,6
Bartłomiej Gradecki,Wisła Płock,1,4,5
Paweł Lenarcik,Miedź Legnica,3,2,5
Vladan Kovacević,Raków Częstochowa,3,1,4
Adrian Lis,Warta Poznań,3,1,4
Mateusz Abramowicz,Miedź Legnica,0,4,4
Marcel Zapytowski,Korona Kielce,1,3,4
Sokratis Dioudis,Zagłębie Lubin,2,2,4
Gabriel Kobylak,Radomiak Radom,3,0,3
Kevin Broll,Górnik Zabrze,1,1,2
Michał Buchalik,Lechia Gdańsk,0,2,2
Michał Szromnik,Śląsk Wrocław,1,1,2
Daniel Bielica,Górnik Zabrze,1,1,2
Stefanos Kapino,Miedź Legnica,2,0,2
Sławomir Abramowicz,Jagiellonia,2,0,2
Lukas Hrosso,Cracovia,2,0,2
Filip Majchrowicz,Radomiak Radom,0,1,1
Jędrzej Grobelny,Warta Poznań,0,1,1
Bartosz Klebaniuk,Pogoń Szczecin,1,0,1
Albert Posiadała,Radomiak Radom,1,0,1
