ZAWODNIK,KLUB,MECZE,PEŁNE,"W 1. ""11""",Z ŁAWKI,"W ""20""",CZAS
Lukas Hrosso,Cracovia,3,3,3,0,30,270
Sebastian Madejski,Cracovia,0,0,0,0,1,0
Karol Niemczycki,Cracovia,31,31,31,0,33,2790
Adam Wilk,Cracovia,0,0,0,0,4,0
Krystian Bracik,Cracovia,0,0,0,0,2,0
Virgil Ghita,Cracovia,34,34,34,0,34,3060
Arttu Hoskonen,Cracovia,11,7,9,2,16,776
Oliwier Hyla,Cracovia,0,0,0,0,1,0
David Jablonsky,Cracovia,15,11,14,1,21,1202
Paweł Jaroszyński,Cracovia,21,6,12,9,21,1194
Jakub Jugas,Cracovia,26,21,24,2,27,2163
Otar Kakabadze,Cracovia,27,17,20,7,27,1961
Kamil Pestka,Cracovia,6,2,6,0,6,420
Cornel Rapa,Cracovia,26,13,19,7,33,1664
Matej Rodin,Cracovia,14,12,14,0,14,1208
Michal Siplak,Cracovia,21,7,13,8,25,1155
Michał Stachera,Cracovia,1,1,1,0,10,90
Jani Atanasov,Cracovia,15,4,10,5,15,920
Marcin Budziński,Cracovia,0,0,0,0,4,0
Sergiu Hanca,Cracovia,0,0,0,0,1,0
Mathias Hebo Rasmussen,Cracovia,12,7,11,1,13,940
Kacper Jodłowski,Cracovia,4,0,0,4,20,9
Jewhen Konoplanka,Cracovia,26,0,12,14,27,1227
Karol Knap,Cracovia,30,6,17,13,34,1419
Bartłomiej Kolec,Cracovia,1,0,0,1,1,3
Florian Loshaj,Cracovia,15,1,7,8,17,805
Sylwester Lusiusz,Cracovia,0,0,0,0,1,0
Jakub Myszor,Cracovia,20,0,9,11,23,757
Takuto Oshima,Cracovia,32,18,26,6,33,2389
Michał Rakoczy,Cracovia,30,2,25,5,32,1861
Filip Rózga,Cracovia,1,0,0,1,1,2
Thiago,Cracovia,0,0,0,0,8,0
Patryk Zaucha,Cracovia,1,0,0,1,5,1
Filip Balaj,Cracovia,6,0,0,6,12,38
Mateusz Bochnak,Cracovia,16,5,9,7,17,797
Benjamin Kallman,Cracovia,34,11,24,10,34,2297
Przemysław Kapek,Cracovia,0,0,0,0,10,0
Patryk Makuch,Cracovia,32,11,24,8,33,2172
Sebastian Strózik,Cracovia,1,0,0,1,3,1
Kacper Śmiglewski,Cracovia,3,0,0,3,6,17
Daniel Bielica,Górnik Z,24,24,24,0,34,2160
Kevin Broll,Górnik Z,10,9,10,0,16,894
Pawieł Pawluczenko,Górnik Z,0,0,0,0,4,0
Paweł Sokół,Górnik Z,0,0,0,0,14,0
Emil Bergstrom,Górnik Z,25,20,23,2,25,2120
Kacper Capiga,Górnik Z,0,0,0,0,1,0
Rafał Janicki,Górnik Z,16,12,14,2,16,1245
