BRAMKARZ,KLUB,MECZE,CZYSTE KONTA,MIN - AKTUALNIE,MIN - SEZON,MIN - REKORD,% OBR,OBR,STRZ,PG,% CK,% OBR KARNYCH
Vladan Kovacević,Raków Częstochowa,28,16,17,737,737,"76,5%",52,68,17,"49,1%","25,0%"
Filip Bednarek,Lech Poznań,32,16,406,406,406,"75,2%",76,101,25,"41,5%","14,3%"
Bartosz Mrozek,Stal Mielec,34,12,135,293,293,"75,0%",117,156,40,"33,3%","0,0%"
Henrich Ravas,Widzew Łódź,33,12,30,368,368,"72,2%",109,151,44,"36,4%","33,3%"
Karol Niemczycki,Cracovia,31,11,45,374,374,"70,9%",78,110,33,"29,6%","10,0%"
Daniel Bielica,Górnik Zabrze,24,9,97,452,452,"75,5%",77,102,25,"27,3%","27,3%"
Adrian Lis,Warta Poznań,28,9,85,339,339,"74,0%",77,104,30,"32,1%","16,7%"
Dusan Kuciak,Lechia Gdańsk,28,9,237,296,799,"73,2%",104,142,42,"38,2%","17,6%"
Frantisek Plach,Piast Gliwice,33,9,49,435,528,"71,6%",78,109,32,"37,3%","18,5%"
Kacper Tobiasz,Legia Warszawa,27,9,84,311,311,"70,1%",68,97,30,"32,3%","33,3%"
Gabriel Kobylak,Radomiak Radom,29,8,83,441,441,"75,8%",100,132,32,"27,6%","0,0%"
Dante Stipica,Pogoń Szczecin,29,8,90,242,524,"68,8%",77,112,36,"37,7%","27,8%"
Sokratis Dioudis,Zagłębie Lubin,14,5,14,329,329,"74,0%",37,50,13,"35,7%","100,0%"
Zlatan Alomerović,Jagiellonia Białystok,31,5,47,229,304,"73,2%",120,164,45,"25,6%","16,7%"
Konrad Forenc,Korona Kielce,20,5,46,329,372,"67,1%",49,73,25,"25,0%","9,1%"
Mateusz Abramowicz,Miedź Legnica,20,4,106,320,320,"76,6%",85,111,27,"20,0%","0,0%"
Krzysztof Kamiński,Wisła Płock,20,4,25,202,341,"67,7%",67,99,32,"24,6%","15,0%"
Bartłomiej Gradecki,Wisła Płock,14,3,0,248,250,"77,5%",55,71,18,"23,5%","0,0%"
Dominik Hładun,Legia Warszawa,7,3,21,308,308,"74,1%",20,27,7,"23,7%","15,8%"
Michał Szromnik,Śląsk Wrocław,14,3,0,194,203,"70,2%",40,57,19,"22,0%","40,0%"
Marcel Zapytowski,Korona Kielce,14,3,124,162,162,"68,1%",47,69,23,"20,0%","0,0%"
Kacper Bieszczad,Zagłębie Lubin,15,3,4,189,367,"65,6%",42,64,22,"25,9%","0,0%"
Rafał Leszczyński,Śląsk Wrocław,20,3,41,251,251,"63,3%",50,79,29,"17,4%","0,0%"
Kevin Broll,Górnik Zabrze,9,2,0,270,270,"64,6%",31,48,18,"22,2%",-
Jędrzej Grobelny,Warta Poznań,5,2,66,181,333,"50,0%",4,8,4,"42,9%","0,0%"
Lukas Hrosso,Cracovia,3,1,166,166,372,"77,8%",7,9,2,"27,9%","0,0%"
Filip Majchrowicz,Radomiak Radom,3,1,7,188,365,"75,0%",9,12,3,"27,8%","16,7%"
Jasmin Burić,Zagłębie Lubin,5,1,52,188,465,"57,1%",12,21,9,"39,9%","14,3%"
Kacper Trelowski,Raków Częstochowa,6,1,14,152,242,"56,3%",9,16,7,"30,8%",-
Jakub Szmatuła,Piast Gliwice,0,0,182,1,651,-,-,-,0,"31,2%","28,6%"
Sławomir Abramowicz,Jagiellonia Białystok,2,0,34,78,78,"76,9%",10,13,4,"0,0%","100,0%"
Paweł Lenarcik,Miedź Legnica,10,0,45,106,106,"69,4%",43,62,20,"0,0%","0,0%"
Michał Buchalik,Lechia Gdańsk,4,0,23,71,304,"63,0%",17,27,11,"27,0%","7,1%"
Jakub Ojrzyński,Radomiak Radom,1,0,17,52,52,"60,0%",3,5,2,"0,0%",-
Stefanos Kapino,Miedź Legnica,4,0,2,119,119,"60,0%",12,20,8,"0,0%","50,0%"
Bartosz Klebaniuk,Pogoń Szczecin,4,0,36,51,51,"58,3%",14,24,10,"0,0%","100,0%"
Artur Rudko,Lech Poznań,1,0,26,50,50,"50,0%",2,4,2,"0,0%",-
Albert Posiadała,Radomiak Radom,1,0,0,43,43,"42,9%",3,7,4,"0,0%","0,0%"
Jakub Wrąbel,Widzew Łódź,1,0,18,36,173,"40,0%",2,5,3,"12,5%","16,7%"
Dominik Holec,Lech Poznań,1,0,33,33,560,"33,3%",1,3,2,"47,1%","25,0%"
