,CRA,GÓR,JAG,KOR,LPO,LGD,LEG,MIE,PIA,POG,RAD,RCZ,STM,ŚLĄ,WAR,WID,WPŁ,ZAG
CRA,-,2,4,0,0,1,2,2,0,0,3,0,1,3,1,1,1,0
GÓR,0,-,0,6,1,1,0,1,0,3,3,0,1,1,2,6,2,1
JAG,1,3,-,0,0,6,0,3,2,1,1,0,5,4,1,1,2,4
KOR,1,1,1,-,0,2,0,5 *,0,1,2 *,1,0,2,0,1,1,2
LPO,4,0,3,6,-,2,5,2,9,5,2,1,1,0,6,7,1,0
LGD,0,5,0,0,0,-,1,1,0,0,0,0,6,1,0,3,1,0
LEG,1,3,5,7,3,0,-,4 *,2,0,2,1,2,3,0,20,1,6
MIE,4 *,2,1,0,0,0,1,-,0,0,2 *,0,1,0,1,0,1,0
PIA,3,10,1,5,1,3,0,4 *,-,2,1,0,5,5,1,1,1,1
POG,5,0,0,2,2,6,4,3,10,-,6 *,0,1,0,8,3,2,3
RAD,0,1,4 *,0,1,5,0,2 *,0,0,-,1,3,4,1,2,3,0
RCZ,1,1,3,0,0,3,0,2 *,7,5,4 *,-,9,5,7,2,8,2
STM,0,0,1,2 *,2,1,0,2 *,0,0,0,1,-,3,2,1,2,0
ŚLĄ,2,0,6,1,2,2,0,1,0,3,0,0,1,-,0,0,5,0
WAR,3,0,0,2 *,0,2,1,2 *,2,0,0,1,0,4,-,1,0,3
WID,4,0,3,0,0,1,1,2 *,0,1,0,0,0,2,0,-,5,0
WPŁ,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,1,-,1
ZAG,1,0,2,4,2,1,0,3,0,0,1,1,1,3,2,1,0,-
