,CRA,GÓR,JAG,KOR,LPO,LGD,LEG,MIE,PIA,POG,RAD,RCZ,STM,ŚLĄ,WAR,WID,WPŁ,ZAG
CRA,-,7,3,9,3,0,2,2 *,0,5,1,4 *,4,1,0,3,5,0
GÓR,0,-,1,7,0,1,0,0,1,11,3 *,2,0,11,2,11,2,0
JAG,9,1,-,2,0,3,0,1,2,1,0,0,3,2,3 *,0,1,2
KOR,2,0,1,-,0,1,1,3 *,1,0,1 *,1,0,5,0,0,1,2
LPO,3,0,2,3,-,6,4,2 *,8,2,3 *,0,0,0,3,3,0,0
LGD,0,9,1,0,0,-,2,2 *,0,0,0,0,6,8,3,6,2,0
LEG,6,2,2,6,1,3,-,2 *,1,1,1,1,1,12,1,13,4,5
MIE,2 *,1,1,2 *,2 *,2 *,1,-,0,0,1 *,0,0,1,0,0,3 *,0
PIA,1,5,2,5,1,3,0,2 *,-,1,0,0,3 *,4,0,0,8 *,0
POG,5,0,4,1,1,3,5,2 *,6,-,3 *,0,15,0,5 *,3,1,3
RAD,0,0,2 *,0,3 *,3 *,0,1 *,0,0,-,1,2 *,3 *,0,2 *,2 *,0
RCZ,3,1,4 *,1,0,2,2,1 *,4 *,2,2 *,-,5 *,6 *,4 *,1,4,3
STM,1,0,6 *,1 *,6,2,0,1 *,0,1,2 *,1,-,3,1,0,4 *,2
ŚLĄ,1,1,6,5,1,3,2,2 *,0,14,0,0,4,-,0,4,5,0
WAR,5,2,3 *,1 *,0,1,1,1 *,1,0,0,1,4,2,-,0,0,1
WID,2,0,8,0,0,0,0,1 *,0,2,0,5 *,0,6,0,-,8 *,6
WPŁ,2,2,0,2,0,2,2,2 *,1,0,2 *,0,4 *,0,1,7,-,4
ZAG,0,0,1,3,1,0,0,2 *,0,0,0,0,12 *,1,1,1,2,-
